,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,50_MA,200_MA,50_SD,200_SD
Prev Close,1.0,0.9995859294924899,0.9994753719183587,0.9994496370399222,0.9993235052866133,0.999334385215167,0.9994710566784034,-0.20167194442899317,-0.09921287214033886,-0.2790556101272423,-0.28552065317977954,0.03143248658185299,0.9906966533335927,0.9702890404843421,0.4959243358894614,0.5283724251630696
Open,0.9995859294924899,1.0,0.9998475508962599,0.999854851703567,0.9997112841515259,0.999722560498508,0.9998579624791397,-0.20175606864979867,-0.10088302182860368,-0.2809286175228504,-0.2855943425809982,0.03169931109282967,0.9903421229800722,0.9698914960716092,0.4950308403564585,0.5278746682992007
High,0.9994753719183587,0.9998475508962599,1.0,0.9997932645504735,0.9998691413520121,0.9998775922607177,0.9999342902675216,-0.20162662163123612,-0.09885204870132128,-0.2794584283166993,-0.2854734267329522,0.02961755133479786,0.9904475764988895,0.9703703854215965,0.496272744924667,0.5286031187730891
Low,0.9994496370399222,0.999854851703567,0.9997932645504735,1.0,0.9998686674062827,0.9998786652759887,0.999938864788995,-0.20191984231735624,-0.10185595087559438,-0.28195516075320676,-0.285829648100615,0.03258318058756309,0.9900037089248045,0.9693786273404439,0.4940604905090303,0.5273596904117727
Last,0.9993235052866133,0.9997112841515259,0.9998691413520121,0.9998686674062827,1.0,0.9999938767916051,0.9999473783678836,-0.2017762899031406,-0.10016090314406441,-0.28062030923973846,-0.2856799304633545,0.030676336210208398,0.9901244026723159,0.9697951715059779,0.4951300436239951,0.527936360504769
Close,0.999334385215167,0.999722560498508,0.9998775922607177,0.9998786652759887,0.9999938767916051,1.0,0.9999568355261655,-0.20176609328100412,-0.10011392470865085,-0.2806045713991519,-0.2856605938511132,0.03067961040853677,0.9901284770723677,0.9698136133733032,0.4951387026076287,0.5279660972813923
VWAP,0.9994710566784034,0.9998579624791397,0.9999342902675216,0.999938864788995,0.9999473783678836,0.9999568355261655,1.0,-0.2017931808422462,-0.10026347662609111,-0.2806754638076854,-0.28568769222179713,0.030825609640625563,0.9902236324317442,0.9698903558053463,0.4951525092224955,0.527970804860198
Volume,-0.20167194442899317,-0.20175606864979867,-0.20162662163123612,-0.20191984231735624,-0.2017762899031406,-0.20176609328100412,-0.2017931808422462,1.0,0.7235305055571327,0.8481084282478549,0.8239238062375995,-0.3410042430195763,-0.20488479129098422,-0.2132192131707909,-0.11558633957315688,-0.14532886981170684
Turnover,-0.09921287214033886,-0.10088302182860368,-0.09885204870132128,-0.10185595087559438,-0.10016090314406441,-0.10011392470865085,-0.10026347662609111,0.7235305055571327,1.0,0.8884672575072154,0.5955912180786143,-0.35340973027136846,-0.09981341287572573,-0.10025053568127128,-0.021176124304226454,-0.017406225365988584
Trades,-0.2790556101272423,-0.2809286175228504,-0.2794584283166993,-0.28195516075320676,-0.28062030923973846,-0.2806045713991519,-0.2806754638076854,0.8481084282478549,0.8884672575072154,1.0,0.7635237595007807,-0.3813429158205573,-0.2759628885306858,-0.271325511028585,-0.11575530514131267,-0.12823074324188688
Deliverable Volume,-0.28552065317977954,-0.2855943425809982,-0.2854734267329522,-0.285829648100615,-0.2856799304633545,-0.2856605938511132,-0.28568769222179713,0.8239238062375995,0.5955912180786143,0.7635237595007807,1.0,-0.18851567916318512,-0.2868541140795273,-0.2897624085642167,-0.1628367938744088,-0.19949396733722738
%Deliverble,0.03143248658185299,0.03169931109282967,0.02961755133479786,0.03258318058756309,0.030676336210208398,0.03067961040853677,0.030825609640625563,-0.3410042430195763,-0.35340973027136846,-0.3813429158205573,-0.18851567916318512,1.0,0.03937628469274641,0.03359488795770825,-0.09088434620888035,-0.1311651123084279
50_MA,0.9906966533335927,0.9903421229800722,0.9904475764988895,0.9900037089248045,0.9901244026723159,0.9901284770723677,0.9902236324317442,-0.20488479129098422,-0.09981341287572573,-0.2759628885306858,-0.2868541140795273,0.03937628469274641,1.0,0.9841217612063478,0.56500396612369,0.5528520076823125
200_MA,0.9702890404843421,0.9698914960716092,0.9703703854215965,0.9693786273404439,0.9697951715059779,0.9698136133733032,0.9698903558053463,-0.2132192131707909,-0.10025053568127128,-0.271325511028585,-0.2897624085642167,0.03359488795770825,0.9841217612063478,1.0,0.5912327516127065,0.6513907963843528
50_SD,0.4959243358894614,0.4950308403564585,0.496272744924667,0.4940604905090303,0.4951300436239951,0.4951387026076287,0.4951525092224955,-0.11558633957315688,-0.021176124304226454,-0.11575530514131267,-0.1628367938744088,-0.09088434620888035,0.56500396612369,0.5912327516127065,1.0,0.5684225177838905
200_SD,0.5283724251630696,0.5278746682992007,0.5286031187730891,0.5273596904117727,0.527936360504769,0.5279660972813923,0.527970804860198,-0.14532886981170684,-0.017406225365988584,-0.12823074324188688,-0.19949396733722738,-0.1311651123084279,0.5528520076823125,0.6513907963843528,0.5684225177838905,1.0
