,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,50_MA,200_MA,50_SD,200_SD
Prev Close,1.0,0.9999085685442859,0.9998150895354823,0.9998132353861131,0.9997197132258864,0.9997193123723581,0.9998101323191829,-0.3382815825482573,-0.1158192275470536,-0.4140283302628861,-0.3565307364176511,-0.16514549854612842,0.9971428640993196,0.9903308869688531,0.7920729976624084,0.8012819018326284
Open,0.9999085685442859,1.0,0.9998682507426371,0.9998691866125717,0.9997761137780508,0.9997741640739891,0.999862934274751,-0.3382431737365577,-0.11581864337582487,-0.413900857775141,-0.3565205744756261,-0.16519560716653242,0.997048132440755,0.9902359053697909,0.7921403032104112,0.8012132773669057
High,0.9998150895354823,0.9998682507426371,1.0,0.9998168677076709,0.9999085898663962,0.999911214407396,0.9999494741726422,-0.33806905441507323,-0.11496706623764091,-0.41273602043762864,-0.356376620076282,-0.16699075386566772,0.9970634732077436,0.9901746626261153,0.7931288089866374,0.8017688927871822
Low,0.9998132353861131,0.9998691866125717,0.9998168677076709,1.0,0.9998716536190535,0.9998765207435035,0.9999279334943649,-0.33850575273044675,-0.11654050667776124,-0.4150455479664424,-0.35677722376746335,-0.1641155761512257,0.9969092458805742,0.9901942902250496,0.7910905670489659,0.8002913000535544
Last,0.9997197132258864,0.9997761137780508,0.9999085898663962,0.9998716536190535,1.0,0.9999892213453263,0.9999602775799384,-0.3382689801956511,-0.11564946344670966,-0.41386217360306954,-0.356545883109306,-0.16572262365519072,0.9970002030210281,0.9901638217066432,0.7921721448021379,0.801187224778688
Close,0.9997193123723581,0.9997741640739891,0.999911214407396,0.9998765207435035,0.9999892213453263,1.0,0.9999701590695169,-0.33825192864863046,-0.11552600777131933,-0.41383451834420737,-0.3565246825570663,-0.1655665523958207,0.996979941081338,0.9901764929542737,0.792117972040029,0.8009904434850204
VWAP,0.9998101323191829,0.999862934274751,0.9999494741726422,0.9999279334943649,0.9999602775799384,0.9999701590695169,1.0,-0.338341553597761,-0.11574816835402486,-0.41389296849795515,-0.3566449107870064,-0.165787369962044,0.9970226815414985,0.9902173088368033,0.7922047117679849,0.801079282738661
Volume,-0.3382815825482573,-0.3382431737365577,-0.33806905441507323,-0.33850575273044675,-0.3382689801956511,-0.33825192864863046,-0.338341553597761,1.0,0.5496428166912805,0.8100735973045152,0.9494818165308431,-0.08091359272740759,-0.339838620897369,-0.3514248563096166,-0.2830290229376938,-0.32555487589593884
Turnover,-0.1158192275470536,-0.11581864337582487,-0.11496706623764091,-0.11654050667776124,-0.11564946344670966,-0.11552600777131933,-0.11574816835402486,0.5496428166912805,1.0,0.5973950496532148,0.6153912209730492,-0.07239630701217678,-0.11415645142673768,-0.12016894034283732,-0.08428396258347612,-0.11991023347931942
Trades,-0.4140283302628861,-0.413900857775141,-0.41273602043762864,-0.4150455479664424,-0.41386217360306954,-0.41383451834420737,-0.41389296849795515,0.8100735973045152,0.5973950496532148,1.0,0.7820514302721461,-0.13979574588275961,-0.41448009777305156,-0.4289952782008174,-0.33009818534401253,-0.3960235041577126
Deliverable Volume,-0.3565307364176511,-0.3565205744756261,-0.356376620076282,-0.35677722376746335,-0.356545883109306,-0.3565246825570663,-0.3566449107870064,0.9494818165308431,0.6153912209730492,0.7820514302721461,1.0,0.04418275892383014,-0.35764469605616644,-0.36721133641874737,-0.29878531460483404,-0.34146358737095284
%Deliverble,-0.16514549854612842,-0.16519560716653242,-0.16699075386566772,-0.1641155761512257,-0.16572262365519072,-0.1655665523958207,-0.165787369962044,-0.08091359272740759,-0.07239630701217678,-0.13979574588275961,0.04418275892383014,1.0,-0.16356519905150124,-0.1617244568762887,-0.20123054325852538,-0.21757921681255266
50_MA,0.9971428640993196,0.997048132440755,0.9970634732077436,0.9969092458805742,0.9970002030210281,0.996979941081338,0.9970226815414985,-0.339838620897369,-0.11415645142673768,-0.41448009777305156,-0.35764469605616644,-0.16356519905150124,1.0,0.9947335864929182,0.7959169135689335,0.8067741895633372
200_MA,0.9903308869688531,0.9902359053697909,0.9901746626261153,0.9901942902250496,0.9901638217066432,0.9901764929542737,0.9902173088368033,-0.3514248563096166,-0.12016894034283732,-0.4289952782008174,-0.36721133641874737,-0.1617244568762887,0.9947335864929182,1.0,0.7921446546761464,0.8134171236680064
50_SD,0.7920729976624084,0.7921403032104112,0.7931288089866374,0.7910905670489659,0.7921721448021379,0.792117972040029,0.7922047117679849,-0.2830290229376938,-0.08428396258347612,-0.33009818534401253,-0.29878531460483404,-0.20123054325852538,0.7959169135689335,0.7921446546761464,1.0,0.7630205262159202
200_SD,0.8012819018326284,0.8012132773669057,0.8017688927871822,0.8002913000535544,0.801187224778688,0.8009904434850204,0.801079282738661,-0.32555487589593884,-0.11991023347931942,-0.3960235041577126,-0.34146358737095284,-0.21757921681255266,0.8067741895633372,0.8134171236680064,0.7630205262159202,1.0
