,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,50_MA,200_MA,50_SD,200_SD
Prev Close,1.0,0.999921058162731,0.9997510323117074,0.9997130212594765,0.9995832761560239,0.9995957567606117,0.9997430083248399,-0.2816099506794451,0.06833514551146012,-0.1689777722052574,-0.17586759191192183,-0.02615516035510972,0.9944017824620598,0.977336524096206,0.7767395934125326,0.8908682633685369
Open,0.999921058162731,1.0,0.9998087967711783,0.9997758599190039,0.9996450651014182,0.9996569619373863,0.9998027598933726,-0.2818716259567557,0.06885230432478878,-0.16806906870160512,-0.1768879175097123,-0.027051590553188426,0.9942196909865537,0.9770050416008311,0.7767762547891728,0.8911252990877307
High,0.9997510323117074,0.9998087967711783,1.0,0.9997040628580918,0.9998409464589694,0.9998451254122395,0.9999184280171998,-0.279829442799659,0.07361475259140164,-0.16304162552814316,-0.17615908411833567,-0.03011905317485414,0.9940597346643579,0.9766628844276495,0.7772370076140239,0.8911459441719876
Low,0.9997130212594765,0.9997758599190039,0.9997040628580918,1.0,0.9998063027921313,0.9998190260699295,0.9998938530936791,-0.2833991077024238,0.06607141636458466,-0.17224155421178744,-0.1776889943381536,-0.02535552237423603,0.9941189607284489,0.9771794709570246,0.7760606431206512,0.890915849151951
Last,0.9995832761560239,0.9996450651014182,0.9998409464589694,0.9998063027921313,1.0,0.9999934570405927,0.9999374730686079,-0.2814236730888099,0.07023019855735199,-0.1672116250665259,-0.17692228474328753,-0.028137340403347894,0.9940603034570645,0.976960614542495,0.7761378362944329,0.8908530273306319
Close,0.9995957567606117,0.9996569619373863,0.9998451254122395,0.9998190260699295,0.9999934570405927,1.0,0.9999477560380245,-0.28149661524184844,0.07017891124548868,-0.16732288967242964,-0.17695832821679788,-0.028088600441238867,0.9940771772310103,0.9770055246734677,0.7761735922433777,0.8908059705141573
VWAP,0.9997430083248399,0.9998027598933726,0.9999184280171998,0.9998938530936791,0.9999374730686079,0.9999477560380245,1.0,-0.2815669763771016,0.07015936950302197,-0.1671945478957038,-0.17711109726446408,-0.028317821978448163,0.9941106974527387,0.9769384366411806,0.776641777552231,0.8910448722073558
Volume,-0.2816099506794451,-0.2818716259567557,-0.279829442799659,-0.2833991077024238,-0.2814236730888099,-0.28149661524184844,-0.2815669763771016,1.0,0.810309004779767,0.7554115702035732,0.8473879481762282,-0.1873344438814464,-0.28600212462979285,-0.37996077667547484,-0.17807988287896948,-0.260780756919892
Turnover,0.06833514551146012,0.06885230432478878,0.07361475259140164,0.06607141636458466,0.07023019855735199,0.07017891124548868,0.07015936950302197,0.810309004779767,1.0,0.6810536923211146,0.79205636218815,-0.18652732164697286,0.05863036974284727,0.06411400029386276,0.1026697323881644,0.1979914756447548
Trades,-0.1689777722052574,-0.16806906870160512,-0.16304162552814316,-0.17224155421178744,-0.1672116250665259,-0.16732288967242964,-0.1671945478957038,0.7554115702035732,0.6810536923211146,1.0,0.42678570075719957,-0.25200462930099227,-0.17552445017661317,-0.18993675645290145,-0.05409022102118832,-0.0667254592728256
Deliverable Volume,-0.17586759191192183,-0.1768879175097123,-0.17615908411833567,-0.1776889943381536,-0.17692228474328753,-0.17695832821679788,-0.17711109726446408,0.8473879481762282,0.79205636218815,0.42678570075719957,1.0,0.06436885774593572,-0.1750130533766027,-0.41820724215605104,-0.11171698573012956,-0.31980257912311155
%Deliverble,-0.02615516035510972,-0.027051590553188426,-0.03011905317485414,-0.02535552237423603,-0.028137340403347894,-0.028088600441238867,-0.028317821978448163,-0.1873344438814464,-0.18652732164697286,-0.25200462930099227,0.06436885774593572,1.0,-0.02181888061086522,-0.009285492139385837,-0.07741940509070637,-0.11159797845110923
50_MA,0.9944017824620598,0.9942196909865537,0.9940597346643579,0.9941189607284489,0.9940603034570645,0.9940771772310103,0.9941106974527387,-0.28600212462979285,0.05863036974284727,-0.17552445017661317,-0.1750130533766027,-0.02181888061086522,1.0,0.9874049778391776,0.7847266274131834,0.8887915379044999
200_MA,0.977336524096206,0.9770050416008311,0.9766628844276495,0.9771794709570246,0.976960614542495,0.9770055246734677,0.9769384366411806,-0.37996077667547484,0.06411400029386276,-0.18993675645290145,-0.41820724215605104,-0.009285492139385837,0.9874049778391776,1.0,0.7627201208814115,0.8735531155437724
50_SD,0.7767395934125326,0.7767762547891728,0.7772370076140239,0.7760606431206512,0.7761378362944329,0.7761735922433777,0.776641777552231,-0.17807988287896948,0.1026697323881644,-0.05409022102118832,-0.11171698573012956,-0.07741940509070637,0.7847266274131834,0.7627201208814115,1.0,0.7489339190892225
200_SD,0.8908682633685369,0.8911252990877307,0.8911459441719876,0.890915849151951,0.8908530273306319,0.8908059705141573,0.8910448722073558,-0.260780756919892,0.1979914756447548,-0.0667254592728256,-0.31980257912311155,-0.11159797845110923,0.8887915379044999,0.8735531155437724,0.7489339190892225,1.0
