,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,50_MA,200_MA,50_SD,200_SD
Prev Close,1.0,0.9987690124904467,0.9986405944019818,0.9986263280063812,0.9984764331194165,0.9984734106144201,0.9986146775317734,-0.1819508062834422,0.2691433999747607,0.1319691329696181,-0.1714915226147516,0.14753355744857277,0.9774760806503744,0.9622893760328439,0.23704482537627328,0.3815414241296685
Open,0.9987690124904467,1.0,0.9998342981328889,0.9998390833135238,0.9996841790127478,0.9996830928655114,0.9998155629196211,-0.18227806450818437,0.2691812747909335,0.13189822310466515,-0.1732707269120862,0.14624727141384034,0.9763560012674581,0.9618995798695633,0.2353044079213129,0.3815916931813121
High,0.9986405944019818,0.9998342981328889,1.0,0.9998058645405058,0.9998686764964485,0.9998715715663856,0.9999403223187842,-0.17945400500200331,0.27313609600925226,0.13561932189832085,-0.17125402021091968,0.14289357670960418,0.9762984033599766,0.9617259977461462,0.23567956046819385,0.38160553178505097
Low,0.9986263280063812,0.9998390833135238,0.9998058645405058,1.0,0.9998562008414114,0.9998626689470272,0.9999272594763537,-0.1843047831107739,0.26618230184721836,0.12806962346671358,-0.17566652874500202,0.14725803912806065,0.9761631690500424,0.9618232259755194,0.23468812669502576,0.3811410287354353
Last,0.9984764331194165,0.9996841790127478,0.9998686764964485,0.9998562008414114,1.0,0.9999924951725229,0.9999432682339661,-0.18185855897145653,0.2695882830183081,0.13163353868986694,-0.17378039120175867,0.14450723901289286,0.9761718953750451,0.9618016654111416,0.23509254019431713,0.3814495574080324
Close,0.9984734106144201,0.9996830928655114,0.9998715715663856,0.9998626689470272,0.9999924951725229,1.0,0.9999506140354336,-0.18193754962919348,0.2694841182229526,0.131494714361548,-0.17383847752999373,0.14464123699757467,0.9761651492824052,0.9618108312428504,0.23509843353825913,0.3813806963696193
VWAP,0.9986146775317734,0.9998155629196211,0.9999403223187842,0.9999272594763537,0.9999432682339661,0.9999506140354336,1.0,-0.18179411384628702,0.26965896421958935,0.13185970655395937,-0.17359619977725288,0.1446559380836362,0.9762181559606575,0.9617906849682774,0.2351496861376562,0.3813989935154013
Volume,-0.1819508062834422,-0.18227806450818437,-0.17945400500200331,-0.1843047831107739,-0.18185855897145653,-0.18193754962919348,-0.18179411384628702,1.0,0.7188205184574256,0.7568365516600418,0.8140673873612944,-0.3330774268130923,-0.17792968329479733,-0.19104107067595683,-0.018792371520747447,-0.01363028712163009
Turnover,0.2691433999747607,0.2691812747909335,0.27313609600925226,0.26618230184721836,0.2695882830183081,0.2694841182229526,0.26965896421958935,0.7188205184574256,1.0,0.8488445076311903,0.6988786733172189,-0.22175066610703484,0.2665683947491744,0.24135009498243853,0.11571205116322034,0.2116701113083746
Trades,0.1319691329696181,0.13189822310466515,0.13561932189832085,0.12806962346671358,0.13163353868986694,0.131494714361548,0.13185970655395937,0.7568365516600418,0.8488445076311903,1.0,0.7489522878732044,-0.2296074376046623,0.1474642570383115,0.14201237041401985,0.1035074186788865,0.18859167773339963
Deliverable Volume,-0.1714915226147516,-0.1732707269120862,-0.17125402021091968,-0.17566652874500202,-0.17378039120175867,-0.17383847752999373,-0.17359619977725288,0.8140673873612944,0.6988786733172189,0.7489522878732044,1.0,-0.01722465720486816,-0.15162705933265475,-0.1565646492501341,0.015817596971683848,0.0075446048247096486
%Deliverble,0.14753355744857277,0.14624727141384034,0.14289357670960418,0.14725803912806065,0.14450723901289286,0.14464123699757467,0.1446559380836362,-0.3330774268130923,-0.22175066610703484,-0.2296074376046623,-0.01722465720486816,1.0,0.16921956164893046,0.1653707462817375,0.07673630100387209,-0.0310113478254783
50_MA,0.9774760806503744,0.9763560012674581,0.9762984033599766,0.9761631690500424,0.9761718953750451,0.9761651492824052,0.9762181559606575,-0.17792968329479733,0.2665683947491744,0.1474642570383115,-0.15162705933265475,0.16921956164893046,1.0,0.9783535247243349,0.3845554699057168,0.3945920606097819
200_MA,0.9622893760328439,0.9618995798695633,0.9617259977461462,0.9618232259755194,0.9618016654111416,0.9618108312428504,0.9617906849682774,-0.19104107067595683,0.24135009498243853,0.14201237041401985,-0.1565646492501341,0.1653707462817375,0.9783535247243349,1.0,0.5121236135318372,0.48392412218790215
50_SD,0.23704482537627328,0.2353044079213129,0.23567956046819385,0.23468812669502576,0.23509254019431713,0.23509843353825913,0.2351496861376562,-0.018792371520747447,0.11571205116322034,0.1035074186788865,0.015817596971683848,0.07673630100387209,0.3845554699057168,0.5121236135318372,1.0,0.3734176216014958
200_SD,0.3815414241296685,0.3815916931813121,0.38160553178505097,0.3811410287354353,0.3814495574080324,0.3813806963696193,0.3813989935154013,-0.01363028712163009,0.2116701113083746,0.18859167773339963,0.0075446048247096486,-0.0310113478254783,0.3945920606097819,0.48392412218790215,0.3734176216014958,1.0
