,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,50_MA,200_MA,50_SD,200_SD
Prev Close,1.0,0.9979972619069717,0.9978020535968352,0.9978011656758994,0.9975484112965559,0.9975716615870797,0.9977954944416224,-0.2960804859699015,0.09474988714309387,-0.06252142627438805,-0.3070805673701475,-0.14497125443202366,0.9618999276431891,0.7975935844045986,0.1970880853165634,0.22841657452997763
Open,0.9979972619069717,1.0,0.9997744606720935,0.9998129645201715,0.9995345099463265,0.9995583436442466,0.9997879214211118,-0.2954590359652048,0.09647024631493449,-0.061267722913608574,-0.3069611540680273,-0.1454871676368424,0.9597662141748265,0.7948327292216446,0.19468225406933745,0.22788146978541785
High,0.9978020535968352,0.9997744606720935,1.0,0.999766120399577,0.999833270777142,0.9998506854603306,0.9999335625365128,-0.2908324150189599,0.10312142222931969,-0.05479388904336846,-0.3048800102099897,-0.14829401072456683,0.9596746689344545,0.7946432684889667,0.19489087259904442,0.22768775794268128
Low,0.9978011656758994,0.9998129645201715,0.999766120399577,1.0,0.999786605997328,0.9998103326476808,0.9999217196168904,-0.2965640280133637,0.09509707644515025,-0.06342913976450326,-0.30792367267541754,-0.14597305194365867,0.9593899750149213,0.7945899357688684,0.1945324223737598,0.22796495588824797
Last,0.9975484112965559,0.9995345099463265,0.999833270777142,0.999786605997328,1.0,0.9999888330495188,0.9998992996164137,-0.29258651135711156,0.10082026255570242,-0.05767314821553258,-0.30602882154947436,-0.14824216288169176,0.9593002124971208,0.7942883854069898,0.1947646400365625,0.22771670310293565
Close,0.9975716615870797,0.9995583436442466,0.9998506854603306,0.9998103326476808,0.9999888330495188,1.0,0.9999213856595556,-0.292577230748336,0.10081986445794357,-0.057694191529124424,-0.3060472497020222,-0.14828412054493426,0.9593347420567259,0.7943448009635705,0.19478849383421823,0.2277900848662518
VWAP,0.9977954944416224,0.9997879214211118,0.9999335625365128,0.9999217196168904,0.9998992996164137,0.9999213856595556,1.0,-0.2932670643226109,0.09990131639616504,-0.05841295036235401,-0.30631646965898884,-0.14770459483815862,0.9595203405157476,0.7945990049176018,0.19477698623249273,0.22787921666278382
Volume,-0.2960804859699015,-0.2954590359652048,-0.2908324150189599,-0.2965640280133637,-0.29258651135711156,-0.292577230748336,-0.2932670643226109,1.0,0.6232905527048545,0.7199252472631027,0.8320132329387794,-0.024215437147425127,-0.3062635017112814,-0.31022007899890464,-0.07020729672451098,-0.14919047029190638
Turnover,0.09474988714309387,0.09647024631493449,0.10312142222931969,0.09509707644515025,0.10082026255570242,0.10081986445794357,0.09990131639616504,0.6232905527048545,1.0,0.9008414106540584,0.38756484799279456,-0.1763243398724032,0.06307513304543386,0.010484416359421914,0.041514370215874695,-0.024713043056274503
Trades,-0.06252142627438805,-0.061267722913608574,-0.05479388904336846,-0.06342913976450326,-0.05767314821553258,-0.057694191529124424,-0.05841295036235401,0.7199252472631027,0.9008414106540584,1.0,0.45998658464570474,-0.16294997859409713,-0.07437649728721321,-0.10031537755129377,0.002040099776387485,-0.1066466212045961
Deliverable Volume,-0.3070805673701475,-0.3069611540680273,-0.3048800102099897,-0.30792367267541754,-0.30602882154947436,-0.3060472497020222,-0.30631646965898884,0.8320132329387794,0.38756484799279456,0.45998658464570474,1.0,0.3885508072876296,-0.30766639608442015,-0.2979567256268555,-0.08930366646976852,-0.13531730238357692
%Deliverble,-0.14497125443202366,-0.1454871676368424,-0.14829401072456683,-0.14597305194365867,-0.14824216288169176,-0.14828412054493426,-0.14770459483815862,-0.024215437147425127,-0.1763243398724032,-0.16294997859409713,0.3885508072876296,1.0,-0.13871990544584475,-0.10856857895803976,-0.061135934784811635,0.02534884415272137
50_MA,0.9618999276431891,0.9597662141748265,0.9596746689344545,0.9593899750149213,0.9593002124971208,0.9593347420567259,0.9595203405157476,-0.3062635017112814,0.06307513304543386,-0.07437649728721321,-0.30766639608442015,-0.13871990544584475,1.0,0.8792785032271426,0.3844422117378081,0.2826548175762637
200_MA,0.7975935844045986,0.7948327292216446,0.7946432684889667,0.7945899357688684,0.7942883854069898,0.7943448009635705,0.7945990049176018,-0.31022007899890464,0.010484416359421914,-0.10031537755129377,-0.2979567256268555,-0.10856857895803976,0.8792785032271426,1.0,0.5178180624697192,0.6227256879067278
50_SD,0.1970880853165634,0.19468225406933745,0.19489087259904442,0.1945324223737598,0.1947646400365625,0.19478849383421823,0.19477698623249273,-0.07020729672451098,0.041514370215874695,0.002040099776387485,-0.08930366646976852,-0.061135934784811635,0.3844422117378081,0.5178180624697192,1.0,0.36397054971679066
200_SD,0.22841657452997763,0.22788146978541785,0.22768775794268128,0.22796495588824797,0.22771670310293565,0.2277900848662518,0.22787921666278382,-0.14919047029190638,-0.024713043056274503,-0.1066466212045961,-0.13531730238357692,0.02534884415272137,0.2826548175762637,0.6227256879067278,0.36397054971679066,1.0
