,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,50_MA,200_MA,50_SD,200_SD
Prev Close,1.0,0.999296128069384,0.9982149689903779,0.998044483370078,0.9972129909968535,0.9972033013602346,0.9981736788899007,-0.3128152837373513,-0.04775680322331416,-0.09481467843415514,-0.16295561372957298,0.3330683693059155,0.9737005846226815,0.909073792002356,0.1235553092344884,0.11986094537186583
Open,0.999296128069384,1.0,0.9984790576009173,0.9984546614817257,0.9973789322709513,0.9973777145954512,0.9983979827855612,-0.3124599637128141,-0.04801473506989766,-0.09456536431410334,-0.16349858046627264,0.3318698809585092,0.9732407548368016,0.9082595251656775,0.12442693451954631,0.12178230782707597
High,0.9982149689903779,0.9984790576009173,1.0,0.9980160225092429,0.9988939045451345,0.9989136221074087,0.999436729727277,-0.298951620558747,-0.030958979218358555,-0.07622568818648028,-0.15324799378336226,0.3224895858071365,0.9731003928891485,0.9084371196068133,0.13304746353451805,0.1268864735687172
Low,0.998044483370078,0.9984546614817257,0.9980160225092429,1.0,0.9985941056078429,0.9987416438734361,0.9992499669803087,-0.3224835186538226,-0.05864057970837947,-0.10715118477010846,-0.17391465666571745,0.33611813694183695,0.9718448794901235,0.9064555866148182,0.1157282682748143,0.11765717767068616
Last,0.9972129909968535,0.9973789322709513,0.9988939045451345,0.9985941056078429,1.0,0.9998987394587615,0.9994887787927814,-0.30884857222134393,-0.04257060300005373,-0.09076924488559307,-0.16248393399335873,0.3284858925943456,0.9725322206946573,0.9078318271474024,0.12376148978371335,0.1213607118641838
Close,0.9972033013602346,0.9973777145954512,0.9989136221074087,0.9987416438734361,0.9998987394587615,1.0,0.999586877346798,-0.3083914093677617,-0.0417917874014677,-0.09063925367111463,-0.1618420149790302,0.3284105477987093,0.9723009882456123,0.9075949998183398,0.12329714357265603,0.1213887481817657
VWAP,0.9981736788899007,0.9983979827855612,0.999436729727277,0.9992499669803087,0.9994887787927814,0.999586877346798,1.0,-0.3087357869090608,-0.0421422349867925,-0.08971955897998192,-0.16203643430739575,0.3284404902708999,0.9726971912452425,0.907676998154149,0.12449075971790982,0.12234069407457544
Volume,-0.3128152837373513,-0.3124599637128141,-0.298951620558747,-0.3224835186538226,-0.30884857222134393,-0.3083914093677617,-0.3087357869090608,1.0,0.9158253026643521,0.7396509681501955,0.8827413463368597,-0.2466704369312166,-0.3219587754544864,-0.33754845443902565,0.13762717584689374,0.0506079054931861
Turnover,-0.04775680322331416,-0.04801473506989766,-0.030958979218358555,-0.05864057970837947,-0.04257060300005373,-0.0417917874014677,-0.0421422349867925,0.9158253026643521,1.0,0.7337997547443972,0.8920400549860379,-0.13325978652906703,-0.06119624547048598,-0.08044240943785491,0.19384639588233188,0.09141895007293854
Trades,-0.09481467843415514,-0.09456536431410334,-0.07622568818648028,-0.10715118477010846,-0.09076924488559307,-0.09063925367111463,-0.08971955897998192,0.7396509681501955,0.7337997547443972,1.0,0.60545419901093,-0.23013119260326123,-0.09622970173306135,-0.11820794304977568,0.3141105227267378,0.1918223162887138
Deliverable Volume,-0.16295561372957298,-0.16349858046627264,-0.15324799378336226,-0.17391465666571745,-0.16248393399335873,-0.1618420149790302,-0.16203643430739575,0.8827413463368597,0.8920400549860379,0.60545419901093,1.0,0.05890591335672514,-0.15502953089947707,-0.15239743107954898,0.12561314267320622,0.007170023024415367
%Deliverble,0.3330683693059155,0.3318698809585092,0.3224895858071365,0.33611813694183695,0.3284858925943456,0.3284105477987093,0.3284404902708999,-0.2466704369312166,-0.13325978652906703,-0.23013119260326123,0.05890591335672514,1.0,0.3625269640659245,0.3806841306364329,-0.14811652082811033,-0.20118799317834976
50_MA,0.9737005846226815,0.9732407548368016,0.9731003928891485,0.9718448794901235,0.9725322206946573,0.9723009882456123,0.9726971912452425,-0.3219587754544864,-0.06119624547048598,-0.09622970173306135,-0.15502953089947707,0.3625269640659245,1.0,0.9516485368960093,0.1339061427526461,0.09937566992408332
200_MA,0.909073792002356,0.9082595251656775,0.9084371196068133,0.9064555866148182,0.9078318271474024,0.9075949998183398,0.907676998154149,-0.33754845443902565,-0.08044240943785491,-0.11820794304977568,-0.15239743107954898,0.3806841306364329,0.9516485368960093,1.0,0.13056661136491857,0.04163281877850689
50_SD,0.1235553092344884,0.12442693451954631,0.13304746353451805,0.1157282682748143,0.12376148978371335,0.12329714357265603,0.12449075971790982,0.13762717584689374,0.19384639588233188,0.3141105227267378,0.12561314267320622,-0.14811652082811033,0.1339061427526461,0.13056661136491857,1.0,0.385111179689343
200_SD,0.11986094537186583,0.12178230782707597,0.1268864735687172,0.11765717767068616,0.1213607118641838,0.1213887481817657,0.12234069407457544,0.0506079054931861,0.09141895007293854,0.1918223162887138,0.007170023024415367,-0.20118799317834976,0.09937566992408332,0.04163281877850689,0.385111179689343,1.0
