Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,TATAMOTORS,EQ,201.6,207.4,217.25,207.4,217,216.75,214.28,676126,14487800000000,,,
2000-01-04,TATAMOTORS,EQ,216.75,217,219,206,211.9,208.2,209.5,679215,14229618695000,,,
2000-01-05,TATAMOTORS,EQ,208.2,194,217.8,194,213.1,213.25,210.33,1120951,23576800000000,,,
2000-01-06,TATAMOTORS,EQ,213.25,215,229.9,215,222,222.1,225.29,1968998,44359300000000,,,
2000-01-07,TATAMOTORS,EQ,222.1,224,239.9,223.1,239.9,239.9,236.32,2199431,51976400000000,,,
2000-01-10,TATAMOTORS,EQ,239.9,259,259.1,248,259.1,258.85,257.2,1720542,44253000000000,,,
2000-01-11,TATAMOTORS,EQ,258.85,260,260,238.15,238.15,238.15,246.63,1207916,29790800000000,,,
2000-01-12,TATAMOTORS,EQ,238.15,240,246,229,242.45,240.25,237.13,938579,22256500000000,,,
2000-01-13,TATAMOTORS,EQ,240.25,243,245,231.6,233,235.45,237.31,565754,13426100000000,,,
2000-01-14,TATAMOTORS,EQ,235.45,234.95,243,233,239.8,239.05,239.04,1024725,24495000000000,,,
2000-01-17,TATAMOTORS,EQ,239.05,242.95,258.1,242.95,251,250.65,252.65,1482994,37468300000000,,,
2000-01-18,TATAMOTORS,EQ,250.65,251,252.5,245.05,250,248,248.46,792347,19686700000000,,,
2000-01-19,TATAMOTORS,EQ,248,251,257.9,242.6,249.5,250.5,249.51,1221042,30466078260000,,,
2000-01-20,TATAMOTORS,EQ,250.5,250,250,233.6,234,235.7,242.37,557949,13523200000000,,,
2000-01-21,TATAMOTORS,EQ,235.7,230.1,233.8,225.5,231.1,232.2,230.09,696339,16022000000000,,,
2000-01-24,TATAMOTORS,EQ,232.2,230,235.9,213.65,213.65,213.65,223.44,1125168,25140800000000,,,
2000-01-25,TATAMOTORS,EQ,213.65,200.35,204.9,196.6,196.6,196.6,198.54,706121,14019400000000,,,
2000-01-27,TATAMOTORS,EQ,196.6,190,193,180.9,180.9,180.9,182.54,1728526,31552400000000,,,
2000-01-28,TATAMOTORS,EQ,180.9,171,182,168.35,175,175.2,174.95,2671887,46745700000000,,,
2000-01-31,TATAMOTORS,EQ,175.2,171.15,188.7,170.05,178.6,179.7,181.2,2850688,51653900000000,,,
2000-02-01,TATAMOTORS,EQ,179.7,179.9,184.9,172.1,176.1,175.3,177.04,1206216,21354700000000,,,
2000-02-02,TATAMOTORS,EQ,175.3,184,186.9,178.35,179.95,180.1,182.72,896220,16376200000000,,,
