Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2004-01-23,UPL,EQ,10,100,560,100,555.1,553.8,483.69,73629,3561361450000,,52799,0.7171
2004-01-27,UPL,EQ,553.8,570,570,525,530.1,540.35,540.77,26737,1445850850000,,17314,0.6476
2004-01-28,UPL,EQ,540.35,530,565,511,542,538.85,542.24,32155,1743569020000,,23285,0.7241
2004-01-29,UPL,EQ,538.85,530,543.5,504,517,515.1,529.23,19074,1009447220000,,12935,0.6781
2004-01-30,UPL,EQ,515.1,519,519,471.4,485,482.95,485.85,23807,1156659385000,,12750,0.5356
2004-02-03,UPL,EQ,482.95,472,475,450,465,461.45,466.1,25068,1168431745000,,17793,0.7098
2004-02-04,UPL,EQ,461.45,442,479,442,475,475.15,470.81,21392,1007167445000,,18545,0.8669
2004-02-05,UPL,EQ,475.15,475,489,470.5,475.05,480.15,477.59,19618,936930590000,,16395,0.8357
2004-02-06,UPL,EQ,480.15,461.1,486,461,485.9,480.75,477.32,11997,572643405000,,10892,0.9079
2004-02-09,UPL,EQ,480.75,475,483,462.05,474.8,471.95,471.87,19547,922368255000,,14957,0.7652
2004-02-10,UPL,EQ,471.95,480,480,459,475.15,477.8,473.86,20031,949198120000,,16818,0.8396
2004-02-11,UPL,EQ,477.8,479,483.95,475.8,481.5,479.75,479.86,8149,391037335000,,6622,0.8126
2004-02-12,UPL,EQ,479.75,480,489,475.55,489,486.35,482.42,10600,511370200000,,10078,0.9508
2004-02-13,UPL,EQ,486.35,493,495.95,480,495,492.8,490.14,14134,692757575000,,13028,0.9217
2004-02-16,UPL,EQ,492.8,465,498,465,495,494.35,491.4,9670,475185065000,,8443,0.8731
2004-02-17,UPL,EQ,494.35,491,500,490,495.3,497.65,495.64,38983,1932144315000,,37568,0.9637
2004-02-18,UPL,EQ,497.65,495,504,492,501.5,501.75,499.92,8918,445832845000,,7457,0.8362
2004-02-19,UPL,EQ,501.75,500,500,475,486,481.55,486.65,24195,1177461005000,,20914,0.8644
2004-02-20,UPL,EQ,481.55,484.9,484.9,471.65,475,475,475.15,44404,2109843305000,,41888,0.9433
2004-02-23,UPL,EQ,475,505,505,465,472,469.2,470.74,13769,648165555000,,12937,0.9396
2004-02-24,UPL,EQ,469.2,469.55,485.1,469.5,482,482.6,478.72,11944,571787895000,,10832,0.9069
2004-02-25,UPL,EQ,482.6,484,484,469.5,477.9,470.85,470.59,8565,403058640000,,7549,0.8814
2004-02-26,UPL,EQ,470.85,476,485,460,470,470.65,476.5,6316,300957650000,,5153,0.8159
2004-02-27,UPL,EQ,470.65,466.1,481,466.1,478,477.7,473.09,80565,3811446440000,,79047,0.9812
2004-03-01,UPL,EQ,477.7,475.6,482,471.5,478,479.65,477.5,8563,408881415000,,7033,0.8213
2004-03-03,UPL,EQ,479.65,490,531.7,490,518.95,516.6,509.97,46849,2389158205000,,31587,0.6742
2004-03-04,UPL,EQ,516.6,529.5,529.5,493.3,500.7,498.95,508.34,13976,710451480000,,7389,0.5287
2004-03-05,UPL,EQ,498.95,508,509.9,496.25,500,499.5,500.27,13147,657707120000,,9622,0.7319
2004-03-08,UPL,EQ,499.5,500,514,500,513,513.2,509.88,18863,961782820000,,14232,0.7545
2004-03-09,UPL,EQ,513.2,514,518.9,501.15,511.95,512.3,509.65,13688,697615210000,,10029,0.7327
2004-03-10,UPL,EQ,512.3,505,512,505,510,509.9,510.64,13606,694776585000,,12634,0.9286
2004-03-11,UPL,EQ,509.9,505,518,505,515,515.2,514.6,14098,725479080000,,11514,0.8167
2004-03-12,UPL,EQ,515.2,515,515,487.05,496.25,497.3,495.7,4523,224205755000,,3542,0.7831
2004-03-15,UPL,EQ,497.3,485.25,508,450,485.05,498.4,495.31,15463,765896845000,,10323,0.6676
2004-03-16,UPL,EQ,498.4,481.3,493,477,479,481.4,482.39,2871,138494865000,,2304,0.8025
2004-03-17,UPL,EQ,481.4,485,485,476,476.05,477.15,479.72,2033,97527580000,,993,0.4884
2004-03-18,UPL,EQ,477.15,483.1,488.9,475,475,481.6,481.54,5990,288445310000,,4686,0.7823
2004-03-19,UPL,EQ,481.6,482.05,488.9,480,483.65,484.4,481.93,4890,235662920000,,4321,0.8836
2004-03-22,UPL,EQ,484.4,475.2,475.2,460,460,461.4,463.44,13607,630599965000,,12812,0.9416
2004-03-23,UPL,EQ,461.4,455.25,457,428,445,444.4,443.51,11645,516469730000,,9231,0.7927
2004-03-24,UPL,EQ,444.4,436.1,443,430,430,432.25,438.35,1065,46684675000,,921,0.8648
2004-03-25,UPL,EQ,432.25,431,449.95,430,437,436.25,440.24,6362,280083825000,,5574,0.8761
2004-03-26,UPL,EQ,436.25,441,463.8,441,455,455.65,454.84,4840,220141980000,,4049,0.8366
2004-03-29,UPL,EQ,455.65,464.75,464.75,450,451,451.75,455.82,5322,242587955000,,4270,0.8023
2004-03-30,UPL,EQ,451.75,460,462,457,457,457.65,459.95,1641,75477270000,,891,0.543
2004-03-31,UPL,EQ,457.65,460,462.9,451.55,458,459.4,459.9,7332,337201925000,,6754,0.9212
2004-04-01,UPL,EQ,459.4,460,500,460,475,484.25,486.92,8363,407208565000,,6590,0.788
2004-04-02,UPL,EQ,484.25,490,490,475,475.15,480.65,480.06,1694,81321700000,,1339,0.7904
2004-04-05,UPL,EQ,480.65,480.1,494.9,475,485.75,486.75,487.14,3413,166260685000,,3067,0.8986
2004-04-06,UPL,EQ,486.75,482.25,485,476.25,485,481.15,481.41,24012,1155952805000,,23420,0.9753
2004-04-07,UPL,EQ,481.15,473.9,490,473.9,482,482.05,481.02,3904,187791755000,,3440,0.8811
2004-04-08,UPL,EQ,482.05,482,486.9,480,482,481.55,480.25,17549,842799135000,,17028,0.9703
2004-04-12,UPL,EQ,481.55,475.1,482.4,475,478,478.55,479.32,5356,256723985000,,5066,0.9459
2004-04-13,UPL,EQ,478.55,470.5,482.05,470.5,476,476,476.09,12953,616674590000,,12743,0.9838
2004-04-15,UPL,EQ,476,476,488,476,487,485.5,484.05,3720,180068020000,,3414,0.9177
2004-04-16,UPL,EQ,485.5,488,492.25,486,490,490,489.61,8824,432029120000,,8638,0.9789
2004-04-17,UPL,EQ,490,490,490,480.3,488,483.95,483.79,250,12094810000,,174,0.696
