Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,TITAN,EQ,144.95,146.0,156.45,146.0,155.0,155.7,154.36,23000,355037000000.0,,,
2000-01-04,TITAN,EQ,155.7,152.0,152.0,144.0,148.05,147.4,146.72,26300,385870000000.0,,,
2000-01-05,TITAN,EQ,147.4,144.0,148.8,136.0,139.95,138.4,142.95,20600,294485000000.0,,,
2000-01-06,TITAN,EQ,138.4,142.0,149.5,141.0,149.5,149.5,147.87,31600,467275000000.0,,,
2000-01-07,TITAN,EQ,149.5,149.5,153.0,145.0,147.75,146.35,148.63,36600,543996500000.0,,,
2000-01-10,TITAN,EQ,146.35,150.0,150.0,141.05,144.65,144.9,145.28,33100,480879000000.0,,,
2000-01-11,TITAN,EQ,144.9,138.0,146.7,137.1,142.0,141.0,142.34,75600,1076059500000.0,,,
2000-01-12,TITAN,EQ,141.0,151.9,152.3,145.5,148.0,147.9,151.23,19711,298090655000.0,,,
2000-01-13,TITAN,EQ,147.9,151.5,157.0,146.3,148.6,148.85,154.34,62777,968924885000.0,,,
2000-01-14,TITAN,EQ,148.85,150.0,150.0,143.05,144.0,144.5,144.56,14332,207190540000.0,,,
2000-01-17,TITAN,EQ,144.5,143.0,150.5,141.8,143.9,143.75,144.02,7947,114450205000.0,,,
2000-01-18,TITAN,EQ,143.75,142.05,144.8,135.75,140.0,139.2,139.23,35683,496803645000.0,,,
2000-01-19,TITAN,EQ,139.2,142.6,145.0,140.0,142.65,142.15,142.34,22876,325617005000.0,,,
2000-01-20,TITAN,EQ,142.15,142.5,142.5,137.9,141.0,141.1,139.73,19869,277629450000.0,,,
2000-01-21,TITAN,EQ,141.1,139.0,140.95,137.15,138.6,138.85,138.9,13270,184319480000.0,,,
2000-01-24,TITAN,EQ,138.85,139.1,143.0,139.0,140.0,140.05,140.91,10451,147266145000.0,,,
2000-01-25,TITAN,EQ,140.05,140.0,140.4,136.7,137.3,137.7,138.55,8983,124455385000.00002,,,
2000-01-27,TITAN,EQ,137.7,140.0,144.9,136.5,138.8,138.7,138.6,4109,56952240000.0,,,
