Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-08,NESTLEIND,EQ,2512.95,2555,2575,2475.2,2476,2494.65,2529.81,648,163932000000,,438,0.6759
2010-01-11,NESTLEIND,EQ,2494.65,2401,2515,2400,2500,2498.95,2494.44,825,205791000000,,638,0.7733
2010-01-12,NESTLEIND,EQ,2498.95,2540,2540,2471.35,2505,2502.85,2485.22,68346,16985494095000,,67695,0.9905
2010-01-13,NESTLEIND,EQ,2502.85,2502.85,2540,2480,2489.8,2489.35,2491.94,1032,257168000000,,718,0.6957
2010-01-14,NESTLEIND,EQ,2489.35,2535,2595,2470,2560,2568.2,2510.27,330361,82929600000000,,329193,0.9965
2010-01-15,NESTLEIND,EQ,2568.2,2580,2580,2500.05,2524.8,2513.5,2548.35,8229,2097040000000,,7303,0.8875
2010-01-18,NESTLEIND,EQ,2513.5,2574,2574,2514,2542.05,2536.15,2534.76,883,223819000000,,689,0.7803
2010-01-19,NESTLEIND,EQ,2536.15,2567,2570,2531,2550,2556.1,2558.84,688,176048000000,,432,0.6279
2010-01-20,NESTLEIND,EQ,2556.1,2550,2575,2540,2541,2542.5,2552.32,641,163604000000,,549,0.8565
2010-01-21,NESTLEIND,EQ,2542.5,2539.9,2569,2499.9,2512.05,2526.2,2538.36,831,210938000000,,623,0.7497
2010-01-22,NESTLEIND,EQ,2526.2,2500,2530,2478,2530,2529,2516.42,681,171368000000,,357,0.5242
2010-01-25,NESTLEIND,EQ,2529,2665.35,2665.35,2510,2520,2522.25,2528.68,1955,494358000000,,846,0.4327
2010-01-27,NESTLEIND,EQ,2522.25,2570,2574.9,2498.6,2535.15,2566.9,2547.51,5302,1350690000000,,3898,0.7352
2010-01-28,NESTLEIND,EQ,2566.9,2568,2610,2535.5,2575,2586.85,2570.33,1048,269370000000,,750,0.7156
2010-01-29,NESTLEIND,EQ,2586.85,2526,2580,2526,2533,2533,2556.08,787,201163000000,,474,0.6023
2010-02-01,NESTLEIND,EQ,2533,2599.95,2599.95,2515.1,2532.2,2532.2,2546.42,614,156350000000,,354,0.5765
2010-02-02,NESTLEIND,EQ,2532.2,2599.1,2599.1,2540,2540,2560.1,2565.58,831,213200000000,,607,0.7304
2010-02-03,NESTLEIND,EQ,2560.1,2588,2600,2556,2560,2564.6,2579.62,8681,2239370000000,,8457,0.9742
2010-02-04,NESTLEIND,EQ,2564.6,2548,2583.8,2548,2582,2568.35,2566.97,442,113460000000,,362,0.819
2010-02-05,NESTLEIND,EQ,2568.35,2582,2582,2442,2541,2549.1,2543.23,1651,419886000000,,1017,0.616
2010-02-06,NESTLEIND,EQ,2549.1,2455,2572.9,2455,2572.9,2566.4,2538.32,33,8376445000,,32,0.9697
2010-02-08,NESTLEIND,EQ,2566.4,2570,2672,2570,2671.95,2645.5,2642.09,8181,2161490000000,,5288,0.6464
2010-02-09,NESTLEIND,EQ,2645.5,2600.1,2824,2600.1,2805,2792.6,2743.1,8861,2430660000000,,4089,0.4615
