Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,VEDL,EQ,107.7,111,116.35,108,116.35,116.35,114.8,20371,233860000000,,,
2000-01-04,VEDL,EQ,116.35,113.75,116,108,116,114.7,113.34,22366,253499000000,,,
2000-01-05,VEDL,EQ,114.7,107.55,115.85,107.55,114.5,114,112.78,18305,206436000000,,,
2000-01-06,VEDL,EQ,114,112,123.1,112,118.8,119.3,119.89,25800,309313000000,,,
2000-01-07,VEDL,EQ,119.3,119.85,120,114.05,116.5,116.5,116.84,17361,202840000000,,,
2000-01-10,VEDL,EQ,116.5,120.5,120.85,116,119,119,118.69,20707,245768000000,,,
2000-01-11,VEDL,EQ,119,118,118.2,113.35,113.35,114.55,116.3,20648,240140000000,,,
2000-01-12,VEDL,EQ,114.55,115.5,117.4,114.65,115.65,115.45,115.73,4995,57804725000,,,
2000-01-13,VEDL,EQ,115.45,112.25,115.9,112.1,115,115.1,114.9,15911,182824000000,,,
2000-01-14,VEDL,EQ,115.1,113.55,114,111.35,114,113.9,112.94,3722,42034650000,,,
2000-01-17,VEDL,EQ,113.9,114.05,117.5,114.05,115.5,115.55,116.01,7855,91122155000,,,
2000-01-18,VEDL,EQ,115.55,111.55,115.25,111.55,114.75,114.05,114.16,12095,138075000000,,,
2000-01-19,VEDL,EQ,114.05,119,119,115,117,117.4,117.22,3875,45421865000,,,
2000-01-20,VEDL,EQ,117.4,114,117,114,115.8,116.4,116.21,5656,65726415000,,,
2000-01-21,VEDL,EQ,116.4,115.45,116.25,112.5,114,114.2,114.5,6295,72074800000,,,
2000-01-24,VEDL,EQ,114.2,110.1,114.95,110.1,112,112,112.53,4139,46575320000,,,
2000-01-25,VEDL,EQ,112,110.1,110.45,107.15,107.15,107.55,108.73,7899,85887885000,,,
2000-01-27,VEDL,EQ,107.55,100,111,100,108.05,108.2,108.26,3404,36850225000,,,
2000-01-28,VEDL,EQ,108.2,110,110,105,106.5,105.75,105.97,12442,131850615000,,,
2000-01-31,VEDL,EQ,105.75,106,106,97.3,97.3,97.3,99.37,10492,104255000000,,,
2000-02-01,VEDL,EQ,97.3,91,99.25,91,98,97.85,95.55,9127,87208450000,,,
2000-02-02,VEDL,EQ,97.85,99.9,102.9,97.05,100,100.25,99.52,7271,72363235000,,,
2000-02-03,VEDL,EQ,100.25,104.9,105,100,100.5,100.95,101.7,5819,59181350000,,,
2000-02-04,VEDL,EQ,100.95,99.5,101.85,97.25,97.25,97.3,98.6,7791,76821230000,,,
2000-02-07,VEDL,EQ,97.3,95.05,96.65,94.15,95,95,95.16,7085,67421470000,,,
2000-02-08,VEDL,EQ,95,94.5,95,91.1,92,92.5,93.14,10152,94553595000,,,
2000-02-09,VEDL,EQ,92.5,93.1,95.95,91.05,91.05,91.05,93.75,6094,57130450000,,,
2000-02-10,VEDL,EQ,91.05,89.1,91,88.25,89.8,89.8,89.63,8363,74961205000,,,
2000-02-11,VEDL,EQ,89.8,90,90,87.05,87.05,87.9,88.2,5047,44516470000,,,
