Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Sector
2015-01-01,TATAMOTORS,EQ,495.55,494.5,499.45,492.25,498.55,498.45,496.76,934528,46423400000000,12769,303443,0.3247,Automobile
2015-01-02,TATAMOTORS,EQ,498.45,497.25,517.4,497.25,513.5,511.8,510.18,4148596,211651466895000,60297,2098181,0.5058,Automobile
2015-01-05,TATAMOTORS,EQ,511.8,510.1,526,506.7,524.1,523.8,518.6,6686952,346784966200000,89227,3696954,0.5529,Automobile
2015-01-06,TATAMOTORS,EQ,523.8,514.35,514.35,499.25,502,501.4,504.78,7894918,398517019070000,160548,4736934,0.6,Automobile
2015-01-07,TATAMOTORS,EQ,501.4,495,500.4,489.2,493.7,493.85,494.52,9134678,451726907910000,166649,5515549,0.6038,Automobile
2015-01-08,TATAMOTORS,EQ,493.85,504,514.8,501,510,512,507.92,5476843,278179159245000,118182,3026127,0.5525,Automobile
2015-01-09,TATAMOTORS,EQ,512,521.25,524.95,515.5,521,522.3,520.89,4010545,208905822280000,65449,1490902,0.3717,Automobile
2015-01-12,TATAMOTORS,EQ,522.3,518.5,524.7,511.25,520.95,522.3,518.46,2533395,131346375580000,46938,887960,0.3505,Automobile
2015-01-13,TATAMOTORS,EQ,522.3,520.35,525.7,515.25,518.85,519.45,520.21,4282874,222799671925000,108600,2340841,0.5466,Automobile
2015-01-14,TATAMOTORS,EQ,519.45,521.5,526.65,513.95,520.2,520.35,519.72,6006186,312154570990000,150795,3581116,0.5962,Automobile
2015-01-15,TATAMOTORS,EQ,520.35,528.3,536,523.75,529.05,532.95,530.82,6829305,362515225180000,103995,4508480,0.6602,Automobile
2015-01-16,TATAMOTORS,EQ,532.95,531.1,535.8,522.4,525.5,525.75,526.46,4205034,221379279635000,116101,2354307,0.5599,Automobile
2015-01-19,TATAMOTORS,EQ,525.75,526.5,539.6,523.15,536.95,538.5,533.54,4568341,243737024370000,80811,2643623,0.5787,Automobile
2015-01-20,TATAMOTORS,EQ,538.5,538.75,561,534.75,559.95,559.2,548.76,6075180,333384323105000,113370,3661470,0.6027,Automobile
2015-01-21,TATAMOTORS,EQ,559.2,556.85,558.45,546,550.45,551.5,551.8,6452158,356031082435000,96859,3634084,0.5632,Automobile
2015-01-22,TATAMOTORS,EQ,551.5,550.65,568.7,548.55,566.1,566.5,562.29,5946787,334382290555000,107930,2933534,0.4933,Automobile
2015-01-23,TATAMOTORS,EQ,566.5,575,591.15,574,586.1,588.45,582.5,7682336,447498469215000,92066,3741521,0.487,Automobile
2015-01-27,TATAMOTORS,EQ,588.45,596.05,607.7,596.05,606,604.55,601.15,7136967,429041144975000,196320,4358018,0.6106,Automobile
2015-01-28,TATAMOTORS,EQ,604.55,599,599.2,587,588.05,589.2,592.08,8209728,486079195590000,104919,5581451,0.6799,Automobile
2015-01-29,TATAMOTORS,EQ,589.2,586,600.7,580.6,597,598.6,594.14,5812166,345324801985000,85051,3459558,0.5952,Automobile
2015-01-30,TATAMOTORS,EQ,598.6,601.4,604.7,581.1,586.4,585.15,588.21,4136616,243318021740000,86101,2241651,0.5419,Automobile
2015-02-02,TATAMOTORS,EQ,585.15,587.8,595.9,580.85,592.25,592.5,587.98,4316925,253827051105000,88096,2469607,0.5721,Automobile
2015-02-03,TATAMOTORS,EQ,592.5,597.65,612.4,596.2,598.15,603.3,604.73,6035606,364992435350000,96822,2269020,0.3759,Automobile
2015-02-04,TATAMOTORS,EQ,603.3,606.65,606.65,588.2,592,591.4,594.17,3362648,199800125825000,47277,1537929,0.4574,Automobile
2015-02-05,TATAMOTORS,EQ,591.4,591,602.9,582,587.6,589.2,593.51,6774777,402090875615000,89368,2681732,0.3958,Automobile
2015-02-06,TATAMOTORS,EQ,589.2,567.05,572,552.2,559.95,559.6,559.06,12091509,675985351945000,138040,6038555,0.4994,Automobile
2015-02-09,TATAMOTORS,EQ,559.6,550,554.45,541.3,542.8,542.65,548.07,4579430,250987047020000,103468,2535079,0.5536,Automobile
2015-02-10,TATAMOTORS,EQ,542.65,544,568,543.35,563.7,564.1,556.33,5557625,309187696995000,152320,2311994,0.416,Automobile
2015-02-11,TATAMOTORS,EQ,564.1,567,571.4,553.35,560.15,558.9,558.41,4588336,256218962995000,48774,2850580,0.6213,Automobile
2015-02-12,TATAMOTORS,EQ,558.9,562.2,566,552.5,563.15,561.8,559.76,5430678,303990121890000,85995,3393208,0.6248,Automobile
2015-02-13,TATAMOTORS,EQ,561.8,562.7,567.2,555,565.2,565.55,561.8,3469320,194904951310000,52803,1788964,0.5157,Automobile
2015-02-16,TATAMOTORS,EQ,565.55,569,580.45,565.5,574,574.15,575.4,5732125,329826376955000,86836,3385742,0.5907,Automobile
2015-02-18,TATAMOTORS,EQ,574.15,572.7,587,560.65,583.1,584.3,578.82,5784461,334816856635000,82272,2781154,0.4808,Automobile
2015-02-19,TATAMOTORS,EQ,584.3,586,592.55,572.1,578,576.55,579.88,4271131,247674749130000,58383,1971281,0.4615,Automobile
2015-02-20,TATAMOTORS,EQ,576.55,579.5,585,572.25,580,579.9,579.54,3865784,224038848275000,55828,1672931,0.4328,Automobile
2015-02-23,TATAMOTORS,EQ,579.9,582,584.45,572.05,575.5,574.2,577.53,3008142,173727913190000,57776,1616233,0.5373,Automobile
2015-02-24,TATAMOTORS,EQ,574.2,577,578,559.95,566,564.4,565.35,4304190,243335302880000,112352,2595146,0.6029,Automobile
2015-02-25,TATAMOTORS,EQ,564.4,566.7,576,564,567,568.2,570.34,3050026,173956633360000,112897,1421812,0.4662,Automobile
2015-02-26,TATAMOTORS,EQ,568.2,570.1,572.05,557.35,562.4,560.65,564.14,3533029,199312471160000,110847,2132093,0.6035,Automobile
2015-02-27,TATAMOTORS,EQ,560.65,567.05,581,563.5,574,575.15,573.35,4310800,247158862550000,71172,2498817,0.5797,Automobile
2015-02-28,TATAMOTORS,EQ,575.15,576.85,598.95,563.8,597.5,593.35,581.82,4108469,239039174635000,52826,1240001,0.3018,Automobile
2015-03-02,TATAMOTORS,EQ,593.35,597.4,601,573.1,584.15,585,583.67,4899347,285961478450000,87452,1970829,0.4023,Automobile
2015-03-03,TATAMOTORS,EQ,585,582.5,582.5,572,573,574.1,574.72,3555077,204319078760000,61743,1904980,0.5358,Automobile
2015-03-04,TATAMOTORS,EQ,574.1,581.5,592.1,570.1,574.6,574.1,582.51,6176534,359786380980000,100471,3045438,0.4931,Automobile
2015-03-05,TATAMOTORS,EQ,574.1,576,577.8,567.7,570.6,570.7,570.93,3318912,189487619685000,54186,1643994,0.4953,Automobile
2015-03-09,TATAMOTORS,EQ,570.7,571,573.6,562,563.1,565.1,567.15,3528212,200103818710000,79654,1881814,0.5334,Automobile
2015-03-10,TATAMOTORS,EQ,565.1,567.9,572.7,558.7,561,560.2,565.6,3875591,219205084855000,95351,2334109,0.6023,Automobile
2015-03-11,TATAMOTORS,EQ,560.2,561,565.2,548.2,551.1,550.9,553.58,3151043,174436734560000,49654,1446518,0.4591,Automobile
2015-03-12,TATAMOTORS,EQ,550.9,554.9,566.95,554.3,564.95,563.9,563.09,3394342,191133241390000,52210,1824525,0.5375,Automobile
2015-03-13,TATAMOTORS,EQ,563.9,565.65,565.7,555.1,559,558.35,559.33,5325356,297862622465000,78654,3318718,0.6232,Automobile
2015-03-16,TATAMOTORS,EQ,558.35,559.05,565.7,554.25,558.1,556.9,558.76,2757396,154071563910000,55050,1569358,0.5691,Automobile
2015-03-17,TATAMOTORS,EQ,556.9,564,579,562.4,569.9,571.55,571.05,5338621,304862305585000,75991,2596984,0.4865,Automobile
2015-03-18,TATAMOTORS,EQ,571.55,570.35,571,556.5,560.65,560.2,562.65,4521120,254380894635000,93145,2749376,0.6081,Automobile
2015-03-19,TATAMOTORS,EQ,560.2,565,568.95,551.25,552.45,553.8,560.74,3260146,182810764695000,58113,1966729,0.6033,Automobile
2015-03-20,TATAMOTORS,EQ,553.8,548.95,550.65,541,549,547.6,546.22,5065418,276682160430000,118862,3013487,0.5949,Automobile
2015-03-23,TATAMOTORS,EQ,547.6,548.05,557.8,548.05,552,551.45,552.82,3120391,172502095920000,61905,1634524,0.5238,Automobile
2015-03-24,TATAMOTORS,EQ,551.45,551.8,552.5,528.4,531.8,532.25,541.55,4471090,242131382930000,81591,2468536,0.5521,Automobile
2015-03-25,TATAMOTORS,EQ,532.25,535.5,545.6,533.5,541,541.85,540.09,8533721,460900042635000,122890,5830385,0.6832,Automobile
2015-03-26,TATAMOTORS,EQ,541.85,530.9,539,520.8,526.8,524.25,530.06,6475129,343223333255000,87728,3750175,0.5792,Automobile
2015-03-27,TATAMOTORS,EQ,524.25,525.65,536.8,518.15,535,535.35,530.65,4671141,247875907895000,81888,2566513,0.5494,Automobile
2015-03-30,TATAMOTORS,EQ,535.35,536.85,541.05,531.35,540.2,540,536.09,3969941,212824327105000,82911,2347989,0.5914,Automobile
2015-03-31,TATAMOTORS,EQ,540,540.15,559.8,537.6,550.6,550.2,549.67,5352135,294188816390000,142278,2821000,0.5271,Automobile
2015-04-01,TATAMOTORS,EQ,550.2,549.1,566.4,548,566.1,564.9,557.3,4177702,232824133040000,95664,2451421,0.5868,Automobile
2015-04-06,TATAMOTORS,EQ,564.9,563.9,573.5,555.35,566.5,568.15,569.34,5728358,326138489630000,102382,3384350,0.5908,Automobile
2015-04-07,TATAMOTORS,EQ,568.15,569.05,570.7,554.05,561,560.35,560.6,3201751,179491167745000,61991,1682094,0.5254,Automobile
2015-04-08,TATAMOTORS,EQ,560.35,565,569.6,559.2,563,561.5,564.54,3774897,213106490785000,77756,2105004,0.5576,Automobile
2015-04-09,TATAMOTORS,EQ,561.5,562.8,564.85,552.25,560,559.9,557.8,3043135,169746402740000,54869,1388363,0.4562,Automobile
2015-04-10,TATAMOTORS,EQ,559.9,558.8,569.4,555.55,561.85,562.65,561.79,2808049,157753898700000,46542,1150169,0.4096,Automobile
2015-04-13,TATAMOTORS,EQ,562.65,563,563.9,552.45,556.15,556.25,555.97,2889208,160630769000000,87262,1502212,0.5199,Automobile
2015-04-15,TATAMOTORS,EQ,556.25,551.25,551.25,538.25,539.95,540.45,544.39,4118983,224231588330000,137919,2290131,0.556,Automobile
2015-04-16,TATAMOTORS,EQ,540.45,543.75,551.25,534.2,538.4,541.25,542.92,4027716,218673050965000,89074,1970791,0.4893,Automobile
2015-04-17,TATAMOTORS,EQ,541.25,541.5,544.8,534.15,534.15,535.35,539.53,2728290,147198611165000,73343,1380458,0.506,Automobile
2015-04-20,TATAMOTORS,EQ,535.35,543.15,543.15,521.05,536.1,533.2,529.93,5011252,265559834990000,136271,2602955,0.5194,Automobile
2015-04-21,TATAMOTORS,EQ,533.2,531.45,538,523.5,527.4,527.4,531.5,3243871,172413167340000,75200,1744855,0.5379,Automobile
2015-04-22,TATAMOTORS,EQ,527.4,529,529.7,510.65,525.25,523.5,520.98,4311384,224615765625000,109493,2257726,0.5237,Automobile
2015-04-23,TATAMOTORS,EQ,523.5,527.8,527.8,508.45,511.75,512,516.58,4961920,256321083065000,91064,2664723,0.537,Automobile
2015-04-24,TATAMOTORS,EQ,512,515.25,520,508.6,517.3,516.2,515.74,4302328,221886704675000,62545,2298324,0.5342,Automobile
2015-04-27,TATAMOTORS,EQ,516.2,521,523,513.05,517.5,516.85,519.04,3082875,160012970360000,65488,1481071,0.4804,Automobile
2015-04-28,TATAMOTORS,EQ,516.85,520.5,533.8,518.35,525.9,529.85,526.87,6417077,338094759945000,124545,3833500,0.5974,Automobile
2015-04-29,TATAMOTORS,EQ,529.85,526.75,528,516.8,521.55,520.9,520.99,3685760,192026110295000,56956,2103716,0.5708,Automobile
2015-04-30,TATAMOTORS,EQ,520.9,518.2,520.8,506.75,509.5,508.25,512.53,10009172,512997824920000,103715,5975537,0.597,Automobile
2015-05-04,TATAMOTORS,EQ,508.25,511.75,516,497.5,508.2,506.45,504.09,5849866,294888608825000,113398,3100471,0.53,Automobile
2015-05-05,TATAMOTORS,EQ,506.45,509.5,515.7,506.05,511,510.45,511.16,3398712,173729987735000,52528,1566873,0.461,Automobile
2015-05-06,TATAMOTORS,EQ,510.45,508.5,508.5,495.8,500,497.85,500.86,5925410,296779305675000,80658,3575825,0.6035,Automobile
2015-05-07,TATAMOTORS,EQ,497.85,493.5,503,482.6,491.05,488.1,494.16,5504557,272010877615000,70771,2931057,0.5325,Automobile
2015-05-08,TATAMOTORS,EQ,488.1,498.75,515.9,497.35,513,513.7,510.19,6229295,317814676095000,101709,3432059,0.551,Automobile
2015-05-11,TATAMOTORS,EQ,513.7,522.25,530.95,517,528.55,529.7,525.6,5520513,290155829825000,143697,3425687,0.6205,Automobile
2015-05-12,TATAMOTORS,EQ,529.7,525.7,525.7,511.15,514.1,513.55,515.48,4569616,235552721525000,81869,2773263,0.6069,Automobile
2015-05-13,TATAMOTORS,EQ,513.55,517,525.55,506.55,519.2,520.45,517.04,4442178,229679810650000,87580,2058405,0.4634,Automobile
2015-05-14,TATAMOTORS,EQ,520.45,519,519,510.1,516.45,516.6,513.9,3587736,184374738675000,91325,1799392,0.5015,Automobile
2015-05-15,TATAMOTORS,EQ,516.6,519,524.5,517.05,520.4,519.9,520.58,4038816,210254062080000,76488,2616501,0.6478,Automobile
2015-05-18,TATAMOTORS,EQ,519.9,517.25,524.4,510.3,520,520.7,516.03,4363711,225181375520000,74282,2509455,0.5751,Automobile
2015-05-19,TATAMOTORS,EQ,520.7,516.9,518.75,508.7,509.75,509.8,513.56,5500642,282491974325000,93307,3578617,0.6506,Automobile
2015-05-20,TATAMOTORS,EQ,509.8,511,513.85,503.55,506,505.25,507.55,6385674,324107745915000,96925,4293884,0.6724,Automobile
2015-05-21,TATAMOTORS,EQ,505.25,506.5,512.5,505,511,511.2,510.49,4708702,240374776530000,140823,3068481,0.6517,Automobile
2015-05-22,TATAMOTORS,EQ,511.2,511.75,516.95,510.2,514.5,514.65,514.49,4744826,244116272305000,127586,3318364,0.6994,Automobile
2015-05-25,TATAMOTORS,EQ,514.65,513,514,503,505,505.3,508.17,3080546,156543324170000,38872,1802933,0.5853,Automobile
2015-05-26,TATAMOTORS,EQ,505.3,505,506,493.55,499,497.6,497.7,7389680,367787795450000,113604,3668382,0.4964,Automobile
2015-05-27,TATAMOTORS,EQ,497.6,473.6,474.95,463.55,472.75,471.75,470.73,15936377,750167516815000,182427,8771140,0.5504,Automobile
2015-05-28,TATAMOTORS,EQ,471.75,473.85,487.45,472.25,482.55,484.35,482,11792862,568410799730000,153480,6212942,0.5268,Automobile
