Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Sector
2015-01-01,UPL,EQ,346.55,346.2,346.2,338.45,341.5,341.6,341.35,525154,17926231375000,8520,158447,0.3017,Chemicals
2015-01-02,UPL,EQ,341.6,341.75,355.25,341.75,350,352.25,349.43,2323652,81196306085000,44577,1365936,0.5878,Chemicals
2015-01-05,UPL,EQ,352.25,350,354,345.1,346.9,345.7,348.51,970159,33810815075000,22583,483645,0.4985,Chemicals
2015-01-06,UPL,EQ,345.7,342.95,342.95,326.1,327.9,328.95,337.04,1380745,46536303555000,28338,737863,0.5344,Chemicals
2015-01-07,UPL,EQ,328.95,327.9,334.6,315.3,323.75,323.05,325.97,2480122,80845745150000,32330,1537724,0.62,Chemicals
2015-01-08,UPL,EQ,323.05,326.05,334.65,323.9,333.1,332.8,330.69,1494112,49408290035000,22809,778259,0.5209,Chemicals
2015-01-09,UPL,EQ,332.8,334.9,338.45,327.3,330.9,332.35,331.55,2060313,68309772735000,27990,1213999,0.5892,Chemicals
2015-01-12,UPL,EQ,332.35,332.8,334.95,328.05,330.8,330.6,331.59,900701,29866206975000,15190,390454,0.4335,Chemicals
2015-01-13,UPL,EQ,330.6,332,357.4,332,345,344.75,346.57,4629859,160457297260000,70554,1527542,0.3299,Chemicals
2015-01-14,UPL,EQ,344.75,345.8,359.9,343,357.5,358.2,353.81,2878372,101838699690000,56138,1041194,0.3617,Chemicals
2015-01-15,UPL,EQ,358.2,363,365,353.6,361,362.5,360.28,1983289,71454861085000,46905,995151,0.5018,Chemicals
2015-01-16,UPL,EQ,362.5,361.5,373.95,358.95,367.6,370.15,367.78,1853314,68161257185000,28862,823447,0.4443,Chemicals
2015-01-19,UPL,EQ,370.15,370.7,374.5,367.25,371.2,371.05,370.95,1490704,55298330280000,29528,795360,0.5335,Chemicals
2015-01-20,UPL,EQ,371.05,372,375.2,369.1,370.3,371.35,372,1252342,46587307430000,49962,616579,0.4923,Chemicals
2015-01-21,UPL,EQ,371.35,372.8,372.8,357.1,362.85,364.3,362.32,1639284,59393823180000,49402,775365,0.473,Chemicals
2015-01-22,UPL,EQ,364.3,363.05,367.6,357,359.05,360.35,360.86,1148951,41460621415000,26251,567521,0.4939,Chemicals
2015-01-23,UPL,EQ,360.35,363.75,365.55,356.3,357.3,358.05,359.99,1025195,36905646300000,34082,435470,0.4248,Chemicals
2015-01-27,UPL,EQ,358.05,359,363,349,351.75,350.65,353.76,1327359,46957025310000,38104,673897,0.5077,Chemicals
2015-01-28,UPL,EQ,350.65,353,360.3,349.25,354.3,354.25,355.67,1093703,38899851290000,25261,518039,0.4737,Chemicals
2015-01-29,UPL,EQ,354.25,354,367.4,350.2,366.95,365.2,361.1,1722592,62203118405000,25194,806459,0.4682,Chemicals
2015-01-30,UPL,EQ,365.2,369.8,374.25,364,368.5,368.35,369.19,1265602,46724209625000,26352,485833,0.3839,Chemicals
2015-02-02,UPL,EQ,368.35,369.9,395.7,359.05,394.55,393.8,381.08,4039918,153951849450000,54464,1086016,0.2688,Chemicals
2015-02-03,UPL,EQ,393.8,397.05,419,389.75,415,416.3,406.9,7005164,285041464230000,92326,2812108,0.4014,Chemicals
2015-02-04,UPL,EQ,416.3,418.8,436,415.15,428.75,429.6,426.08,6008793,256019989150000,134461,3476065,0.5785,Chemicals
2015-02-05,UPL,EQ,429.6,428,428,415.65,417.4,417.95,421.18,1841414,77556189165000,118449,1102207,0.5986,Chemicals
2015-02-06,UPL,EQ,417.95,414,436.75,409.05,427.8,428.35,421.45,3732392,157303202675000,68263,2196024,0.5884,Chemicals
2015-02-09,UPL,EQ,428.35,426,426,409,415.2,413.6,416.86,1405363,58583996025000,34189,607886,0.4325,Chemicals
2015-02-10,UPL,EQ,413.6,412.3,429.5,411.35,426.65,424.65,423.11,1641816,69467598505000,36205,732812,0.4463,Chemicals
2015-02-11,UPL,EQ,424.65,427.05,439.9,418.05,436.7,435.65,427.41,3583011,153142750215000,32755,2272516,0.6342,Chemicals
2015-02-12,UPL,EQ,435.65,439.5,447.75,437.2,442,442.15,443.57,1886537,83681606490000,37898,780619,0.4138,Chemicals
2015-02-13,UPL,EQ,442.15,442.65,443.05,426.7,428.8,429.6,432.47,1530513,66190694565000,34435,880529,0.5753,Chemicals
