Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-01-01,ULTRACEMCO,EQ,2676.05,2678.9,2678.9,2651.2,2657.85,2662.5,2665.79,54097,14421118155000,2625,32474,0.6003
2015-01-02,ULTRACEMCO,EQ,2662.5,2669.5,2752.5,2667.25,2741.65,2742.1,2723.19,228660,62268562515000,14784,132936,0.5814
2015-01-05,ULTRACEMCO,EQ,2742.1,2748,2775.4,2726,2758.9,2747.7,2756.21,181680,50074747205000,18409,114356,0.6294
2015-01-06,ULTRACEMCO,EQ,2747.7,2737.7,2739,2651,2665.1,2670.6,2692.45,292468,78745528165000,23353,218156,0.7459
2015-01-07,ULTRACEMCO,EQ,2670.6,2675,2692.95,2612.25,2664.8,2660.05,2649.67,120023,31802076565000,10309,51729,0.431
2015-01-08,ULTRACEMCO,EQ,2660.05,2675,2732.3,2660.3,2718.5,2727.45,2714,249884,67818506365000,28327,179210,0.7172
2015-01-09,ULTRACEMCO,EQ,2727.45,2760,2760,2711,2717,2729.35,2739.12,334880,91727742395000,45826,235969,0.7046
2015-01-12,ULTRACEMCO,EQ,2729.35,2727.7,2735,2690,2705.1,2700.3,2705.36,148064,40056592850000,17976,102729,0.6938
2015-01-13,ULTRACEMCO,EQ,2700.3,2735,2851.25,2715.05,2820,2818.5,2804.21,517233,145042811540000,33555,289999,0.5607
2015-01-14,ULTRACEMCO,EQ,2818.5,2829,2918.8,2829,2909,2908.85,2894.74,537834,155688758095000,48007,280139,0.5209
2015-01-15,ULTRACEMCO,EQ,2908.85,2920,3102.3,2898.4,3081.95,3083.05,3026.93,699207,211645001060000,46509,404971,0.5792
2015-01-16,ULTRACEMCO,EQ,3083.05,3100.2,3139.95,3045.75,3081,3070.1,3094.53,369250,114265489670000,25222,164295,0.4449
2015-01-19,ULTRACEMCO,EQ,3070.1,3099,3139.95,3066.5,3089,3088.5,3100.11,147140,45615075150000,12729,63778,0.4335
2015-01-20,ULTRACEMCO,EQ,3088.5,3100,3127.95,3085.05,3086.15,3096.45,3104.56,303336,94172360145000,26612,215135,0.7092
2015-01-21,ULTRACEMCO,EQ,3096.45,3109,3115.9,3041.3,3069.95,3054.8,3060.12,295819,90524144250000,24350,213011,0.7201
2015-01-22,ULTRACEMCO,EQ,3054.8,3062,3144.25,3059,3124,3122.45,3117.89,368715,114961195170000,24038,259589,0.704
2015-01-23,ULTRACEMCO,EQ,3122.45,3168,3185.75,3130,3150,3147.9,3160.43,414381,130962040295000,26401,248993,0.6009
2015-01-27,ULTRACEMCO,EQ,3147.9,3199.9,3199.9,3105.45,3121,3121.45,3136.1,426957,133898197620000,32930,294651,0.6901
2015-01-28,ULTRACEMCO,EQ,3121.45,3130,3189.95,3125,3125.1,3139.75,3156.06,241081,76086726875000,16169,119422,0.4954
2015-01-29,ULTRACEMCO,EQ,3139.75,3135,3175,3113.1,3166.55,3162.75,3157.83,353459,111616494285000,29053,259304,0.7336
2015-01-30,ULTRACEMCO,EQ,3162.75,3162.35,3185,3097,3140.8,3140.35,3136.11,170802,53565382625000,19329,98142,0.5746
2015-02-02,ULTRACEMCO,EQ,3140.35,3149.8,3169.15,3039,3082,3087.05,3083.21,258417,79675315765000,28501,151452,0.5861
2015-02-03,ULTRACEMCO,EQ,3087.05,3070,3188,3060,3104,3107.55,3122.35,407784,127324323145000,52391,291876,0.7158
2015-02-04,ULTRACEMCO,EQ,3107.55,3125.4,3126.4,3068.1,3088.05,3096.9,3095.95,220090,68138725790000,20818,150585,0.6842
2015-02-05,ULTRACEMCO,EQ,3096.9,3109.9,3109.9,3041,3041,3064.1,3075.66,130329,40084759815000,12361,82965,0.6366
2015-02-06,ULTRACEMCO,EQ,3064.1,3030,3050,2995,3005,3008.35,3022.54,129840,39244608650000,11036,74645,0.5749
2015-02-09,ULTRACEMCO,EQ,3008.35,2961.05,2990,2941,2970.25,2962.75,2959.19,127620,37765234625000,21556,79382,0.622
2015-02-10,ULTRACEMCO,EQ,2962.75,2951.1,3025.95,2941.1,2981.95,2966.2,2994.07,187835,56239158845000,28985,108518,0.5777
2015-02-11,ULTRACEMCO,EQ,2966.2,2975,3019.95,2975,3004.7,3008,3007.68,170700,51341112785000,15833,119599,0.7006
2015-02-12,ULTRACEMCO,EQ,3008,3007,3095,3000.5,3091.05,3035.1,3030.34,187078,56690910565000,15266,111554,0.5963
2015-02-13,ULTRACEMCO,EQ,3035.1,3071.1,3144.75,3068,3107.55,3112.5,3113.85,193738,60327070635000,17132,123146,0.6356
2015-02-16,ULTRACEMCO,EQ,3112.5,3123,3150,3070.15,3079.15,3078.8,3103.27,177606,55115948165000,17120,113732,0.6404
2015-02-18,ULTRACEMCO,EQ,3078.8,3082.3,3127.5,3082,3113.3,3110,3105.5,202114,62766480795000,17554,147050,0.7276
2015-02-19,ULTRACEMCO,EQ,3110,3112.6,3128.9,3008.1,3078.65,3062.3,3053.07,165743,50602432010000,14247,84321,0.5087
2015-02-20,ULTRACEMCO,EQ,3062.3,3119,3125.1,3005.65,3019,3014.1,3041.14,201227,61196034995000,16843,98220,0.4881
2015-02-23,ULTRACEMCO,EQ,3014.1,3028,3043,2970,2977.9,2978.1,2989.75,200058,59812343845000,16155,150177,0.7507
2015-02-24,ULTRACEMCO,EQ,2978.1,2981,3008.2,2965,2990,2988.6,2992.33,118101,35339708350000,10353,77452,0.6558
2015-02-25,ULTRACEMCO,EQ,2988.6,2995.2,3060,2992.2,3045,3042.85,3031.06,284765,86314023465000,16389,195816,0.6876
2015-02-26,ULTRACEMCO,EQ,3042.85,3044,3065,2952.45,2979,2977.45,2992.64,218727,65457075690000,22409,122720,0.5611
2015-02-27,ULTRACEMCO,EQ,2977.45,3001,3136.7,2994,3125,3125.8,3083.15,251642,77584906770000,24254,164153,0.6523
2015-02-28,ULTRACEMCO,EQ,3125.8,3150,3178.95,3085,3140,3135.75,3139.44,124464,39074684385000,10877,26920,0.2163
2015-03-02,ULTRACEMCO,EQ,3135.75,3159,3379,3145,3377.05,3369.8,3306.08,446753,147700331765000,33755,160313,0.3588
2015-03-03,ULTRACEMCO,EQ,3369.8,3375,3375,3310,3360,3360.85,3335.54,247539,82567636970000,44475,130293,0.5264
2015-03-04,ULTRACEMCO,EQ,3360.85,3369,3398,3292.5,3300,3310.3,3342.39,278837,93198276550000,28893,179378,0.6433
2015-03-05,ULTRACEMCO,EQ,3310.3,3315,3330,3152.35,3176,3189.55,3205.06,490549,157223923070000,44303,306898,0.6256
2015-03-09,ULTRACEMCO,EQ,3189.55,3179,3190,3053.15,3067.85,3066.15,3087.09,318482,98318100625000,31723,221484,0.6954
2015-03-10,ULTRACEMCO,EQ,3066.15,3070,3108.9,3006,3010.65,3017.2,3049.37,539122,164398148055000,46476,422398,0.7835
2015-03-11,ULTRACEMCO,EQ,3017.2,3017.2,3044.65,2975,2986,2987.1,2997.56,309685,92830058345000,27514,215225,0.695
2015-03-12,ULTRACEMCO,EQ,2987.1,2998,3029.95,2994.15,3011,3009.35,3011.92,483570,145647421360000,34837,409954,0.8478
2015-03-13,ULTRACEMCO,EQ,3009.35,3040,3040,2934.55,2944.8,2946.9,2979.14,254015,75674621235000,26005,172433,0.6788
2015-03-16,ULTRACEMCO,EQ,2946.9,2970,2975,2890,2909,2913.4,2914.03,214421,62482933795000,33108,139318,0.6497
2015-03-17,ULTRACEMCO,EQ,2913.4,2947,2964.8,2891.1,2929.9,2928.4,2915.47,290837,84792736035000,25152,185216,0.6368
2015-03-18,ULTRACEMCO,EQ,2928.4,2950,2966.4,2909.45,2922.25,2935.7,2941.42,292204,85949441115000,20663,140309,0.4802
2015-03-19,ULTRACEMCO,EQ,2935.7,2954,2993.3,2874,2885,2893,2944.39,354477,104371866875000,23997,255908,0.7219
2015-03-20,ULTRACEMCO,EQ,2893,2888,2890,2835.6,2860,2855.05,2861.3,284773,81482054250000,30513,200079,0.7026
2015-03-23,ULTRACEMCO,EQ,2855.05,2860,2878.55,2825,2829.05,2829,2850.04,213023,60712427370000,35878,138394,0.6497
2015-03-24,ULTRACEMCO,EQ,2829,2837,2846,2790.65,2791.1,2801.5,2824.94,389917,110149148280000,24351,302330,0.7754
2015-03-25,ULTRACEMCO,EQ,2801.5,2819,2829.7,2750,2754,2766,2787.51,389212,108493332355000,46608,273940,0.7038
2015-03-26,ULTRACEMCO,EQ,2766,2750,2826.55,2734.7,2817.9,2795.8,2791.99,433234,120958283655000,38890,307709,0.7103
2015-03-27,ULTRACEMCO,EQ,2795.8,2810.1,2815.6,2763.9,2802,2801.85,2786.88,267173,74458009315000,25236,196298,0.7347
2015-03-30,ULTRACEMCO,EQ,2801.85,2823,2957.6,2810.05,2955.9,2944.05,2898.04,340546,98691501055000,26070,222657,0.6538
2015-03-31,ULTRACEMCO,EQ,2944.05,2967.5,2967.5,2855,2887,2877.9,2895.33,465222,134696959980000,23253,357997,0.7695
2015-04-01,ULTRACEMCO,EQ,2877.9,2888.95,2909.3,2857.35,2884.15,2883.7,2881.89,371347,107018179820000,18636,305325,0.8222
2015-04-06,ULTRACEMCO,EQ,2883.7,2899,2909.7,2870,2895,2892.55,2891.65,137119,39649975455000,13953,78962,0.5759
2015-04-07,ULTRACEMCO,EQ,2892.55,2900,2945,2878.4,2940,2931.85,2911.76,283978,82687456880000,25208,180258,0.6348
2015-04-08,ULTRACEMCO,EQ,2931.85,2964.7,3022.5,2938.8,2990.05,2986.45,2996.6,270787,81144037540000,24823,156425,0.5777
2015-04-09,ULTRACEMCO,EQ,2986.45,3000,3003,2945,2970,2963.95,2970.01,192790,57258789440000,27482,109839,0.5697
2015-04-10,ULTRACEMCO,EQ,2963.95,2988.9,3003.95,2945,2971,2969.05,2967.4,118815,35257207955000,15861,58633,0.4935
2015-04-13,ULTRACEMCO,EQ,2969.05,2970,3028.9,2952.35,2990.05,3001.45,2997.01,238104,71360120365000,28568,155870,0.6546
2015-04-15,ULTRACEMCO,EQ,3001.45,3024.9,3029.9,2965,2975,2986.5,3005.93,585767,176077631010000,17044,505156,0.8624
2015-04-16,ULTRACEMCO,EQ,2986.5,2986.5,3003.85,2860.6,2885,2895.05,2909.24,301285,87650887300000,24627,179822,0.5969
2015-04-17,ULTRACEMCO,EQ,2895.05,2882,2885,2797.25,2810,2809.15,2820.07,505583,142577986200000,59047,379486,0.7506
2015-04-20,ULTRACEMCO,EQ,2809.15,2809.15,2825.8,2748.5,2783.95,2778.15,2787.35,496778,138469205160000,43451,377695,0.7603
2015-04-21,ULTRACEMCO,EQ,2778.15,2789.7,2817,2732.75,2751.2,2751.2,2789.96,127347,35529344830000,15415,74439,0.5845
2015-04-22,ULTRACEMCO,EQ,2751.2,2763,2809,2752,2789,2792.8,2786.03,361828,100806390800000,37064,266022,0.7352
2015-04-23,ULTRACEMCO,EQ,2792.8,2805,2850,2711.5,2726.7,2728.3,2773.82,220291,61104754365000,30048,103935,0.4718
2015-04-24,ULTRACEMCO,EQ,2728.3,2728.5,2744.4,2690,2710,2706.95,2715.64,361319,98121171615000,25944,269163,0.7449
2015-04-27,ULTRACEMCO,EQ,2706.95,2707,2769,2638.05,2655.35,2655.3,2713.79,585545,158904751800000,36930,390646,0.6671
2015-04-28,ULTRACEMCO,EQ,2655.3,2655.35,2716.95,2625.6,2697.75,2688.9,2671.03,461994,123400093825000,48322,326279,0.7062
