Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-01-01,TITAN,EQ,381.65,381.3,382.55,377.8,379.9,379.8,380.2,269753,10256067265000,4287,49273,0.1827
2015-01-02,TITAN,EQ,379.8,379.8,388.5,379.8,383.55,382.8,385.21,623981,24036431815000,9150,193650,0.3103
2015-01-05,TITAN,EQ,382.8,384,389.6,382.8,385.4,385.9,386.89,551576,21339807220000,9970,129203,0.2342
2015-01-06,TITAN,EQ,385.9,382.2,383.4,369.2,372.9,372.7,377.48,519159,19597089180000,9117,124665,0.2401
2015-01-07,TITAN,EQ,372.7,372.9,377.4,370,376.2,374.6,373.83,397373,14855169790000,7595,76613,0.1928
2015-01-08,TITAN,EQ,374.6,380,380,368.75,372.8,372.9,372.94,672501,25080250920000,9985,227700,0.3386
2015-01-09,TITAN,EQ,372.9,376,376.9,369.4,373,372.9,371.95,985975,36673482990000,11787,546511,0.5543
2015-01-12,TITAN,EQ,372.9,373.25,378.5,370.6,378.05,376.8,374.72,344364,12903915020000,7513,131333,0.3814
2015-01-13,TITAN,EQ,376.8,375.85,384,370.8,372.25,372.2,378.25,715002,27044779320000,11618,229286,0.3207
2015-01-14,TITAN,EQ,372.2,373.05,376.95,369,372.05,371.6,371.92,404068,15028159985000,7011,136495,0.3378
2015-01-15,TITAN,EQ,371.6,373.7,379,369.7,376.85,375.9,375.41,648144,24332057495000,7852,271011,0.4181
2015-01-16,TITAN,EQ,375.9,380,394,376.95,387.7,387.2,387.12,1387070,53695853395000,19614,412374,0.2973
2015-01-19,TITAN,EQ,387.2,389.2,395.5,389.2,394,394.5,393.17,913385,35911114905000,13283,330481,0.3618
2015-01-20,TITAN,EQ,394.5,397,398.9,390.45,394.15,393.6,394.52,603286,23800813250000,8409,155521,0.2578
2015-01-21,TITAN,EQ,393.6,394.6,408.55,390.45,407,406.95,402.19,1885665,75839528435000,27381,611668,0.3244
2015-01-22,TITAN,EQ,406.95,407,409.2,393.1,401.9,399.75,401.52,785747,31549682230000,10936,241544,0.3074
2015-01-23,TITAN,EQ,399.75,403.15,405.45,394,399,398.85,398.71,709214,28276785255000,9405,190550,0.2687
2015-01-27,TITAN,EQ,398.85,399,407,393.25,399.6,400.65,402.47,1306898,52599305400000,20601,279523,0.2139
2015-01-28,TITAN,EQ,400.65,409.4,437.8,404,429.6,433.25,422.58,6282139,265471069290000,78177,1600139,0.2547
2015-01-29,TITAN,EQ,433.25,427.8,444,425.65,441.5,441.8,437.25,3488597,152537623165000,52775,793124,0.2273
2015-01-30,TITAN,EQ,441.8,441.95,442.85,428.75,430,430.6,433.09,970722,42040779590000,18519,298587,0.3076
2015-02-02,TITAN,EQ,430.6,430,437.8,427.35,433.35,433.2,432,1106879,47816949400000,24340,482616,0.436
2015-02-03,TITAN,EQ,433.2,435.9,448.4,430.55,432.35,432.3,440.06,2245302,98807530275000,26811,940077,0.4187
2015-02-04,TITAN,EQ,432.3,434.5,443.95,427,429.7,430.05,436.07,1392064,60703710915000,18062,495969,0.3563
2015-02-05,TITAN,EQ,430.05,431.9,431.9,413.35,419,417.8,422.54,1040089,43947498570000,16587,464990,0.4471
2015-02-06,TITAN,EQ,417.8,425.9,427,409.1,418.5,416.7,418.02,1116247,46661582860000,21967,389227,0.3487
2015-02-09,TITAN,EQ,416.7,409.1,421.6,409.1,412.05,412.25,415.27,813004,33761913145000,15348,255481,0.3142
2015-02-10,TITAN,EQ,412.25,409.85,430.6,409.8,425.5,425.2,420.65,1092699,45964433790000,17567,333544,0.3052
2015-02-11,TITAN,EQ,425.2,428.3,433.75,423.1,425.7,426.25,427.35,1113419,47581631755000,16456,419371,0.3767
2015-02-12,TITAN,EQ,426.25,429,433.9,423.5,425.25,425.75,427.79,1131467,48402720930000,20212,460365,0.4069
2015-02-13,TITAN,EQ,425.75,427.5,432,423.65,427.45,426.7,428.33,935029,40049696390000,17757,366715,0.3922
2015-02-16,TITAN,EQ,426.7,432.4,432.4,414.95,417,417.5,419.72,842771,35372700295000,19024,259888,0.3084
2015-02-18,TITAN,EQ,417.5,419.15,432.5,416.3,429.75,429.75,427.11,1093702,46713329455000,19216,415991,0.3804
2015-02-19,TITAN,EQ,429.75,434.85,442.7,430.8,431.7,432.75,435.7,1517003,66095304610000,23762,413935,0.2729
