Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-01-01,NESTLEIND,EQ,6384.85,6385,6400,6300,6325,6317.95,6355.84,3025,1922640000000,938,1553,0.5134
2015-01-02,NESTLEIND,EQ,6317.95,6256.05,6366.5,6256.05,6303,6331.5,6333.39,6843,4333940000000,2671,4222,0.617
2015-01-05,NESTLEIND,EQ,6331.5,6370,6370,6290,6320,6334.9,6322.39,10690,6758640000000,2987,6540,0.6118
2015-01-06,NESTLEIND,EQ,6334.9,6296,6313.05,6220,6240.25,6246.8,6260.45,13159,8238128340000,5097,8803,0.669
2015-01-07,NESTLEIND,EQ,6246.8,6265,6308.95,6247.55,6299.9,6272.95,6281.88,35673,22409400000000,3670,30069,0.8429
2015-01-08,NESTLEIND,EQ,6272.95,6275,6345,6275,6290,6300.45,6315.83,7524,4752030000000,2290,4387,0.5831
2015-01-09,NESTLEIND,EQ,6300.45,6370,6479.95,6273.5,6450,6386.35,6363.99,20492,13041100000000,6165,13666,0.6669
2015-01-12,NESTLEIND,EQ,6386.35,6420,6520,6385.5,6480,6462.75,6446.97,47557,30659900000000,7331,31719,0.667
2015-01-13,NESTLEIND,EQ,6462.75,6470,6741,6470,6695,6714.65,6681.2,55108,36818800000000,9086,34489,0.6258
2015-01-14,NESTLEIND,EQ,6714.65,6735,6930,6684.95,6796,6781.85,6834.26,37403,25562200000000,6565,21251,0.5682
2015-01-15,NESTLEIND,EQ,6781.85,6869.2,6940,6761.05,6805,6809.1,6823.3,59753,40771300000000,5405,53398,0.8936
2015-01-16,NESTLEIND,EQ,6809.1,6762,7005,6740.05,6988,6985.2,6969.17,49852,34742690610000,9559,31556,0.633
2015-01-19,NESTLEIND,EQ,6985.2,7005,7100,6984.55,7070,7073.95,7063.62,35414,25015100000000,5279,21240,0.5998
2015-01-20,NESTLEIND,EQ,7073.95,7073,7110,7000,7030,7074.5,7066.89,28431,20091900000000,5706,18934,0.666
2015-01-21,NESTLEIND,EQ,7074.5,7087.75,7120,7038.1,7080,7080,7072.58,31104,21998500000000,7006,23572,0.7578
2015-01-22,NESTLEIND,EQ,7080,7075,7170,7052,7109,7097.05,7107.78,54149,38487900000000,9136,42810,0.7906
2015-01-23,NESTLEIND,EQ,7097.05,7148,7290,7148,7254,7258.35,7253.39,45866,33268400360000,7743,38779,0.8455
2015-01-27,NESTLEIND,EQ,7258.35,7258.3,7430,7255.95,7345,7350.05,7361.54,45350,33384600000000,8308,36513,0.8051
2015-01-28,NESTLEIND,EQ,7350.05,7345,7421,7215.05,7265,7304.05,7295.78,23762,17336200000000,6351,18018,0.7583
2015-01-29,NESTLEIND,EQ,7304.05,7300,7364.9,7148,7210.1,7214.45,7222.36,22040,15918087955000,8641,16696,0.7575
2015-01-30,NESTLEIND,EQ,7214.45,7220,7220,7100,7115,7113.05,7128.64,30387,21661800000000,11861,20041,0.6595
2015-02-02,NESTLEIND,EQ,7113.05,7113.8,7161.55,6976.35,7050,7059.65,7046.16,24716,17415295855000,7571,15991,0.647
2015-02-03,NESTLEIND,EQ,7059.65,7111,7190,6950,7090,7078.5,7060.97,18909,13351600000000,5641,9873,0.5221
2015-02-04,NESTLEIND,EQ,7078.5,7078,7139.15,6956,6980.05,6977.75,7012,6588,4619510000000,1988,4153,0.6304
2015-02-05,NESTLEIND,EQ,6977.75,7050,7050,6810,6880,6899.15,6962.27,17043,11865800000000,5380,11717,0.6875
2015-02-06,NESTLEIND,EQ,6899.15,6900,6970,6850,6894.9,6884.55,6922.33,8881,6147720000000,2419,6127,0.6899
2015-02-09,NESTLEIND,EQ,6884.55,6890,6930,6760.05,6823,6835.4,6820.45,15551,10606500000000,4350,8905,0.5726
2015-02-10,NESTLEIND,EQ,6835.4,6900,7018,6767,6810,6794.15,6869.61,15902,10924100000000,3969,7394,0.465
2015-02-11,NESTLEIND,EQ,6794.15,6899,7000,6805,6860,6881.05,6905.71,13708,9466340000000,3177,6959,0.5077
2015-02-12,NESTLEIND,EQ,6881.05,6885,6970,6780.3,6799,6824.6,6856.93,12887,8836530000000,2981,8566,0.6647
2015-02-13,NESTLEIND,EQ,6824.6,6839.9,7097.8,6830,7052,7033.65,6972.48,28685,20000500000000,8122,16813,0.5861
2015-02-16,NESTLEIND,EQ,7033.65,7226,7272,7102.3,7122,7147.35,7179.42,23895,17155200000000,7104,13214,0.553
2015-02-18,NESTLEIND,EQ,7147.35,7150,7225,7060.05,7150,7169.3,7139.98,32189,22982900000000,7446,25166,0.7818
2015-02-19,NESTLEIND,EQ,7169.3,7175,7175,7013.7,7017,7041.7,7074,11509,8141470000000,4143,7656,0.6652
2015-02-20,NESTLEIND,EQ,7041.7,7051,7237.7,7025,7164,7176.7,7106.03,134761,95761600000000,4794,123618,0.9173
2015-02-23,NESTLEIND,EQ,7176.7,7205.2,7205.2,6962.5,7000,6999.45,7024.64,29209,20518300000000,6397,22885,0.7835
2015-02-24,NESTLEIND,EQ,6999.45,7001.9,7079.85,6930,7010,7009.75,7010,58297,40866200000000,6168,52174,0.895
2015-02-25,NESTLEIND,EQ,7009.75,7024.2,7075,7010,7033.05,7052.5,7049.5,42946,30274800000000,8236,38755,0.9024
2015-02-26,NESTLEIND,EQ,7052.5,7099.7,7099.7,6950,7025,7019.4,7016.2,25702,18033000000000,6996,18899,0.7353
2015-02-27,NESTLEIND,EQ,7019.4,7044.65,7058.9,6999.5,7020,7020.9,7018.85,65642,46073100000000,11035,53955,0.822
2015-02-28,NESTLEIND,EQ,7020.9,7069.95,7098,7007,7028,7023.9,7043.42,4177,2942040000000,918,1721,0.412
2015-03-02,NESTLEIND,EQ,7023.9,7049.9,7049.9,6949.95,6972.7,6990.05,6993.3,26080,18238500000000,8653,22143,0.849
2015-03-03,NESTLEIND,EQ,6990.05,7040,7160.5,6932.3,7112,7096.25,7039.28,26243,18473200000000,6071,18255,0.6956
2015-03-04,NESTLEIND,EQ,7096.25,7164,7319,7112.95,7267,7299.75,7270.01,45281,32919300000000,17840,31070,0.6862
2015-03-05,NESTLEIND,EQ,7299.75,7300,7366.45,7246.3,7294.8,7295.95,7302.15,30384,22186900000000,5617,26296,0.8655
2015-03-09,NESTLEIND,EQ,7295.95,7297,7425,7235,7379.45,7384.3,7324.8,21576,15804000000000,5958,15368,0.7123
2015-03-10,NESTLEIND,EQ,7384.3,7386.9,7505,7349.45,7370,7397.15,7442.4,18258,13588324980000,6283,13390,0.7334
2015-03-11,NESTLEIND,EQ,7397.15,7389.6,7445.75,7253,7275,7280.7,7308.77,19345,14138800000000,4724,13839,0.7154
2015-03-12,NESTLEIND,EQ,7280.7,7300.1,7379.9,7300.1,7310,7328.9,7331.48,13701,10044900000000,4678,9959,0.7269
2015-03-13,NESTLEIND,EQ,7328.9,7355.35,7357.7,7254.05,7280,7299,7299.05,21515,15703900000000,7190,15920,0.7399
2015-03-16,NESTLEIND,EQ,7299,7347.9,7347.9,7255,7270,7276.8,7297.78,12723,9284970000000,3762,9407,0.7394
2015-03-17,NESTLEIND,EQ,7276.8,7300,7400,7300,7360.3,7389.25,7372.49,27094,19975000000000,6857,21663,0.7995
2015-03-18,NESTLEIND,EQ,7389.25,7410,7420,7366,7389.05,7408.4,7409.07,49611,36757100000000,5591,46235,0.932
2015-03-19,NESTLEIND,EQ,7408.4,7420,7420,7321,7334.15,7367.35,7380.01,27013,19935600000000,5248,21468,0.7947
2015-03-20,NESTLEIND,EQ,7367.35,7400,7400,7225,7230,7264.1,7269.58,27446,19952100000000,8158,22977,0.8372
2015-03-23,NESTLEIND,EQ,7264.1,7284,7284.4,7090,7133.9,7133.9,7138.38,23625,16864400000000,6084,16357,0.6924
2015-03-24,NESTLEIND,EQ,7133.9,7185,7190,6990,7037.95,7021.65,7055.11,26775,18890100000000,5327,19377,0.7237
2015-03-25,NESTLEIND,EQ,7021.65,6972,7094.95,6972,7020,7041.8,7039.19,27132,19098700000000,5586,22147,0.8163
2015-03-26,NESTLEIND,EQ,7041.8,7020,7030.9,6765,6846.95,6845.2,6902.9,42361,29241354435000,12192,32305,0.7626
2015-03-27,NESTLEIND,EQ,6845.2,6898,6916.95,6771,6801,6815.05,6809.16,26243,17869300000000,8106,18632,0.71
2015-03-30,NESTLEIND,EQ,6815.05,6840,6999,6840,6903.85,6944,6924.93,45193,31295800000000,6142,36303,0.8033
2015-03-31,NESTLEIND,EQ,6944,6950,7132,6827.6,7132,6947.35,6929.16,64200,44485200000000,13622,48338,0.7529
2015-04-01,NESTLEIND,EQ,6947.35,7051,7059.95,6870,6890.2,6923.15,6975.99,13749,9591290000000,3889,8293,0.6032
2015-04-06,NESTLEIND,EQ,6923.15,6988.9,7150,6926.4,7100,7121.35,7065.81,24913,17603000000000,6516,18331,0.7358
2015-04-07,NESTLEIND,EQ,7121.35,7121.4,7174.95,7064.15,7125,7157.45,7136.35,17718,12644200000000,4542,12742,0.7192
2015-04-08,NESTLEIND,EQ,7157.45,7146,7168.15,7010,7015.1,7046.2,7084.61,12695,8993920000000,4558,10240,0.8066
2015-04-09,NESTLEIND,EQ,7046.2,7060,7112,7060,7099.85,7101,7100.3,30467,21632500000000,5912,27969,0.918
2015-04-10,NESTLEIND,EQ,7101,7122,7139.7,7065,7066,7098.5,7108.07,44957,31955700000000,11980,41005,0.9121
2015-04-13,NESTLEIND,EQ,7098.5,7119.95,7119.95,7066.2,7075.05,7098.55,7099.1,29502,20943800000000,8602,26699,0.905
2015-04-15,NESTLEIND,EQ,7098.55,7101,7109.35,7025,7070,7068.4,7090.36,23427,16610600000000,8689,21316,0.9099
2015-04-16,NESTLEIND,EQ,7068.4,7068.4,7095,6990,7040,7026.8,7035.88,26406,18578900000000,8455,22476,0.8512
2015-04-17,NESTLEIND,EQ,7026.8,7024.25,7053,6990,7000,7000.85,7011.56,14346,10058800000000,3704,11034,0.7691
2015-04-20,NESTLEIND,EQ,7000.85,7001,7010,6900,6965,6953.2,6971.14,15258,10636600000000,5163,13441,0.8809
2015-04-21,NESTLEIND,EQ,6953.2,6999.8,6999.8,6865,6887.85,6887.85,6898.18,11133,7679747010000,5340,8895,0.799
2015-04-22,NESTLEIND,EQ,6887.85,6887,6940,6825.3,6830.15,6872.05,6888.67,17374,11968400000000,7004,12872,0.7409
2015-04-23,NESTLEIND,EQ,6872.05,6934,6934,6866,6910,6908.7,6892.12,35827,24692400000000,7947,32569,0.9091
2015-04-24,NESTLEIND,EQ,6908.7,6950,6950,6780.1,6832.7,6849.75,6854.13,10639,7292110000000,3551,7260,0.6824
