Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Sector
2015-01-01,SBIN,EQ,311.85,312.45,315,310.7,314,314,313.67,6138488,192548886370000,58688,1877677,0.3059,Financial Services
2015-01-02,SBIN,EQ,314,314.35,318.3,314.35,315.6,315.25,316.8,9935094,314738862990000,79553,4221685,0.4249,Financial Services
2015-01-05,SBIN,EQ,315.25,316.25,316.8,312.1,312.8,312.75,313.84,9136716,286743167500000,88236,3845173,0.4208,Financial Services
2015-01-06,SBIN,EQ,312.75,310,311.1,298.7,299.9,299.9,305.14,15329257,467760129725000,169268,7424847,0.4844,Financial Services
2015-01-07,SBIN,EQ,299.9,300,302.55,295.15,301.4,300.15,299.95,15046745,451324303375000,147185,5631400,0.3743,Financial Services
2015-01-08,SBIN,EQ,300.15,305,306.5,302.35,305.25,304.85,304.55,8939749,272259269290000,85776,3656015,0.409,Financial Services
2015-01-09,SBIN,EQ,304.85,306.7,307.85,302,303,303.2,304.45,11953948,363936137255000,86383,4412814,0.3692,Financial Services
2015-01-12,SBIN,EQ,303.2,304.15,307.8,301.1,306.9,307.1,305.86,8536142,261090635460000,71620,3737137,0.4378,Financial Services
2015-01-13,SBIN,EQ,307.1,308.15,310.75,304.15,305.25,305.1,308.22,9484804,292340558630000,94825,4149653,0.4375,Financial Services
2015-01-14,SBIN,EQ,305.1,304,307,302.25,305,304.7,304.8,8855660,269916496335000,105452,3883613,0.4385,Financial Services
2015-01-15,SBIN,EQ,304.7,319.9,323.7,314,318.4,320.3,318.25,30729523,977960092800000,218045,16753491,0.5452,Financial Services
2015-01-16,SBIN,EQ,320.3,320,320.3,313.1,315.25,315.45,315.4,21598514,681222490185000,162231,13954451,0.6461,Financial Services
2015-01-19,SBIN,EQ,315.45,316.55,317.95,312.5,313.2,313.15,314.35,9975658,313587835325000,77913,5438078,0.5451,Financial Services
2015-01-20,SBIN,EQ,313.15,314,319.8,314,318,318.15,317.62,13104643,416231059750000,102056,6645980,0.5071,Financial Services
2015-01-21,SBIN,EQ,318.15,319.9,327.6,319,326,326.2,325.29,22617660,735724453445000,218767,10822432,0.4785,Financial Services
2015-01-22,SBIN,EQ,326.2,326.9,327.6,321.8,325.2,324.65,324.02,12232626,396365084290000,134697,5893345,0.4818,Financial Services
2015-01-23,SBIN,EQ,324.65,328.25,332.55,324.65,327.05,327.45,328.67,17127278,562929086505000,151074,9235565,0.5392,Financial Services
2015-01-27,SBIN,EQ,327.45,329.4,332.15,322.6,331.45,330.05,326.41,13734088,448289986300000,158444,7368707,0.5365,Financial Services
2015-01-28,SBIN,EQ,330.05,330.4,336,328.2,333.4,334.6,333.04,19428852,647052938620000,169823,9448935,0.4863,Financial Services
2015-01-29,SBIN,EQ,334.6,332.8,333.6,325.1,326.45,327,328.72,14911660,490182464005000,139604,7543218,0.5059,Financial Services
2015-01-30,SBIN,EQ,327,328.7,330.5,307,309.3,308.95,313.26,30252827,947714982795000,283121,17419439,0.5758,Financial Services
2015-02-02,SBIN,EQ,308.95,309.5,311.9,305.1,308.5,307.5,308.38,17639807,543978696410000,146146,8870079,0.5028,Financial Services
2015-02-03,SBIN,EQ,307.5,312,312,299.05,299.65,300.3,303.85,23743882,721455803825000,227509,10222678,0.4305,Financial Services
2015-02-04,SBIN,EQ,300.3,302.7,302.95,291.9,292.55,293.05,295.75,21477507,635198004825000,233412,10553495,0.4914,Financial Services
