Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Sector
2015-01-01,WIPRO,EQ,555.2,552.55,554.4,550.5,552.25,552.4,552.7,202978,11218587350000,4196,74801,0.3685,IT
2015-01-02,WIPRO,EQ,552.4,553.4,560.25,553,558.9,557.3,557.56,787304,43896802215000,18950,423949,0.5385,IT
2015-01-05,WIPRO,EQ,557.3,557.05,565,555.5,558.55,558.3,559.97,719738,40303086250000,20731,397047,0.5517,IT
2015-01-06,WIPRO,EQ,558.3,555,556.4,542.1,545.5,545.25,547.07,2324381,127159243410000,45205,1768367,0.7608,IT
2015-01-07,WIPRO,EQ,545.25,543.2,545,538.35,541.5,541.1,541.38,1557297,84309024270000,30061,975461,0.6264,IT
2015-01-08,WIPRO,EQ,541.1,556.15,558.9,543.2,545,545,546.12,1461025,79789382585000,29393,875044,0.5989,IT
2015-01-09,WIPRO,EQ,545,549.2,560,543.25,552.5,553.5,552.34,2547585,140712068500000,43372,1558408,0.6117,IT
2015-01-12,WIPRO,EQ,553.5,550,559,547.7,556,556.05,552.2,829086,45781916825000,44506,452964,0.5463,IT
2015-01-13,WIPRO,EQ,556.05,557.1,566.7,555,565.7,563.5,560.7,1183627,66366091680000,37389,688840,0.582,IT
2015-01-14,WIPRO,EQ,563.5,566,569.5,550,550.15,551.95,557.74,1823224,101688191245000,39421,1151237,0.6314,IT
2015-01-15,WIPRO,EQ,551.95,560,564,551.25,561.9,559.5,560.35,1311267,73476433105000,25715,885591,0.6754,IT
2015-01-16,WIPRO,EQ,559.5,560.8,563.4,552.9,555.9,555.05,557.41,1557128,86795991165000,36585,893085,0.5735,IT
2015-01-19,WIPRO,EQ,555.05,591.1,598.5,582.35,584.45,584.2,589.31,6062665,357278517620000,94050,2658246,0.4385,IT
2015-01-20,WIPRO,EQ,584.2,586.1,594,582.9,588.8,590.4,587.85,2510737,147594643585000,47453,1582551,0.6303,IT
2015-01-21,WIPRO,EQ,590.4,589.6,595,576.65,592,588.7,587.35,3319015,194943693410000,74636,2164285,0.6521,IT
2015-01-22,WIPRO,EQ,588.7,590,597.7,584.7,592.95,594.55,592.24,3648498,216079784785000,42487,2733432,0.7492,IT
2015-01-23,WIPRO,EQ,594.55,599.2,604,590.25,599.75,601.8,598.46,3614595,216318247970000,74035,2338219,0.6469,IT
2015-01-27,WIPRO,EQ,601.8,602.4,605.75,595,595.5,598.55,600.74,2955854,177569698640000,57094,2125887,0.7192,IT
2015-01-28,WIPRO,EQ,598.55,596,612,595.75,611.55,607.25,602.19,3144370,189349911280000,38112,2505356,0.7968,IT
2015-01-29,WIPRO,EQ,607.25,608,614.5,599.8,603,602.7,605.44,2529061,153118709875000,49123,1703092,0.6734,IT
2015-01-30,WIPRO,EQ,602.7,606.9,610.05,597.15,606.3,606.55,603.74,1761224,106332863415000,50109,1114486,0.6328,IT
2015-02-02,WIPRO,EQ,606.55,612,627.7,609,626.7,625.1,619.77,2990374,185335232555000,64008,1771871,0.5925,IT
2015-02-03,WIPRO,EQ,625.1,624,628.05,617.75,620.3,621.55,622.08,1587289,98741995755000,45717,878576,0.5535,IT
