Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Sector
2015-01-01,VEDL,EQ,214.5,213.7,219.7,212.2,219.2,219.25,217.6,2304326,50143100000000,20209,480192,0.2084,Metals and Mining
2015-01-02,VEDL,EQ,219.25,219.35,224.45,219.35,222.4,222.3,222.36,3270358,72719500000000,25451,1240527,0.3793,Metals and Mining
2015-01-05,VEDL,EQ,222.3,222.5,225.3,218.1,219.5,219.8,222.46,3512083,78130500000000,38682,1552671,0.4421,Metals and Mining
2015-01-06,VEDL,EQ,219.8,217.95,219.5,206.75,208.1,209.05,212.85,6095798,129747768605000,59858,2917972,0.4787,Metals and Mining
2015-01-07,VEDL,EQ,209.05,209,211.85,204.15,209.05,209,208.02,3410940,70953600000000,39286,878624,0.2576,Metals and Mining
2015-01-08,VEDL,EQ,209,211.3,212.65,205.55,209.6,210.5,208.94,3956233,82661100000000,42937,1521921,0.3847,Metals and Mining
2015-01-09,VEDL,EQ,210.5,213.9,213.9,206.6,207,207.8,209.24,2842333,59473900000000,40053,874007,0.3075,Metals and Mining
2015-01-12,VEDL,EQ,207.8,207.05,208,204.25,206,206.25,205.77,2641823,54361500000000,25474,911186,0.3449,Metals and Mining
2015-01-13,VEDL,EQ,206.25,207,209,203.3,203.7,204.6,206.82,4640762,95981000000000,66108,2440676,0.5259,Metals and Mining
2015-01-14,VEDL,EQ,204.6,202,203,185.85,186.95,188.1,193.27,10865065,209993566740000,102471,5224581,0.4809,Metals and Mining
2015-01-15,VEDL,EQ,188.1,188.5,192.5,186.5,188.2,189.7,190.13,7275654,138333023690000,62258,3081107,0.4235,Metals and Mining
2015-01-16,VEDL,EQ,189.7,191.6,194.9,190,193.2,193.25,192.99,6323218,122031597595000,68810,2434288,0.385,Metals and Mining
2015-01-19,VEDL,EQ,193.25,195,195.95,192.05,193.6,193.15,193.69,2577634,49926700000000,45500,689282,0.2674,Metals and Mining
2015-01-20,VEDL,EQ,193.15,193.5,205,192.6,204.5,204.15,200.68,7450225,149514795755000,114782,2968954,0.3985,Metals and Mining
2015-01-21,VEDL,EQ,204.15,205.4,206,196.55,199.55,199.65,199.69,5341348,106663467880000,68054,2488621,0.4659,Metals and Mining
2015-01-22,VEDL,EQ,199.65,203.8,206.8,198.6,201.05,201.1,201.7,6966585,140516951040000,52580,2810662,0.4034,Metals and Mining
2015-01-23,VEDL,EQ,201.1,203.5,206.7,200.4,205.15,205.4,203.83,5078703,103521737870000,49715,2165991,0.4265,Metals and Mining
2015-01-27,VEDL,EQ,205.4,204.8,208.15,201.8,207.55,207.3,204.93,4559087,93430900000000,52900,2330976,0.5113,Metals and Mining
2015-01-28,VEDL,EQ,207.3,206.25,206.95,198.45,200.5,201.15,202.57,3755411,76073900000000,40841,1572192,0.4186,Metals and Mining
2015-01-29,VEDL,EQ,201.15,199.5,203.9,196.4,202,201.45,199.97,10159523,203156276240000,107897,5032092,0.4953,Metals and Mining
2015-01-30,VEDL,EQ,201.45,203,204.8,196.45,202.05,201.95,200.77,5627736,112987293235000,74095,2191499,0.3894,Metals and Mining
2015-02-02,VEDL,EQ,201.95,199.5,205,197.55,198.5,198.2,200.43,3557339,71300600000000,40569,1424245,0.4004,Metals and Mining
2015-02-03,VEDL,EQ,198.2,201,212,198.2,209.9,210.7,206.44,7921272,163525526595000,78244,3112557,0.3929,Metals and Mining
