Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-01-01,NTPC,EQ,144,144.2,144.25,142.1,142.2,142.45,142.72,1232484,17589843055000,6613,710769,0.5767
2015-01-02,NTPC,EQ,142.45,142.5,145,142.5,145,144.4,144.21,1985911,28638979315000,19613,1176616,0.5925
2015-01-05,NTPC,EQ,144.4,144.55,144.9,143.05,143.65,144,143.77,1830881,26322813665000,14367,1034618,0.5651
2015-01-06,NTPC,EQ,144,143.5,144.5,138.25,138.9,139.2,141.18,4936260,69691059740000,28225,3023908,0.6126
2015-01-07,NTPC,EQ,139.2,140.5,143,139.35,142.95,142.55,141.61,4873796,69018054870000,39472,3453456,0.7086
2015-01-08,NTPC,EQ,142.55,143.3,145.3,143.2,144.9,144.95,144.86,6303521,91315490210000,40782,5186204,0.8227
2015-01-09,NTPC,EQ,144.95,145.15,145.5,139.5,140.25,140.25,141.16,3149161,44452430190000,30548,1894492,0.6016
2015-01-12,NTPC,EQ,140.25,141,141.4,138.5,140.25,140,140.09,2658780,37247693610000,25331,1785015,0.6714
2015-01-13,NTPC,EQ,140,139.25,140.35,138.1,138.9,138.95,139.6,3762862,52529760115000,30935,2923220,0.7769
2015-01-14,NTPC,EQ,138.95,139.7,140.25,137.2,138,137.75,138.71,2280176,31629150975000,19693,1569324,0.6882
2015-01-15,NTPC,EQ,137.75,139.85,140.55,138.4,139,139.2,139.83,5846878,81755443735000,23778,4823204,0.8249
2015-01-16,NTPC,EQ,139.2,138.65,141.8,138.35,141,140.4,139.87,5188279,72568468295000,26447,4130875,0.7962
2015-01-19,NTPC,EQ,140.4,140.9,142.9,139.85,142.15,141.75,141.3,4322422,61075179520000,14553,3513165,0.8128
2015-01-20,NTPC,EQ,141.75,142.75,143.5,142.1,143.25,142.85,142.67,5374190,76671635770000,13552,4129973,0.7685
2015-01-21,NTPC,EQ,142.85,143.25,144.15,142.3,143.45,143.5,143.46,5789695,83060633595000,28006,4216684,0.7283
2015-01-22,NTPC,EQ,143.5,143.5,143.7,139.35,140.4,140.2,140.72,5607554,78907866225000,47036,4289223,0.7649
2015-01-23,NTPC,EQ,140.2,141.6,142.2,140.45,141.75,141.9,141.34,7537705,106539736180000,38004,5882812,0.7805
2015-01-27,NTPC,EQ,141.9,142.5,143.7,140.7,142.75,143.15,142.64,14984991,213751823780000,46921,12669015,0.8454
2015-01-28,NTPC,EQ,143.15,143,144.95,141.55,142.4,142.85,143.22,5637058,80736344230000,26444,3691524,0.6549
2015-01-29,NTPC,EQ,142.85,142.7,142.7,141.1,141.7,141.85,141.74,14628124,207343760145000,54009,11375097,0.7776
2015-01-30,NTPC,EQ,141.85,142.8,147.4,142.1,143.55,143.65,144.76,18591570,269129483755000,66340,7735188,0.4161
2015-02-02,NTPC,EQ,143.65,144.45,144.45,141.55,142.2,142.05,142.61,8637379,123178336505000,47073,6294458,0.7287
2015-02-03,NTPC,EQ,142.05,142.45,144.8,142.15,143.6,144,143.35,6484628,92955014715000,29112,4773511,0.7361
2015-02-04,NTPC,EQ,144,143.2,144.1,142.05,142.5,142.8,142.94,3363786,48082058365000,18876,2163284,0.6431
2015-02-05,NTPC,EQ,142.8,142.2,143.1,139.05,139.75,140.15,141.82,5119240,72600918190000,40794,3621014,0.7073
2015-02-06,NTPC,EQ,140.15,140.15,140.75,138.3,139.7,140,139.91,4980413,69679979420000,30749,3503985,0.7036
2015-02-09,NTPC,EQ,140,139,140.4,138.1,138.45,138.8,139.33,2595390,36161173705000,17652,1598513,0.6159
2015-02-10,NTPC,EQ,138.8,138,140.3,136.75,137.4,137.15,138.8,3755645,52127279775000,34339,2199034,0.5855
2015-02-11,NTPC,EQ,137.15,137,141,136.8,140.6,140.15,139.41,2935369,40921572050000,22601,1849682,0.6301
2015-02-12,NTPC,EQ,140.15,140.55,142.65,140.05,142.2,142.1,141.43,4302336,60849095605000,22215,2884881,0.6705
2015-02-13,NTPC,EQ,142.1,142.1,143.7,141.6,142.75,143.25,142.62,3011838,42954621390000,20775,1703541,0.5656
2015-02-16,NTPC,EQ,143.25,142.2,144.65,142.2,144.25,144,143.78,1621299,23310938150000,14859,563938,0.3478
2015-02-18,NTPC,EQ,144,144.05,147.8,143.6,145.6,146.05,146.57,4146712,60776880225000,38407,2230988,0.538
2015-02-19,NTPC,EQ,146.05,146.2,147.2,142,146.95,146.65,144.78,3090879,44751200755000,23686,1602413,0.5184
2015-02-20,NTPC,EQ,146.65,146.4,147.35,144.1,145.5,145.65,146,2648484,38667183460000,25205,1317650,0.4975
2015-02-23,NTPC,EQ,145.65,145.65,146.8,144.3,146.05,146.05,145.79,5026430,73278349670000,37676,3370996,0.6707
2015-02-24,NTPC,EQ,146.05,146.25,149.2,146,146.35,146.6,147.28,4904698,72235430540000,29971,2650718,0.5404
2015-02-25,NTPC,EQ,146.6,147,148.6,145.6,146,146.05,147.3,6281920,92530790970000,33570,4210932,0.6703
2015-02-26,NTPC,EQ,146.05,147.1,154.85,145.75,152.15,153.35,151.71,21241206,322244134010000,52508,13636866,0.642
2015-02-27,NTPC,EQ,153.35,153,159.5,152,159,158.45,156.24,10071356,157358816780000,67431,5599133,0.5559
2015-02-28,NTPC,EQ,158.45,160,161,151.65,155.4,155.9,156.47,6465931,101172123690000,31618,2892771,0.4474
2015-03-02,NTPC,EQ,155.9,156,160,155.7,159.7,159.5,158.38,6544590,103655649560000,29294,4136536,0.6321
2015-03-03,NTPC,EQ,159.5,159.5,160,157.9,158.45,158.7,158.98,4830775,76798945545000,30177,3054245,0.6322
2015-03-04,NTPC,EQ,158.7,159,159.8,155.75,157.3,157.5,158.42,3817162,60471273365000,26427,2319160,0.6076
2015-03-05,NTPC,EQ,157.5,156.25,158.7,155.2,158.1,158.15,156.71,3589754,56256475435000,18965,2205232,0.6143
2015-03-09,NTPC,EQ,158.15,157.5,158.1,151.4,151.6,151.8,153.36,2549044,39091581005000,22483,1474925,0.5786
2015-03-10,NTPC,EQ,151.8,153.3,153.3,149,150.5,149.95,150.74,3208061,48359034850000,24638,1956911,0.61
2015-03-11,NTPC,EQ,149.95,149.5,154.75,146.6,154.6,153.75,152.37,3966079,60431709625000,20465,2121571,0.5349
2015-03-12,NTPC,EQ,153.75,154,164.75,153,159,159.7,160.98,19776958,318362007365000,78867,10171152,0.5143
2015-03-13,NTPC,EQ,159.7,160.3,161.3,158.6,160.1,159.45,159.82,13559465,216711755270000,56668,10922701,0.8055
2015-03-16,NTPC,EQ,159.45,159.3,159.5,154.7,155.85,155.85,155.96,10012222,156152562200000,37450,7909967,0.79
2015-03-17,NTPC,EQ,155.85,156.1,158.5,155.3,158,157.85,157.05,5336330,83804554855000,34562,3715023,0.6962
2015-03-18,NTPC,EQ,157.85,158,159.35,151.2,152.3,152.65,152.97,16155114,247128328610000,70150,11254075,0.6966
2015-03-19,NTPC,EQ,152.65,153.5,155.85,150.15,154.8,154.75,153.28,20768369,318347724290000,69940,15847205,0.763
2015-03-20,NTPC,EQ,154.75,143.8,148.3,142.7,145.5,145.5,145.29,17171691,249495528085000,80891,10821011,0.6302
2015-03-23,NTPC,EQ,145.5,145.2,150.5,145.2,150,150.15,148.67,7423310,110365349720000,65137,5024234,0.6768
2015-03-24,NTPC,EQ,150.15,150,153.4,149.6,152.45,152.7,151.6,6418011,97299190215000,53541,4489161,0.6995
2015-03-25,NTPC,EQ,152.7,154.5,154.9,146.5,147.1,147.35,148.74,15931009,236953139810000,25566,13045158,0.8189
2015-03-26,NTPC,EQ,147.35,146.25,147.8,142.95,144.65,144,144.97,21961628,318367967730000,74473,17068529,0.7772
2015-03-27,NTPC,EQ,144,145.9,146.65,143.5,145.9,145.6,145.53,4464698,64976525905000,55226,2977348,0.6669
2015-03-30,NTPC,EQ,145.6,146.1,148.2,145.7,148.2,147.6,147.23,4132541,60842796205000,15451,2983746,0.722
2015-03-31,NTPC,EQ,147.6,148.5,148.5,144.9,147.75,146.85,146.08,6997714,102220872270000,59675,5028730,0.7186
2015-04-01,NTPC,EQ,146.85,147,149.9,147,148,147.75,148.46,3038207,45105970525000,22697,1960667,0.6453
2015-04-06,NTPC,EQ,147.75,148.5,152.95,148.2,152.2,152.1,150.48,3393269,51061362715000,29960,2110460,0.622
2015-04-07,NTPC,EQ,152.1,152.95,157,151.5,156.7,156.3,154.44,4590794,70900912635000,23464,3018571,0.6575
2015-04-08,NTPC,EQ,156.3,156.3,157.95,153.45,155.6,156.1,155.17,2557234,39681188960000,18461,1443466,0.5645
2015-04-09,NTPC,EQ,156.1,156.15,158,153.4,157,157.35,155.69,2900768,45160993640000,19606,1656560,0.5711
2015-04-10,NTPC,EQ,157.35,157,159,154.25,155.6,155.65,156.13,2667347,41646186555000,46801,1678071,0.6291
2015-04-13,NTPC,EQ,155.65,155.7,158.7,153.5,156.95,157.3,155.65,2657574,41364324860000,30183,1367603,0.5146
2015-04-15,NTPC,EQ,157.3,156.2,158.5,153.4,154,154.35,156.41,3425071,53571957900000,29235,2268117,0.6622
2015-04-16,NTPC,EQ,154.35,154,156.6,153.5,156.1,156.1,155.42,2617615,40684173450000,25476,1706819,0.6521
2015-04-17,NTPC,EQ,156.1,155.55,158.85,155.55,158,158,157.87,3192655,50403177800000,34991,1571431,0.4922
2015-04-20,NTPC,EQ,158,159.4,160,153.8,154.4,154.4,156.31,2379637,37196166975000,36494,1316100,0.5531
2015-04-21,NTPC,EQ,154.4,154.9,156.3,151,151.35,151.35,153.26,3220441,49355958010000,48597,1838207,0.5708
2015-04-22,NTPC,EQ,151.35,151.9,153.45,150.3,153.3,152.7,151.64,2768504,41980295820000,31730,1579000,0.5703
2015-04-23,NTPC,EQ,152.7,154,154,148.9,149.1,149.5,150.16,2400684,36047609320000,36892,1407352,0.5862
2015-04-24,NTPC,EQ,149.5,150.45,151,147.9,150.65,149.8,149.06,3337315,49747171610000,40458,2361692,0.7077
2015-04-27,NTPC,EQ,149.8,150.85,153.35,147.7,148.65,148.25,150.94,4093158,61781593220000,37102,2338131,0.5712
2015-04-28,NTPC,EQ,148.25,148,152.15,146.9,151.55,151.3,150.52,3272021,49251415430000,38845,2071844,0.6332
2015-04-29,NTPC,EQ,151.3,151.4,152.75,150.4,151.15,151.6,151.58,3734159,56600914160000,33347,2590174,0.6936
2015-04-30,NTPC,EQ,151.6,151.3,151.9,149.4,150,150.3,150.69,5757489,86757263670000,47055,4037389,0.7012
2015-05-04,NTPC,EQ,150.3,151,153.05,149.35,152.4,152.35,151.28,1870746,28300272765000,18790,1135454,0.607
2015-05-05,NTPC,EQ,152.35,151.5,152.1,148.4,150.5,150.5,150.29,2065173,31036759310000,20621,1100811,0.533
2015-05-06,NTPC,EQ,150.5,149.6,150.05,143.1,144.9,144.6,144.74,4896975,70881079105000,35733,3335637,0.6812
2015-05-07,NTPC,EQ,144.6,144.8,145.15,142,142.15,142.5,143.97,3225571,46439097225000,21580,2197734,0.6813
2015-05-08,NTPC,EQ,142.5,143.25,144.6,141.55,141.85,142,142.9,2435540,34803010865000,28526,1392328,0.5717
2015-05-11,NTPC,EQ,142,142.4,145.5,141.8,145.3,144.95,143.9,2446265,35200534780000,40329,1343029,0.549
2015-05-12,NTPC,EQ,144.95,144.65,145.45,140.3,142.4,141.65,141.89,4232194,60051249185000,43953,3108470,0.7345
2015-05-13,NTPC,EQ,141.65,142.05,142.6,134.25,139.1,138.4,137.59,10805544,148674323340000,52626,7200666,0.6664
2015-05-14,NTPC,EQ,138.4,139.4,143.65,137.7,139.2,139.05,139.78,9830755,137418530885000,50903,6638329,0.6753
2015-05-15,NTPC,EQ,139.05,140,141.4,135.45,136.4,136.1,137.3,2906361,39904343950000,25527,1653577,0.569
2015-05-18,NTPC,EQ,136.1,137.7,137.7,135.05,136.1,136.15,136.03,3200431,43536847240000,26705,2110261,0.6594
2015-05-19,NTPC,EQ,136.15,136.4,137.9,134.85,135.7,136.1,136.3,2576477,35117714735000,23194,1750135,0.6793
2015-05-20,NTPC,EQ,136.1,136.9,137.7,135.45,136.3,136.15,136.78,3682064,50362094820000,29805,2708655,0.7356
2015-05-21,NTPC,EQ,136.15,137,137.1,134,134.45,134.95,135.22,3683930,49812270705000,28764,2688301,0.7297
2015-05-22,NTPC,EQ,134.95,134.6,135.7,134.25,135.5,135.35,135.12,4675857,63181971295000,82221,2364088,0.5056
2015-05-25,NTPC,EQ,135.35,135.05,135.85,134,134.5,134.25,134.69,1498913,20189509125000,19272,932773,0.6223
2015-05-26,NTPC,EQ,134.25,134.5,134.5,132,132.5,132.5,132.67,7013048,93041361920000,39871,5125385,0.7308
2015-05-27,NTPC,EQ,132.5,132.5,135.85,131.3,134.9,134.25,133.62,6935826,92673154935000,40263,5219102,0.7525
2015-05-28,NTPC,EQ,134.25,134.8,135.55,134,135,134.65,134.65,7942822,106948570050000,27549,5681128,0.7153
2015-05-29,NTPC,EQ,134.65,134.75,139.65,134.05,137.15,136.55,136.28,46162369,629088158820000,95213,39662942,0.8592
2015-06-01,NTPC,EQ,136.55,136.6,139.3,136.6,138.8,138.55,138.25,4735162,65464098190000,34297,3115190,0.6579
2015-06-02,NTPC,EQ,138.55,138.5,138.9,135.8,138,137.95,137.85,4147306,57168988320000,27581,3026002,0.7296
2015-06-03,NTPC,EQ,137.95,137.7,139.75,136.1,139.05,138.45,138.54,6953216,96332255745000,30281,4881518,0.7021
2015-06-04,NTPC,EQ,138.45,138.55,139.4,136.15,136.6,136.9,137.24,5105263,70064677700000,42628,3941608,0.7721
2015-06-05,NTPC,EQ,136.9,135.6,140.85,135.6,140,140.05,139.48,5675983,79170518645000,32892,4262607,0.751
2015-06-08,NTPC,EQ,140.05,140.15,140.5,138.05,138.6,138.45,139.05,4875881,67799603365000,37570,3602224,0.7388
2015-06-09,NTPC,EQ,138.45,138.7,139.45,136.75,139,139,138.57,4852849,67245388600000,23382,3636167,0.7493
2015-06-10,NTPC,EQ,139,139.4,140.75,138.8,139.7,140,139.9,3797969,53133879780000,19008,2573578,0.6776
2015-06-11,NTPC,EQ,140,140.25,140.4,136.2,136.8,136.55,137.61,4705694,64755532655000,26654,3396267,0.7217
2015-06-12,NTPC,EQ,136.55,136,137.5,135.6,136.55,136.5,136.58,3900565,53273801865000,17289,2861689,0.7337
2015-06-15,NTPC,EQ,136.5,136,136.65,134.6,136,135.85,135.6,2013108,27297165130000,17442,1339825,0.6656
2015-06-16,NTPC,EQ,135.85,135.4,138,135.4,137.25,137.65,136.41,1834430,25023586825000,13347,1222797,0.6666
2015-06-17,NTPC,EQ,137.65,137.35,137.95,136.55,137,137,137.11,3932128,53912272375000,33680,2806752,0.7138
2015-06-18,NTPC,EQ,137,137.1,137.9,136.25,136.6,136.6,136.65,2599234,35518122670000,18032,1775346,0.683
2015-06-19,NTPC,EQ,136.6,136.8,137.3,135.6,136.4,136.05,136.2,2965094,40385882310000,15053,2408628,0.8123
2015-06-22,NTPC,EQ,136.05,136.2,137.5,136,137.2,137,136.74,2074238,28363684190000,13089,1314611,0.6338
2015-06-23,NTPC,EQ,137,136.9,140,135.9,139.25,139.25,137.16,4079757,55958070945000,22997,2954369,0.7242
2015-06-24,NTPC,EQ,139.25,139.9,140.15,136.25,136.4,136.8,137.99,959376,13238200855000,8834,498503,0.5196
2015-06-25,NTPC,EQ,136.8,136.6,137.35,135,136.8,135.6,135.85,11070728,150394944235000,24211,8849086,0.7993
2015-06-26,NTPC,EQ,135.6,135.65,138.2,135.4,137.5,137.7,136.89,2510750,34369271780000,16304,1744903,0.695
2015-06-29,NTPC,EQ,137.7,136.65,139.5,135.4,138.1,138.65,137.62,2279382,31369775125000,18142,1364254,0.5985
2015-06-30,NTPC,EQ,138.65,137.8,138.6,136.15,137.65,137.65,137.28,4654154,63894084845000,21799,3293561,0.7077
2015-07-01,NTPC,EQ,137.65,137.35,139.35,136.9,138,138.3,138.35,2243489,31039537210000,16945,1338358,0.5966
2015-07-02,NTPC,EQ,138.3,138.5,138.85,137.35,137.45,137.65,138.14,1775781,24530737140000,15767,1225558,0.6902
2015-07-03,NTPC,EQ,137.65,136.75,139.7,136.1,138.9,138.85,138.66,1540118,21355409425000,20817,851864,0.5531
2015-07-06,NTPC,EQ,138.85,136.7,138.6,136.7,137.45,138,137.92,1524649,21028181790000,12819,883738,0.5796
2015-07-07,NTPC,EQ,138,138,138.3,134,134.45,134.45,134.91,9892452,133459770935000,36303,8308267,0.8399
2015-07-08,NTPC,EQ,134.45,132.05,133.85,131.35,132.65,133,132.52,5815889,77071174745000,32320,4569823,0.7857
2015-07-09,NTPC,EQ,133,132.5,133.15,130.7,131.05,131.1,132,3075079,40590443970000,30673,2334890,0.7593
2015-07-10,NTPC,EQ,131.1,131.25,131.75,128.15,130,129.85,129.34,5583580,72218683105000,57457,3933481,0.7045
2015-07-13,NTPC,EQ,129.85,130,133.4,129.1,133.2,133.1,131.74,2861191,37692714295000,36176,1844624,0.6447
2015-07-14,NTPC,EQ,133.1,133.2,134.05,132.9,133.2,133.1,133.35,2074908,27669807250000,12153,1366884,0.6588
2015-07-15,NTPC,EQ,133.1,133,134,133,133.55,133.15,133.56,2057947,27486107055000,14463,1586104,0.7707
2015-07-16,NTPC,EQ,133.15,133.55,135.1,133,134.75,134.7,134.35,991126,13315939510000,7261,369905,0.3732
2015-07-17,NTPC,EQ,134.7,134.75,135.8,134.1,135.55,135.55,135.16,1204503,16280039135000,12302,774180,0.6427
2015-07-20,NTPC,EQ,135.55,135.65,136.2,135.45,135.55,135.7,135.6,738637,10016271775000,5374,494378,0.6693
2015-07-21,NTPC,EQ,135.7,135.5,136.05,135.3,135.5,135.6,135.62,1139508,15453571225000,8659,836648,0.7342
