Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Sector
2015-01-01,ADANIPORTS,EQ,319.05,319,322.5,316.25,318.35,319.55,319.63,1456204,46544100000000,16777,177991,0.1222,Services
2015-01-02,ADANIPORTS,EQ,319.55,319.35,325.8,318.05,319.3,319.35,321.61,2894058,93075300000000,36823,1036496,0.3581,Services
2015-01-05,ADANIPORTS,EQ,319.35,320.45,327.5,319.35,323.75,323.8,324.37,2099786,68109800000000,34920,773016,0.3681,Services
2015-01-06,ADANIPORTS,EQ,323.8,321.65,331.45,315.6,321.7,321.85,323.73,3672197,118879291730000,44136,978986,0.2666,Services
2015-01-07,ADANIPORTS,EQ,321.85,321.95,328.7,317.4,321.75,321.1,323.01,2981544,96305900000000,43175,996993,0.3344,Services
2015-01-08,ADANIPORTS,EQ,321.1,326,337.3,323.55,336.7,334.55,330.87,2932673,97032700000000,55031,1064595,0.363,Services
2015-01-09,ADANIPORTS,EQ,334.55,339.9,343.1,327.35,331.3,331.15,334.89,3543488,118668961490000,44647,1569476,0.4429,Services
2015-01-12,ADANIPORTS,EQ,331.15,332.15,335.75,325.55,327.45,328.45,329,2990475,98385700000000,44860,1443283,0.4826,Services
2015-01-13,ADANIPORTS,EQ,328.45,330.2,331.3,320.75,324,323,326.24,2688701,87717100000000,43122,1266862,0.4712,Services
2015-01-14,ADANIPORTS,EQ,323,324,333.9,322.65,332.8,331.25,328.02,2272652,74548100000000,27213,865899,0.381,Services
2015-01-15,ADANIPORTS,EQ,331.25,334,337.3,326.25,330,330.6,330.85,2140699,70825900000000,25565,912377,0.4262,Services
2015-01-16,ADANIPORTS,EQ,330.6,329.8,334.6,326,331,330.85,330.87,1970666,65202464305000,49292,784469,0.3981,Services
2015-01-19,ADANIPORTS,EQ,330.85,332.05,334.8,326.6,328.6,328.35,330.58,1362398,45038300000000,15876,612447,0.4495,Services
2015-01-20,ADANIPORTS,EQ,328.35,329,332.65,326.85,329.7,330.5,330.21,1091657,36047300000000,19264,387652,0.3551,Services
2015-01-21,ADANIPORTS,EQ,330.5,330.35,333.5,326.2,328.55,329.35,328.91,1514648,49818000000000,19478,739341,0.4881,Services
2015-01-22,ADANIPORTS,EQ,329.35,329.05,331.65,327,328.8,329.4,329.42,1376133,45332900000000,29388,686897,0.4992,Services
2015-01-23,ADANIPORTS,EQ,329.4,332,352.75,330.1,345.3,346.9,342.24,7519790,257354979095000,124460,2628704,0.3496,Services
2015-01-27,ADANIPORTS,EQ,346.9,348,349.45,340.9,344.25,345.15,344.53,2928237,100885469785000,49431,971955,0.3319,Services
2015-01-28,ADANIPORTS,EQ,345.15,343.4,350,333.9,337.65,339.25,342.41,3391819,116140514910000,48217,814463,0.2401,Services
2015-01-29,ADANIPORTS,EQ,339.25,340.65,348.4,337.65,343.2,344.15,343.61,4034959,138643294800000,77982,1905695,0.4723,Services
2015-01-30,ADANIPORTS,EQ,344.15,346.4,352,323.5,339,341.05,342.31,4373172,149696657630000,69132,1124543,0.2571,Services
2015-02-02,ADANIPORTS,EQ,341.05,339.5,343.9,333,333.9,335.9,337.53,1735161,58566800000000,30467,451557,0.2602,Services
2015-02-03,ADANIPORTS,EQ,335.9,336.3,336.95,326.05,328,327.8,330.29,1537152,50771200000000,49659,563214,0.3664,Services
2015-02-04,ADANIPORTS,EQ,327.8,329.45,333,319.25,321.4,321.25,326.59,2792395,91197100000000,34847,1031201,0.3693,Services
2015-02-05,ADANIPORTS,EQ,321.25,322,322.7,308.45,310,312.2,316.68,2167857,68651700000000,35854,829867,0.3828,Services
2015-02-06,ADANIPORTS,EQ,312.2,311.1,313.95,298.6,299.1,300.2,305.84,3265593,99876000000000,50322,1658372,0.5078,Services
2015-02-09,ADANIPORTS,EQ,300.2,296.7,307.9,292.5,300,300.15,301.14,3103409,93455400000000,47485,1292341,0.4164,Services
2015-02-10,ADANIPORTS,EQ,300.15,298.1,319.7,298.1,319.5,317.85,312.54,3921257,122553747460000,72815,1273566,0.3248,Services
