Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Sector
2015-01-01,ZEEL,EQ,380.75,381,381.05,377.05,379,377.7,378.33,321140,12149800000000,7645,93391,0.2908,Telecom
2015-01-02,ZEEL,EQ,377.7,378,383.5,378,379.5,380.95,381.24,960337,36612200000000,14605,527004,0.5488,Telecom
2015-01-05,ZEEL,EQ,380.95,379.1,381.6,377.1,379.8,380,379.79,842678,32004300000000,26590,388593,0.4611,Telecom
2015-01-06,ZEEL,EQ,380,377,378.45,361.2,369.95,367.9,370.26,1443145,53434200000000,32994,756677,0.5243,Telecom
2015-01-07,ZEEL,EQ,367.9,367.9,370,360.45,363.9,364.85,363.72,1527500,55558700000000,21579,924628,0.6053,Telecom
2015-01-08,ZEEL,EQ,364.85,366.85,372,362.1,364.5,364.5,364.35,729084,26563900000000,21352,325166,0.446,Telecom
2015-01-09,ZEEL,EQ,364.5,367.5,368,357.25,361,360.8,360.86,1385760,50007100000000,57643,611132,0.441,Telecom
2015-01-12,ZEEL,EQ,360.8,360.7,362.9,354.05,360.9,360.9,360.4,1646430,59337700000000,32525,1086891,0.6602,Telecom
2015-01-13,ZEEL,EQ,360.9,362,367.5,360.4,361.5,361.75,364.76,1761201,64242100000000,71253,1129257,0.6412,Telecom
2015-01-14,ZEEL,EQ,361.75,362,363.95,358,361,359.95,360.3,1392613,50175900000000,44493,776063,0.5573,Telecom
2015-01-15,ZEEL,EQ,359.95,363,370.75,361,369,369.4,368.45,2146779,79099100000000,27235,1525344,0.7105,Telecom
2015-01-16,ZEEL,EQ,369.4,369.4,387.8,367.5,386.5,385.85,380.79,2633578,100282863455000,55083,1336110,0.5073,Telecom
2015-01-19,ZEEL,EQ,385.85,388,389.6,381.05,384,384.6,384.84,798820,30741600000000,10128,240713,0.3013,Telecom
2015-01-20,ZEEL,EQ,384.6,384.9,393.2,380.8,390.55,390.7,387.72,1263250,48978700000000,21296,490115,0.388,Telecom
2015-01-21,ZEEL,EQ,390.7,393,400.05,376.2,381.6,381.55,389.06,7657084,297903399315000,113072,2185404,0.2854,Telecom
2015-01-22,ZEEL,EQ,381.55,384,390.8,383.5,388,389.5,388.14,1587469,61616000000000,22650,494730,0.3116,Telecom
2015-01-23,ZEEL,EQ,389.5,394,394.4,387.25,391,390.75,390.57,1321254,51604400000000,35061,658662,0.4985,Telecom
2015-01-27,ZEEL,EQ,390.75,387.6,391.75,384.2,389.7,389.95,388.44,1179774,45827200000000,23843,572524,0.4853,Telecom
2015-01-28,ZEEL,EQ,389.95,387,391.55,385.15,386,387.3,388.23,2090303,81151500000000,37026,1134769,0.5429,Telecom
2015-01-29,ZEEL,EQ,387.3,388,389.95,382.5,384.6,386.05,385.87,3507244,135334257210000,49976,2358098,0.6724,Telecom
2015-01-30,ZEEL,EQ,386.05,386,386.85,373.05,377.5,376.75,378.18,1861036,70381100000000,43609,1225225,0.6584,Telecom
2015-02-02,ZEEL,EQ,376.75,376,376,369.1,372.95,371.75,371.94,1280710,47634300000000,33920,793245,0.6194,Telecom
2015-02-03,ZEEL,EQ,371.75,372.25,376.3,371.6,373.45,373.1,373.99,1032469,38612900000000,49975,596096,0.5774,Telecom
2015-02-04,ZEEL,EQ,373.1,376,376,362,363,365.2,365.91,1900037,69525020970000,33464,1260547,0.6634,Telecom
2015-02-05,ZEEL,EQ,365.2,365,367.75,359.15,360.95,360.65,362.63,3533904,128151524935000,31660,2845537,0.8052,Telecom
2015-02-06,ZEEL,EQ,360.65,359.5,366.75,359.5,361.1,361.55,362.87,3206207,116342266325000,26648,2585739,0.8065,Telecom
2015-02-09,ZEEL,EQ,361.55,360,360.3,348.1,352.05,351.8,351.91,1323352,46569900000000,39330,793672,0.5997,Telecom
2015-02-10,ZEEL,EQ,351.8,348.2,353.85,345.95,350,350,349.96,1895192,66324000000000,44956,1183931,0.6247,Telecom
2015-02-11,ZEEL,EQ,350,351.85,351.85,341.2,345.05,345.5,344.23,3085879,106226483570000,41986,2353710,0.7627,Telecom
2015-02-12,ZEEL,EQ,345.5,351,362.9,350.45,361,361.2,356.26,5612430,199950977950000,38961,4136621,0.737,Telecom
2015-02-13,ZEEL,EQ,361.2,362.3,367.05,360.25,363.15,363.9,363.9,1402208,51025900000000,33803,683158,0.4872,Telecom
2015-02-16,ZEEL,EQ,363.9,365,366,358.7,361.3,360.3,362.22,1061105,38435200000000,35600,584383,0.5507,Telecom
2015-02-18,ZEEL,EQ,360.3,360.3,361.3,352.55,357.4,356.2,355.7,1613325,57385675330000,29886,1013635,0.6283,Telecom
2015-02-19,ZEEL,EQ,356.2,358.6,361.45,350.55,353.95,353.4,354.75,794228,28175253360000,12922,250272,0.3151,Telecom
2015-02-20,ZEEL,EQ,353.4,353,360.5,352,358.5,358.8,358.02,976302,34953200000000,15801,461431,0.4726,Telecom
2015-02-23,ZEEL,EQ,358.8,358.8,361.4,342.7,342.75,344.6,349.53,1306772,45675500000000,24588,663061,0.5074,Telecom
2015-02-24,ZEEL,EQ,344.6,344.6,353.95,343.05,353.15,353,350.63,1248168,43765100000000,19545,459490,0.3681,Telecom
2015-02-25,ZEEL,EQ,353,352.7,353.6,347.1,347.95,348.55,349.08,1078737,37657000000000,16299,432304,0.4008,Telecom
2015-02-26,ZEEL,EQ,348.55,347.75,351.8,340,345.4,343.1,343.71,1938779,66638700000000,47713,1230839,0.6349,Telecom
2015-02-27,ZEEL,EQ,343.1,346,350.45,342,347.15,348.95,344.9,5049108,174142717810000,46545,3940937,0.7805,Telecom
2015-02-28,ZEEL,EQ,348.95,349.95,351.3,343.8,345,346.45,347.69,824785,28677300000000,8440,379589,0.4602,Telecom
2015-03-02,ZEEL,EQ,346.45,347.6,350.35,340.5,343.95,342.75,342.71,3356249,115020485510000,23837,1734070,0.5167,Telecom
2015-03-03,ZEEL,EQ,342.75,346.5,349.25,340.75,347.7,347.95,343.8,4390082,150929698155000,41228,2117763,0.4824,Telecom
2015-03-04,ZEEL,EQ,347.95,350.15,350.25,340.6,342.5,341.95,344.06,835797,28756822510000,16603,485791,0.5812,Telecom
2015-03-05,ZEEL,EQ,341.95,342,345.1,335,344,342,339.85,1293268,43952000000000,23594,748517,0.5788,Telecom
2015-03-09,ZEEL,EQ,342,340,342.5,335.8,336.7,336.7,338.22,786759,26609500000000,23535,408671,0.5194,Telecom
2015-03-10,ZEEL,EQ,336.7,333.3,345.1,333.3,342.55,341.9,341.95,1391166,47571300000000,30640,715358,0.5142,Telecom
