Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,ZEEL,EQ,1092.55,1175,1179.95,1160,1179.95,1179.95,1177.03,1261391,148469028020000,,,
2000-01-04,ZEEL,EQ,1179.95,1220,1274.35,1183.1,1274.35,1260.65,1228.02,4616547,566921974510000,,,
2000-01-05,ZEEL,EQ,1260.65,1160.55,1317.7,1159.8,1190.95,1176.55,1238.35,8763127,1085177595800000,,,
2000-01-06,ZEEL,EQ,1176.55,1195,1200,1095,1106,1115.45,1135.04,5164020,586135272520000,,,
2000-01-07,ZEEL,EQ,1115.45,1097.1,1097.1,1026.25,1026.25,1026.25,1029.94,755129,77773700000000,,,
2000-01-10,ZEEL,EQ,1026.25,1026.25,1026.25,944.3,962,966.7,980.49,3942813,386588483605000,,,
2000-01-11,ZEEL,EQ,966.7,985,1044,891,1018.8,1019.95,995.97,6802005,677460525215000,,,
2000-01-12,ZEEL,EQ,1019.95,1035,1088,1035,1064,1063.85,1068.99,2968833,317365292920000,,,
2000-01-13,ZEEL,EQ,1063.85,1073,1085,1012.7,1018,1023.1,1050.57,2251046,236488202445000,,,
2000-01-14,ZEEL,EQ,1023.1,1030,1034.75,980.7,1001,1001.85,1007.74,2949092,297190565470000,,,
2000-01-17,ZEEL,EQ,1001.85,1022,1054.9,1011.1,1034.9,1042.35,1036.05,3526666,365378816190000,,,
2000-01-18,ZEEL,EQ,1042.35,1034,1039,1001,1015,1009.3,1021.41,2754298,281326394235000,,,
2000-01-19,ZEEL,EQ,1009.3,1040,1090.05,1040,1090.05,1090.05,1070.58,2048407,219297395395000,,,
2000-01-20,ZEEL,EQ,1090.05,1139.9,1177.25,1125,1146,1149.15,1159.75,5125365,594415536050000,,,
2000-01-21,ZEEL,EQ,1149.15,1149,1183.8,1135,1180,1176.85,1164.23,4048147,471299361435000,,,
2000-01-24,ZEEL,EQ,1176.85,1187.7,1241,1187.7,1234,1223.15,1218.64,3969446,483733723475000,,,
2000-01-25,ZEEL,EQ,1223.15,1230,1235,1185,1203,1209,1211.07,3647707,441761960060000,,,
2000-01-27,ZEEL,EQ,1209,1250,1268.5,1211.1,1222,1221.1,1244.23,3682939,458242691835000,,,
2000-01-28,ZEEL,EQ,1221.1,1211.05,1296.35,1202.8,1288.1,1286.9,1264.27,5400401,682755771540000,,,
2000-01-31,ZEEL,EQ,1286.9,1285,1294.9,1197,1208.5,1213.1,1261.73,4113157,518969048410000,,,
2000-02-01,ZEEL,EQ,1213.1,1220,1250,1213.1,1230,1226.65,1232.4,3722293,458735275580000,,,
2000-02-02,ZEEL,EQ,1226.65,1265,1299,1240,1244,1252.55,1273.42,5414633,689509624130000,,,
2000-02-03,ZEEL,EQ,1252.55,1254.9,1352.75,1254.9,1352.75,1351.35,1309.58,7114463,931695910465000,,,
2000-02-04,ZEEL,EQ,1351.35,1389.9,1418.7,1331.65,1344,1341.8,1363.98,4208405,574017337565000,,,
2000-02-07,ZEEL,EQ,1341.8,1351,1364.4,1291.1,1309,1305.8,1314.65,2996084,393881096725000,,,
2000-02-08,ZEEL,EQ,1305.8,1310,1381.7,1310,1335,1335.7,1356.92,6200928,841416495350000,,,
2000-02-09,ZEEL,EQ,1335.7,1361,1397,1314.8,1322,1326.15,1355.12,3569244,483673696325000,,,
2000-02-10,ZEEL,EQ,1326.15,1310.05,1368,1310.05,1341,1339.35,1347.04,3059468,412121645535000,,,
2000-02-11,ZEEL,EQ,1339.35,1350,1398,1347,1355,1359.95,1374.06,3646822,501094852185000,,,
2000-02-14,ZEEL,EQ,1359.95,1331,1416,1301,1380,1391.9,1379.94,5347820,737965213335000,,,
2000-02-15,ZEEL,EQ,1391.9,1393,1416,1332.05,1345,1343.85,1380.05,4219963,582376368470000,,,
2000-02-16,ZEEL,EQ,1343.85,1370,1403.95,1356,1372.9,1375.25,1383.74,4012618,555242322795000,,,
2000-02-17,ZEEL,EQ,1375.25,1389,1414,1368,1379,1378.2,1386.34,3481463,482650498000000,,,
2000-02-18,ZEEL,EQ,1378.2,1389,1407,1350,1375,1362.6,1383.67,3347408,463169544655000,,,
2000-02-21,ZEEL,EQ,1362.6,1380,1471.65,1380,1471.65,1471.65,1448.7,4422825,640732649525000,,,
2000-02-22,ZEEL,EQ,1471.65,1550.05,1577.7,1512.25,1530,1528.05,1547.21,3776946,584373579155000,,,
2000-02-23,ZEEL,EQ,1528.05,1640,1645,1451.25,1460,1476.55,1578.11,4773124,753249547460000,,,
2000-02-24,ZEEL,EQ,1476.55,1499,1585,1485,1564,1541.7,1539.06,4457117,685979270845000,,,
2000-02-25,ZEEL,EQ,1541.7,1579,1617.7,1430,1457.8,1452.85,1509.95,2615003,394852622470000,,,
2000-02-28,ZEEL,EQ,1452.85,1487,1524,1352.6,1404.5,1404.2,1413.09,2729132,385651337625000,,,
2000-02-29,ZEEL,EQ,1404.2,1406,1455,1291.9,1291.9,1310.75,1389.4,4831036,671226159105000,,,
2000-03-01,ZEEL,EQ,1310.75,1320.1,1415.65,1292,1415.65,1403.35,1370.4,4328143,593128491620000,,,
2000-03-02,ZEEL,EQ,1403.35,1435,1515.65,1435,1515.65,1515.65,1501.34,2383776,357886857840000,,,
2000-03-03,ZEEL,EQ,1515.65,1544,1634,1441.25,1485,1476.7,1507.55,5762343,868700879465000,,,
2000-03-06,ZEEL,EQ,1476.7,1510,1554.85,1478.3,1537,1535,1520.43,4611685,701172295305000,,,
2000-03-07,ZEEL,EQ,1535,1545,1549,1436.6,1458,1452,1489.96,3305684,492535062160000,,,
2000-03-08,ZEEL,EQ,1452,1470,1520,1411.25,1449,1454.4,1468.03,3590139,527042099940000,,,
2000-03-09,ZEEL,EQ,1454.4,1467,1509,1350,1363.1,1376.8,1419.38,3023132,429097338025000,,,
2000-03-10,ZEEL,EQ,1376.8,1380,1420,1266.7,1266.7,1272.7,1352.85,2525958,341723863915000,,,
2000-03-13,ZEEL,EQ,1272.7,1289.7,1350,1176.3,1207,1194.4,1239.66,4783624,593008996770000,,,
2000-03-14,ZEEL,EQ,1194.4,1209.9,1289.95,1161.15,1289.95,1287.5,1258.81,5186227,652846196210000,,,
2000-03-15,ZEEL,EQ,1287.5,1314,1320,1195.05,1210,1231.05,1257.79,3804095,478473870855000,,,
2000-03-16,ZEEL,EQ,1231.05,1191,1200,1132.6,1132.6,1132.6,1159.94,3067143,355770160015000,,,
2000-03-21,ZEEL,EQ,1132.6,1132.6,1132.6,1042,1042,1042,1061.89,1907867,202595415170000,,,
2000-03-22,ZEEL,EQ,1042,1015,1098.5,958.65,958.65,964.55,1027.07,7391852,759192882560000,,,
2000-03-23,ZEEL,EQ,964.55,963,1041.75,963,1041.75,1041.75,1032.14,3072725,317148891180000,,,
2000-03-24,ZEEL,EQ,1041.75,1049,1114,1021,1112,1102.6,1075.94,4477504,481751805950000,,,
2000-03-27,ZEEL,EQ,1102.6,1115,1140,1059,1100.1,1101.5,1097.76,3909338,429153401360000,,,
2000-03-28,ZEEL,EQ,1101.5,1110,1110,1018.1,1039,1039.7,1045.15,2901492,303248966760000,,,
2000-03-29,ZEEL,EQ,1039.7,1054.9,1091.5,1035.1,1060.1,1054,1067.17,3060813,326640475385000,,,
2000-03-30,ZEEL,EQ,1054,1060,1069.9,970,1053,1040,1013.77,4307330,436662993845000,,,
2000-03-31,ZEEL,EQ,1040,1042,1049.05,960.6,1027,1033.2,1011.49,6100225,617028865605000,,,
2000-04-03,ZEEL,EQ,1033.2,1050,1068,950.55,950.55,950.55,996.1,3230210,321761062900000,,,
2000-04-04,ZEEL,EQ,950.55,950.55,950.55,874.55,874.55,874.55,874.57,97145,8496000000000,,,
2000-04-05,ZEEL,EQ,874.55,804.6,843.7,804.6,804.6,804.6,812.52,1291993,104977393020000,,,
2000-04-06,ZEEL,EQ,804.6,804.6,869,740.25,852,839.9,794.8,3634933,288906130810000,,,
2000-04-07,ZEEL,EQ,839.9,907.1,907.1,907.1,907.1,907.1,907.1,113636,10307900000000,,,
2000-04-10,ZEEL,EQ,907.1,979.7,979.7,979.7,979.7,979.7,979.7,103522,10142100000000,,,
2000-04-11,ZEEL,EQ,979.7,979.7,1043,901.35,1028.65,1026.9,992.98,5542973,550405657580000,,,
2000-04-12,ZEEL,EQ,1026.9,1023.9,1099.4,1011.9,1064.05,1083.2,1065.28,5405037,575787766225000,,,
2000-04-13,ZEEL,EQ,1083.2,1050.05,1050.05,996.55,1007,1004.75,1003.37,3237236,324813327485000,,,
2000-04-17,ZEEL,EQ,1004.75,924.4,924.4,924.4,924.4,924.4,924.4,19174,1772444560000,,,
2000-04-18,ZEEL,EQ,924.4,924.4,974,850.45,850.45,850.45,892.07,1938922,172964513205000,,,
2000-04-19,ZEEL,EQ,850.45,900,913,782.45,782.45,782.45,813.35,2050885,166808115185000,,,
2000-04-20,ZEEL,EQ,782.45,720,739,719.85,719.85,720.5,720.31,558404,40222200000000,,,
2000-04-24,ZEEL,EQ,720.5,700,733.9,662.9,662.9,662.9,680.76,3392115,230922774050000,,,
2000-04-25,ZEEL,EQ,662.9,609.9,715.95,609.9,715.95,711.75,662.38,4534493,300355714630000,,,
2000-04-26,ZEEL,EQ,711.75,763.8,768.7,732,768.7,768.7,760.48,3254362,247488745305000,,,
2000-04-27,ZEEL,EQ,768.7,768.7,768.7,709.2,710.05,717.15,738.22,3937179,290650021790000,,,
2000-04-28,ZEEL,EQ,717.15,721,755,682.25,720,719.8,725.32,6616511,479910839075000,,,
