,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,50_MA,200_MA,50_SD,200_SD
Prev Close,1.0,0.9983023976495563,0.9970611582873435,0.9963255700313702,0.99524676768648,0.9953275879915757,0.9966821355136131,-0.23939430127033848,-0.07937647061321078,-0.21619028281743072,-0.21965684839473745,0.15810957686116386,0.917851675130859,0.6713358520234413,-0.07121381348312572,-0.11788630474557153
Open,0.9983023976495563,1.0,0.998551806110069,0.9981332118762557,0.9967737430727789,0.9968444619656314,0.9982595407259117,-0.24016134252880214,-0.08029581816142574,-0.21765846046222928,-0.22085657085046437,0.15864698550596004,0.915759616389402,0.6703452068291673,-0.07291324596642437,-0.1203118112881727
High,0.9970611582873435,0.998551806110069,1.0,0.9980388554259992,0.9986665069213547,0.9987326674747643,0.9994273445214076,-0.22602561724975176,-0.06332194525852539,-0.20150070756088118,-0.2083232747939028,0.1474300849850344,0.9157233053425705,0.669831414182568,-0.06755664636432156,-0.12039710082928201
Low,0.9963255700313702,0.9981332118762557,0.9980388554259992,1.0,0.9986125090284516,0.9986714573471629,0.9993241598163113,-0.25040959092245335,-0.09139110995668065,-0.23066421654305486,-0.2303742820850859,0.1587985361539035,0.9118507286820987,0.6661965478149422,-0.07792049271195188,-0.12303432580595028
Last,0.99524676768648,0.9967737430727789,0.9986665069213547,0.9986125090284516,1.0,0.9999372077100394,0.9993824894218947,-0.2371685322721823,-0.07563519622102353,-0.21534202219410642,-0.21965881091041703,0.14963949958882164,0.9125600089625188,0.6662740766550868,-0.07293003956360679,-0.12322310227598435
Close,0.9953275879915757,0.9968444619656314,0.9987326674747643,0.9986714573471629,0.9999372077100394,1.0,0.9994534435066558,-0.23633621017771203,-0.07472946283171013,-0.21491914700268733,-0.217959960108265,0.14970406574593392,0.9124948580412371,0.6660782846009574,-0.07333643342264437,-0.12307411259913859
VWAP,0.9966821355136131,0.9982595407259117,0.9994273445214076,0.9993241598163113,0.9993824894218947,0.9994534435066558,1.0,-0.2379625868419393,-0.07661733889266233,-0.21581875377794957,-0.21886415719914984,0.15096162515123032,0.9138374330237332,0.6677505716865793,-0.07260115796305505,-0.12167971121748845
Volume,-0.23939430127033848,-0.24016134252880214,-0.22602561724975176,-0.25040959092245335,-0.2371685322721823,-0.23633621017771203,-0.2379625868419393,1.0,0.966276069199904,0.9403930846019292,0.8105080878869947,-0.3312004923087049,-0.2509462151743052,-0.26817292218817573,0.15173631384868527,0.06835407504217955
Turnover,-0.07937647061321078,-0.08029581816142574,-0.06332194525852539,-0.09139110995668065,-0.07563519622102353,-0.07472946283171013,-0.07661733889266233,0.966276069199904,1.0,0.9211483863910551,0.7925350387616664,-0.33304502403466285,-0.10757357441528033,-0.16951778349833005,0.1468671985938755,0.05344436957653553
Trades,-0.21619028281743072,-0.21765846046222928,-0.20150070756088118,-0.23066421654305486,-0.21534202219410642,-0.21491914700268733,-0.21581875377794957,0.9403930846019292,0.9211483863910551,1.0,0.7682045517347404,-0.30635707178389804,-0.21371828537193244,-0.21536770847589742,0.21763551226695532,0.09118514720113653
Deliverable Volume,-0.21965684839473745,-0.22085657085046437,-0.2083232747939028,-0.2303742820850859,-0.21965881091041703,-0.217959960108265,-0.21886415719914984,0.8105080878869947,0.7925350387616664,0.7682045517347404,1.0,0.027287181135449708,-0.21416118465553208,-0.23881029072208268,0.1229249306881006,0.0703369556764867
%Deliverble,0.15810957686116386,0.15864698550596004,0.1474300849850344,0.1587985361539035,0.14963949958882164,0.14970406574593392,0.15096162515123032,-0.3312004923087049,-0.33304502403466285,-0.30635707178389804,0.027287181135449708,1.0,0.18667890759110142,0.14080993153549923,-0.20993403807130354,-0.1979265552487766
50_MA,0.917851675130859,0.915759616389402,0.9157233053425705,0.9118507286820987,0.9125600089625188,0.9124948580412371,0.9138374330237332,-0.2509462151743052,-0.10757357441528033,-0.21371828537193244,-0.21416118465553208,0.18667890759110142,1.0,0.8066268355239307,0.12908097068786156,-0.020792565689834234
200_MA,0.6713358520234413,0.6703452068291673,0.669831414182568,0.6661965478149422,0.6662740766550868,0.6660782846009574,0.6677505716865793,-0.26817292218817573,-0.16951778349833005,-0.21536770847589742,-0.23881029072208268,0.14080993153549923,0.8066268355239307,1.0,0.16412632741577987,0.2331700849342016
50_SD,-0.07121381348312572,-0.07291324596642437,-0.06755664636432156,-0.07792049271195188,-0.07293003956360679,-0.07333643342264437,-0.07260115796305505,0.15173631384868527,0.1468671985938755,0.21763551226695532,0.1229249306881006,-0.20993403807130354,0.12908097068786156,0.16412632741577987,1.0,0.17749328815321475
200_SD,-0.11788630474557153,-0.1203118112881727,-0.12039710082928201,-0.12303432580595028,-0.12322310227598435,-0.12307411259913859,-0.12167971121748845,0.06835407504217955,0.05344436957653553,0.09118514720113653,0.0703369556764867,-0.1979265552487766,-0.020792565689834234,0.2331700849342016,0.17749328815321475,1.0
