,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,50_MA,200_MA,50_SD,200_SD
Prev Close,1.0,0.9969588112534522,0.995121654035996,0.9948818862376231,0.9928713013300159,0.9929731219800686,0.9948748296991008,-0.45428848178450965,-0.2069433469174801,-0.35938004785094685,-0.32945566331387344,0.24420083417597824,0.8733002002637509,0.34683412154367277,-0.1045284848375069,-0.4121507021766017
Open,0.9969588112534522,1.0,0.997976996989239,0.9979602813122941,0.9957281599158069,0.9958402767107692,0.9978160469582946,-0.44984151120974397,-0.20083419464673155,-0.3559882450593822,-0.3271495667357158,0.24107082440334981,0.8703880786171994,0.3429472160307614,-0.10456041532368905,-0.4138248636774112
High,0.995121654035996,0.997976996989239,1.0,0.9974137764990341,0.9983498698987343,0.9984126869328852,0.9993073868220772,-0.4244099021418449,-0.17178261214519266,-0.33137339098463814,-0.30755561939379644,0.23250445838327716,0.8678948002358511,0.33704260158224647,-0.10219874620241252,-0.41181305122046563
Low,0.9948818862376231,0.9979602813122941,0.9974137764990341,1.0,0.9979477108407362,0.9980678552581421,0.9990410417165745,-0.4623200413768793,-0.21379250124138965,-0.3730806214761427,-0.33885844087935524,0.24369178855294932,0.8653426710779542,0.3416100599201334,-0.10965128090461107,-0.413070341770995
Last,0.9928713013300159,0.9957281599158069,0.9983498698987343,0.9979477108407362,1.0,0.9999177928639711,0.9991700890552792,-0.4379823550134569,-0.18721823927793665,-0.34859659067951293,-0.3181563246959629,0.23667929654195696,0.8650499440691525,0.3370091849577622,-0.10534262965784424,-0.4111045013662011
Close,0.9929731219800686,0.9958402767107692,0.9984126869328852,0.9980678552581421,0.9999177928639711,1.0,0.9992837318816065,-0.43823093422511356,-0.1875311952659106,-0.34930327619348106,-0.31829224121265587,0.2367862609976662,0.8649138177017921,0.33761414972691906,-0.10553423459538691,-0.41132841622923566
VWAP,0.9948748296991008,0.9978160469582946,0.9993073868220772,0.9990410417165745,0.9991700890552792,0.9992837318816065,1.0,-0.44030554450962583,-0.18892963390668402,-0.3503069921910235,-0.3213416022690143,0.23650842267567995,0.8658665593425952,0.33836627073291053,-0.1056885453080629,-0.4119016804671959
Volume,-0.45428848178450965,-0.44984151120974397,-0.4244099021418449,-0.4623200413768793,-0.4379823550134569,-0.43823093422511356,-0.44030554450962583,1.0,0.9438504361538694,0.8764369428501018,0.8634565481621898,-0.1580274304631001,-0.46754041668790997,-0.42397022485741775,0.06962474865766542,0.09270886373530202
Turnover,-0.2069433469174801,-0.20083419464673155,-0.17178261214519266,-0.21379250124138965,-0.18721823927793665,-0.1875311952659106,-0.18892963390668402,0.9438504361538694,1.0,0.851609409675018,0.8477838402382414,-0.07531943145536185,-0.2679525334640472,-0.3616370821022211,0.031972247634595254,-0.011539559452974017
Trades,-0.35938004785094685,-0.3559882450593822,-0.33137339098463814,-0.3730806214761427,-0.34859659067951293,-0.34930327619348106,-0.3503069921910235,0.8764369428501018,0.851609409675018,1.0,0.7675716702748594,-0.07270946785578561,-0.33493346656759554,-0.3193148588199282,0.08681550955791807,-0.015440747611289479
Deliverable Volume,-0.32945566331387344,-0.3271495667357158,-0.30755561939379644,-0.33885844087935524,-0.3181563246959629,-0.31829224121265587,-0.3213416022690143,0.8634565481621898,0.8477838402382414,0.7675716702748594,1.0,0.2295134578120152,-0.29178249543107876,-0.24469900115480525,0.05471886796636265,-0.020264251030665946
%Deliverble,0.24420083417597824,0.24107082440334981,0.23250445838327716,0.24369178855294932,0.23667929654195696,0.2367862609976662,0.23650842267567995,-0.1580274304631001,-0.07531943145536185,-0.07270946785578561,0.2295134578120152,1.0,0.3507206433181098,0.3807884427573816,-0.03410943174273289,-0.2788174780348706
50_MA,0.8733002002637509,0.8703880786171994,0.8678948002358511,0.8653426710779542,0.8650499440691525,0.8649138177017921,0.8658665593425952,-0.46754041668790997,-0.2679525334640472,-0.33493346656759554,-0.29178249543107876,0.3507206433181098,1.0,0.5807051832617011,0.09299531790512351,-0.412886103246295
200_MA,0.34683412154367277,0.3429472160307614,0.33704260158224647,0.3416100599201334,0.3370091849577622,0.33761414972691906,0.33836627073291053,-0.42397022485741775,-0.3616370821022211,-0.3193148588199282,-0.24469900115480525,0.3807884427573816,0.5807051832617011,1.0,0.10352950181948366,-0.07930994518068038
50_SD,-0.1045284848375069,-0.10456041532368905,-0.10219874620241252,-0.10965128090461107,-0.10534262965784424,-0.10553423459538691,-0.1056885453080629,0.06962474865766542,0.031972247634595254,0.08681550955791807,0.05471886796636265,-0.03410943174273289,0.09299531790512351,0.10352950181948366,1.0,0.1414923614242392
200_SD,-0.4121507021766017,-0.4138248636774112,-0.41181305122046563,-0.413070341770995,-0.4111045013662011,-0.41132841622923566,-0.4119016804671959,0.09270886373530202,-0.011539559452974017,-0.015440747611289479,-0.020264251030665946,-0.2788174780348706,-0.412886103246295,-0.07930994518068038,0.1414923614242392,1.0
