,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,50_MA,200_MA,50_SD,200_SD
Prev Close,1.0,0.9998874959151125,0.9997124520533356,0.9997048690513336,0.9995447113594652,0.9995798573504271,0.9997275616493461,-0.4177382876248776,-0.1908423197832969,-0.43853233810566083,-0.364820242868215,0.06825901937831855,0.9942054468716481,0.9869979374888939,0.7874579269434415,0.8171899964356784
Open,0.9998874959151125,1.0,0.9997503139520119,0.9998033096675162,0.9995985847500626,0.9996317931075889,0.9997820860404362,-0.417808611975863,-0.19069788051204767,-0.43854391043858737,-0.36492058741598343,0.06810693106864824,0.9940379724006022,0.9869096272394096,0.7872638578706881,0.817165812227739
High,0.9997124520533356,0.9997503139520119,1.0,0.9996832099523848,0.9998258941115529,0.9998570390290027,0.9999100283438035,-0.4170411201674489,-0.18794961281740377,-0.4363971742189083,-0.36446548082951524,0.06693084639853904,0.9942456109252433,0.98713644913503,0.7887533644854223,0.8175506801778653
Low,0.9997048690513336,0.9998033096675162,0.9996832099523848,1.0,0.9997804545580038,0.9997985287467167,0.9998811726784724,-0.4182054574430979,-0.19170213853087592,-0.4396387358578065,-0.3653022625119074,0.06804720215064018,0.9934938517710653,0.9864936327105821,0.7861934723501951,0.8162331099426299
Last,0.9995447113594652,0.9995985847500626,0.9998258941115529,0.9997804545580038,1.0,0.9999747057387421,0.9999116514662545,-0.41753863974375616,-0.18948894310540054,-0.43784295132234163,-0.36488518447269364,0.06720180836582787,0.9937680861655829,0.9867583859811168,0.7872835911443606,0.8167617598133403
Close,0.9995798573504271,0.9996317931075889,0.9998570390290027,0.9997985287467167,0.9999747057387421,1.0,0.999943526216015,-0.41750731581741696,-0.18918383622555987,-0.4377369304514522,-0.364840176596661,0.06731710897412535,0.9938614766279165,0.9868375902200107,0.7875076187156782,0.8168430199439934
VWAP,0.9997275616493461,0.9997820860404362,0.9999100283438035,0.9998811726784724,0.9999116514662545,0.999943526216015,1.0,-0.41757526922287636,-0.18936927519651403,-0.43778089563003897,-0.3648916889889654,0.06722708457344145,0.9938887949310289,0.9868376994280572,0.7875003491245525,0.8168425576066719
Volume,-0.4177382876248776,-0.417808611975863,-0.4170411201674489,-0.4182054574430979,-0.41753863974375616,-0.41750731581741696,-0.41757526922287636,1.0,0.633069041208636,0.7420154785707559,0.8485856241549727,-0.2641630939122579,-0.426981907519868,-0.4459066787779326,-0.3115993561770516,-0.2959240739063325
Turnover,-0.1908423197832969,-0.19069788051204767,-0.18794961281740377,-0.19170213853087592,-0.18948894310540054,-0.18918383622555987,-0.18936927519651403,0.633069041208636,1.0,0.8536596383709042,0.5754123326469566,-0.26836451655931703,-0.20334070671260934,-0.23082549400869962,-0.12081323276657867,-0.11861015097961543
Trades,-0.43853233810566083,-0.43854391043858737,-0.4363971742189083,-0.4396387358578065,-0.43784295132234163,-0.4377369304514522,-0.43778089563003897,0.7420154785707559,0.8536596383709042,1.0,0.6247944952768149,-0.28337419684918086,-0.4484020018666796,-0.4781950294213903,-0.3086521048035176,-0.3200023821107879
Deliverable Volume,-0.364820242868215,-0.36492058741598343,-0.36446548082951524,-0.3653022625119074,-0.36488518447269364,-0.364840176596661,-0.3648916889889654,0.8485856241549727,0.5754123326469566,0.6247944952768149,1.0,-0.004350508829036296,-0.3702099891480174,-0.3777777962310425,-0.2642701850555233,-0.20533176664520214
%Deliverble,0.06825901937831855,0.06810693106864824,0.06693084639853904,0.06804720215064018,0.06720180836582787,0.06731710897412535,0.06722708457344145,-0.2641630939122579,-0.26836451655931703,-0.28337419684918086,-0.004350508829036296,1.0,0.07798867691299802,0.0765729392434021,-0.007930850197905195,0.05203865195775294
50_MA,0.9942054468716481,0.9940379724006022,0.9942456109252433,0.9934938517710653,0.9937680861655829,0.9938614766279165,0.9938887949310289,-0.426981907519868,-0.20334070671260934,-0.4484020018666796,-0.3702099891480174,0.07798867691299802,1.0,0.9935128139556086,0.8014523685715311,0.8230775479580853
200_MA,0.9869979374888939,0.9869096272394096,0.98713644913503,0.9864936327105821,0.9867583859811168,0.9868375902200107,0.9868376994280572,-0.4459066787779326,-0.23082549400869962,-0.4781950294213903,-0.3777777962310425,0.0765729392434021,0.9935128139556086,1.0,0.8024946950570523,0.812945112476952
50_SD,0.7874579269434415,0.7872638578706881,0.7887533644854223,0.7861934723501951,0.7872835911443606,0.7875076187156782,0.7875003491245525,-0.3115993561770516,-0.12081323276657867,-0.3086521048035176,-0.2642701850555233,-0.007930850197905195,0.8014523685715311,0.8024946950570523,1.0,0.7345528254811492
200_SD,0.8171899964356784,0.817165812227739,0.8175506801778653,0.8162331099426299,0.8167617598133403,0.8168430199439934,0.8168425576066719,-0.2959240739063325,-0.11861015097961543,-0.3200023821107879,-0.20533176664520214,0.05203865195775294,0.8230775479580853,0.812945112476952,0.7345528254811492,1.0
