,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,50_MA,200_MA,50_SD,200_SD
Prev Close,1.0,0.9998179729598096,0.9994864712148628,0.9994563650838691,0.999106814287767,0.999102108694313,0.999442610690382,0.11198402989327834,0.5396317768848689,0.4254508369167057,0.05219975053793502,-0.13556485052013037,0.9880686569404245,0.9622580095351039,0.683744312076756,0.7626278620271979
Open,0.9998179729598096,1.0,0.9996000923827126,0.9996304982014018,0.9992409277416452,0.9992371679425125,0.9995845173493998,0.11140065471524074,0.5390392583444084,0.42371371538130276,0.05104256274910617,-0.1364351380426461,0.9879186211506931,0.9619702494827727,0.6839795586488098,0.7629442593322582
High,0.9994864712148628,0.9996000923827126,1.0,0.9994857552201787,0.999700882901213,0.9996992403733856,0.9998455908564683,0.1218363310928613,0.5495175933728002,0.43386697975690297,0.057117903857910796,-0.14195106604648272,0.988232505636024,0.962652762924402,0.6855749938096953,0.7641596719795479
Low,0.9994563650838691,0.9996304982014018,0.9994857552201787,1.0,0.9996165721422795,0.9996302608940669,0.9998252153847677,0.10594129608971622,0.5340765673555048,0.4165353964547593,0.04560442770606515,-0.1356701773898314,0.9869261330847389,0.9610802381167319,0.6801484110198615,0.7600924435655929
Last,0.999106814287767,0.9992409277416452,0.999700882901213,0.9996165721422795,1.0,0.9999836059680108,0.9998580518820314,0.1152289145441498,0.543111569465033,0.4265332327563399,0.05139713362925016,-0.14016289662891637,0.9874085125503036,0.9618645515814388,0.6824710502442495,0.7616146172857191
Close,0.999102108694313,0.9992371679425125,0.9996992403733856,0.9996302608940669,0.9999836059680108,1.0,0.9998729226643788,0.11520738610813253,0.542969767691855,0.4263303694529165,0.05137606649993254,-0.14020817424291973,0.9873722895590411,0.9618428166952032,0.6822995646731945,0.7615285172420178
VWAP,0.999442610690382,0.9995845173493998,0.9998455908564683,0.9998252153847677,0.9998580518820314,0.9998729226643788,1.0,0.1145650957525097,0.5425493930329007,0.42574617645427654,0.051176622982475606,-0.13996597373713177,0.9875991321301159,0.9619921256821387,0.6824712538647273,0.7620909990315389
Volume,0.11198402989327834,0.11140065471524074,0.1218363310928613,0.10594129608971622,0.1152289145441498,0.11520738610813253,0.1145650957525097,1.0,0.8163281259545411,0.8047481932832705,0.7822237567635923,-0.2645136972757275,0.11538984090454353,0.08063534502263846,0.2455575554515188,0.18873964622485984
Turnover,0.5396317768848689,0.5390392583444084,0.5495175933728002,0.5340765673555048,0.543111569465033,0.542969767691855,0.5425493930329007,0.8163281259545411,1.0,0.886556744313757,0.5886272336047708,-0.3073034898129627,0.5372200197073671,0.4997304125626162,0.5310722883919834,0.5241075651795117
Trades,0.4254508369167057,0.42371371538130276,0.43386697975690297,0.4165353964547593,0.4265332327563399,0.4263303694529165,0.42574617645427654,0.8047481932832705,0.886556744313757,1.0,0.560226749688809,-0.27347002259884745,0.4425374089273814,0.41039367593068354,0.5009777743258844,0.4053280465302209
Deliverable Volume,0.05219975053793502,0.05104256274910617,0.057117903857910796,0.04560442770606515,0.05139713362925016,0.05137606649993254,0.051176622982475606,0.7822237567635923,0.5886272336047708,0.560226749688809,1.0,0.17650070269817705,0.060220963873543844,0.01467252676121959,0.13160244316601985,0.07569499714128493
%Deliverble,-0.13556485052013037,-0.1364351380426461,-0.14195106604648272,-0.1356701773898314,-0.14016289662891637,-0.14020817424291973,-0.13996597373713177,-0.2645136972757275,-0.3073034898129627,-0.27347002259884745,0.17650070269817705,1.0,-0.13554589609139103,-0.17495995208518414,-0.28920298134816946,-0.3329311995786194
50_MA,0.9880686569404245,0.9879186211506931,0.988232505636024,0.9869261330847389,0.9874085125503036,0.9873722895590411,0.9875991321301159,0.11538984090454353,0.5372200197073671,0.4425374089273814,0.060220963873543844,-0.13554589609139103,1.0,0.9778806467150983,0.6903550058581748,0.7728010705351464
200_MA,0.9622580095351039,0.9619702494827727,0.962652762924402,0.9610802381167319,0.9618645515814388,0.9618428166952032,0.9619921256821387,0.08063534502263846,0.4997304125626162,0.41039367593068354,0.01467252676121959,-0.17495995208518414,0.9778806467150983,1.0,0.634497147584027,0.6846266282620386
50_SD,0.683744312076756,0.6839795586488098,0.6855749938096953,0.6801484110198615,0.6824710502442495,0.6822995646731945,0.6824712538647273,0.2455575554515188,0.5310722883919834,0.5009777743258844,0.13160244316601985,-0.28920298134816946,0.6903550058581748,0.634497147584027,1.0,0.6988733989739769
200_SD,0.7626278620271979,0.7629442593322582,0.7641596719795479,0.7600924435655929,0.7616146172857191,0.7615285172420178,0.7620909990315389,0.18873964622485984,0.5241075651795117,0.4053280465302209,0.07569499714128493,-0.3329311995786194,0.7728010705351464,0.6846266282620386,0.6988733989739769,1.0
