,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,50_MA,200_MA,50_SD,200_SD
Prev Close,1.0,0.9988466105653877,0.9986518022539113,0.9985997352148729,0.9984409550380827,0.9984562461397908,0.9986570673060953,-0.35940963733955134,-0.11787789097539653,-0.2675104449543682,-0.36232920916386135,-0.16199959833824074,0.9759860768558283,0.9237077520276111,0.39911123721048525,0.4674230813867042
Open,0.9988466105653877,1.0,0.9997709123517405,0.9997593814742877,0.999569531880986,0.9995822738458934,0.9997912652812638,-0.3592483861031045,-0.11734980941974618,-0.2673334420528555,-0.36227797622109453,-0.1621782719050144,0.9750333313973113,0.9231548866490693,0.39784409194082837,0.4670838598445143
High,0.9986518022539113,0.9997709123517405,1.0,0.9996265423110182,0.9998121275971683,0.9998187919363813,0.9998989967876292,-0.35779247260785646,-0.11348741963463968,-0.26397720948255826,-0.36131711200874195,-0.16500249498821976,0.9753333896192347,0.9238414663326332,0.3989522140052479,0.4684358160100776
Low,0.9985997352148729,0.9997593814742877,0.9996265423110182,1.0,0.9997612811679404,0.9997786690481616,0.9998807280934082,-0.3602357603741128,-0.11967562390358577,-0.2703804620460454,-0.362999686165864,-0.16041904022480025,0.9740653204155463,0.9218482194383771,0.39544163883005834,0.4655282764521803
Last,0.9984409550380827,0.999569531880986,0.9998121275971683,0.9997612811679404,1.0,0.9999922293536133,0.9999155973371621,-0.35882534374303293,-0.11581460672475531,-0.2667518585539489,-0.36205091760209357,-0.16335570540452704,0.9745670368406528,0.9228009979295523,0.39685020088569417,0.4668728724572245
Close,0.9984562461397908,0.9995822738458934,0.9998187919363813,0.9997786690481616,0.9999922293536133,1.0,0.9999294449909297,-0.35886951665746997,-0.11587304209212862,-0.2668877589920637,-0.36208638748381167,-0.16325183736014365,0.9745328262523699,0.9227072307782602,0.3967605565179215,0.4668569722072609
VWAP,0.9986570673060953,0.9997912652812638,0.9998989967876292,0.9998807280934082,0.9999155973371621,0.9999294449909297,1.0,-0.35893806356522,-0.11630728069843488,-0.2671027667574265,-0.36211989563944524,-0.1630979834765003,0.9746929218321105,0.9228455610253167,0.397091460669566,0.4669987739807636
Volume,-0.35940963733955134,-0.3592483861031045,-0.35779247260785646,-0.3602357603741128,-0.35882534374303293,-0.35886951665746997,-0.35893806356522,1.0,0.6582796532185137,0.7581164768821688,0.8525568367319163,-0.3100484311500971,-0.3639967108680435,-0.3720675012641653,-0.13765480417746223,-0.19468079287363815
Turnover,-0.11787789097539653,-0.11734980941974618,-0.11348741963463968,-0.11967562390358577,-0.11581460672475531,-0.11587304209212862,-0.11630728069843488,0.6582796532185137,1.0,0.8459199529334672,0.61317691510652,-0.30443293741914584,-0.12548099143578081,-0.12141412646306506,-0.005193748259810104,-0.03260008258219313
Trades,-0.2675104449543682,-0.2673334420528555,-0.26397720948255826,-0.2703804620460454,-0.2667518585539489,-0.2668877589920637,-0.2671027667574265,0.7581164768821688,0.8459199529334672,1.0,0.6140453368714512,-0.32564664540565574,-0.25910918257713444,-0.24669370522310946,-0.04727349269641401,-0.11659025312068985
Deliverable Volume,-0.36232920916386135,-0.36227797622109453,-0.36131711200874195,-0.362999686165864,-0.36205091760209357,-0.36208638748381167,-0.36211989563944524,0.8525568367319163,0.61317691510652,0.6140453368714512,1.0,-0.05532853218404076,-0.36544868379612594,-0.3750266083574056,-0.15441688500320402,-0.2193265864914039
%Deliverble,-0.16199959833824074,-0.1621782719050144,-0.16500249498821976,-0.16041904022480025,-0.16335570540452704,-0.16325183736014365,-0.1630979834765003,-0.3100484311500971,-0.30443293741914584,-0.32564664540565574,-0.05532853218404076,1.0,-0.1666705586664347,-0.2133353962193312,-0.1672367591234781,-0.2592824138315043
50_MA,0.9759860768558283,0.9750333313973113,0.9753333896192347,0.9740653204155463,0.9745670368406528,0.9745328262523699,0.9746929218321105,-0.3639967108680435,-0.12548099143578081,-0.25910918257713444,-0.36544868379612594,-0.1666705586664347,1.0,0.9558062545195674,0.5251804059331026,0.5027424757044817
200_MA,0.9237077520276111,0.9231548866490693,0.9238414663326332,0.9218482194383771,0.9228009979295523,0.9227072307782602,0.9228455610253167,-0.3720675012641653,-0.12141412646306506,-0.24669370522310946,-0.3750266083574056,-0.2133353962193312,0.9558062545195674,1.0,0.5684695659654893,0.6726002306012815
50_SD,0.39911123721048525,0.39784409194082837,0.3989522140052479,0.39544163883005834,0.39685020088569417,0.3967605565179215,0.397091460669566,-0.13765480417746223,-0.005193748259810104,-0.04727349269641401,-0.15441688500320402,-0.1672367591234781,0.5251804059331026,0.5684695659654893,1.0,0.4911784774710642
200_SD,0.4674230813867042,0.4670838598445143,0.4684358160100776,0.4655282764521803,0.4668728724572245,0.4668569722072609,0.4669987739807636,-0.19468079287363815,-0.03260008258219313,-0.11659025312068985,-0.2193265864914039,-0.2592824138315043,0.5027424757044817,0.6726002306012815,0.4911784774710642,1.0
