,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,50_MA,200_MA,50_SD,200_SD
Prev Close,1.0,0.9995374912009405,0.9993726502934035,0.9993714509805599,0.9991828343052966,0.9991967367632177,0.9993719875187485,-0.11381712359534989,0.6391770941024716,0.5582509822578438,-0.11745392092611368,-0.004534901901882986,0.9892110121741564,0.9725515383070152,0.5774263826759978,0.7249957893605852
Open,0.9995374912009405,1.0,0.9998226038124586,0.9998282910627873,0.9996427716887896,0.9996558479381406,0.9998272212613258,-0.11342272754669651,0.6404335546426302,0.5590046346109309,-0.11784935938593864,-0.005648193683474894,0.9888157353277739,0.9722037672818792,0.5773336196055373,0.7250732718468778
High,0.9993726502934035,0.9998226038124586,1.0,0.9997724705508343,0.9998558335145952,0.9998650118356848,0.9999381611692203,-0.11006615655335046,0.6454578749850339,0.5643481036131482,-0.11577536698758453,-0.008319186173922705,0.9887906103833064,0.9723216185868837,0.5788087405353863,0.7249717946182651
Low,0.9993714509805599,0.9998282910627873,0.9997724705508343,1.0,0.9998385492204577,0.999850127791662,0.9999218114238348,-0.11538699399173269,0.637194809363336,0.5544950155987444,-0.11931711593473956,-0.0042061352194613846,0.9885468018442629,0.9720881704816768,0.5761398083035149,0.7242001134280024
Last,0.9991828343052966,0.9996427716887896,0.9998558335145952,0.9998385492204577,1.0,0.9999935573373735,0.9999292093731199,-0.11225029581055304,0.6421182031337943,0.5598445327650191,-0.11727865416016539,-0.006728143812318433,0.9885716636549933,0.9722140818783312,0.5777220262946577,0.72450955095838
Close,0.9991967367632177,0.9996558479381406,0.9998650118356848,0.999850127791662,0.9999935573373735,1.0,0.9999414463661427,-0.11234974368374767,0.6419774165695052,0.5597074246607704,-0.11735470049964038,-0.00666455519439746,0.9885683070770828,0.9722221206338857,0.5775324693385521,0.7244190966232517
VWAP,0.9993719875187485,0.9998272212613258,0.9999381611692203,0.9999218114238348,0.9999292093731199,0.9999414463661427,1.0,-0.11242152308604274,0.6419021705878684,0.5598041570679543,-0.1174653263539409,-0.006720066023778331,0.9886568320149969,0.9722006384296189,0.577424468032027,0.7245641116423069
Volume,-0.11381712359534989,-0.11342272754669651,-0.11006615655335046,-0.11538699399173269,-0.11225029581055304,-0.11234974368374767,-0.11242152308604274,1.0,0.39367958349154797,0.49734421340724716,0.8641022406789585,-0.2976553732541594,-0.12105579849334351,-0.13623625296727637,-0.0015132908667806586,-0.03055008962062783
Turnover,0.6391770941024716,0.6404335546426302,0.6454578749850339,0.637194809363336,0.6421182031337943,0.6419774165695052,0.6419021705878684,0.39367958349154797,1.0,0.9166510361912216,0.301370590796005,-0.19214009730531595,0.6259584353147197,0.6102144151868424,0.48509706184190343,0.5585779216782246
Trades,0.5582509822578438,0.5590046346109309,0.5643481036131482,0.5544950155987444,0.5598445327650191,0.5597074246607704,0.5598041570679543,0.49734421340724716,0.9166510361912216,1.0,0.3677497174675014,-0.2250747876497475,0.5593985772110839,0.5594754926323646,0.4544233488994193,0.5072357366450739
Deliverable Volume,-0.11745392092611368,-0.11784935938593864,-0.11577536698758453,-0.11931711593473956,-0.11727865416016539,-0.11735470049964038,-0.1174653263539409,0.8641022406789585,0.301370590796005,0.3677497174675014,1.0,0.0222966439323697,-0.11610884627804499,-0.12028124594831871,-0.025806310445818364,-0.04402788740680386
%Deliverble,-0.004534901901882986,-0.005648193683474894,-0.008319186173922705,-0.0042061352194613846,-0.006728143812318433,-0.00666455519439746,-0.006720066023778331,-0.2976553732541594,-0.19214009730531595,-0.2250747876497475,0.0222966439323697,1.0,0.011442626098181894,0.03994276852195499,-0.05439712905500509,-0.05604278144041512
50_MA,0.9892110121741564,0.9888157353277739,0.9887906103833064,0.9885468018442629,0.9885716636549933,0.9885683070770828,0.9886568320149969,-0.12105579849334351,0.6259584353147197,0.5593985772110839,-0.11610884627804499,0.011442626098181894,1.0,0.9843537085275835,0.6208518910424325,0.7452475978508245
200_MA,0.9725515383070152,0.9722037672818792,0.9723216185868837,0.9720881704816768,0.9722140818783312,0.9722221206338857,0.9722006384296189,-0.13623625296727637,0.6102144151868424,0.5594754926323646,-0.12028124594831871,0.03994276852195499,0.9843537085275835,1.0,0.6290462733959259,0.7766280919634126
50_SD,0.5774263826759978,0.5773336196055373,0.5788087405353863,0.5761398083035149,0.5777220262946577,0.5775324693385521,0.577424468032027,-0.0015132908667806586,0.48509706184190343,0.4544233488994193,-0.025806310445818364,-0.05439712905500509,0.6208518910424325,0.6290462733959259,1.0,0.5674838021426473
200_SD,0.7249957893605852,0.7250732718468778,0.7249717946182651,0.7242001134280024,0.72450955095838,0.7244190966232517,0.7245641116423069,-0.03055008962062783,0.5585779216782246,0.5072357366450739,-0.04402788740680386,-0.05604278144041512,0.7452475978508245,0.7766280919634126,0.5674838021426473,1.0
