,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,50_MA,200_MA,50_SD,200_SD
Prev Close,1.0,0.9992620853280014,0.9976035809161845,0.9972086040661373,0.9957314381394143,0.9958898004746866,0.9976085521473539,0.43373377293734805,0.5878454253560513,0.5239559232313449,-0.03275735535448567,-0.365755510026431,0.9440712649504388,0.6720033665873859,0.5848548349341236,0.5837914271879378
Open,0.9992620853280014,1.0,0.9981898997236407,0.9978877499595662,0.9963083045893736,0.9964729287740871,0.9982186820793595,0.437204000839082,0.5917707302687063,0.5273436867762855,-0.03270801648960876,-0.36791457768967095,0.9423198983343891,0.6684127862743273,0.5857748954360918,0.5855445966521261
High,0.9976035809161845,0.9981898997236407,1.0,0.997207116317928,0.9985448262576392,0.9986100202959057,0.9992973582620538,0.4616986219684311,0.6116932514087755,0.5492390790735607,-0.019465775384734565,-0.3778303489288537,0.9421878557022428,0.6671692442420937,0.595236319608358,0.5950095399016923
Low,0.9972086040661373,0.9978877499595662,0.997207116317928,1.0,0.9979087259213195,0.9981412147560033,0.9990017122399425,0.41973355431174764,0.5772213209589677,0.5099349754187578,-0.043818277487288095,-0.3626769084857887,0.9405081900184704,0.6681947153387386,0.5765551038820236,0.5773615401982743
Last,0.9957314381394143,0.9963083045893736,0.9985448262576392,0.9979087259213195,1.0,0.9999165239491579,0.9992022343042545,0.44396883106972573,0.5962390173130333,0.5312838534105574,-0.029763868018610366,-0.3724845079534889,0.9406034826011098,0.6675159029928771,0.5869951717064673,0.5857568142489308
Close,0.9958898004746866,0.9964729287740871,0.9986100202959057,0.9981412147560033,0.9999165239491579,1.0,0.9993647369884625,0.4436448965294435,0.5957005437739368,0.5308400927217293,-0.029519816883782427,-0.3724881563906669,0.9406068925927948,0.6671337668227897,0.5869070073417896,0.5859916014657851
VWAP,0.9976085521473539,0.9982186820793595,0.9992973582620538,0.9990017122399425,0.9992022343042545,0.9993647369884625,1.0,0.44238099620391563,0.5954359820082955,0.5307004537060964,-0.03102068040438288,-0.3724116599700604,0.9417047968508799,0.6678055381260591,0.5867875942603088,0.5871992968482285
Volume,0.43373377293734805,0.437204000839082,0.4616986219684311,0.41973355431174764,0.44396883106972573,0.4436448965294435,0.44238099620391563,1.0,0.9364276520449403,0.9405720229873776,0.5998761099604916,-0.16981836255916666,0.3823214726233182,0.15893848632671448,0.5110498083232065,0.594398826419484
Turnover,0.5878454253560513,0.5917707302687063,0.6116932514087755,0.5772213209589677,0.5962390173130333,0.5957005437739368,0.5954359820082955,0.9364276520449403,1.0,0.9522977510322188,0.36123472836619025,-0.24633311846191372,0.5300464888747892,0.27450190716626205,0.5752476154795314,0.6542784164511519
Trades,0.5239559232313449,0.5273436867762855,0.5492390790735607,0.5099349754187578,0.5312838534105574,0.5308400927217293,0.5307004537060964,0.9405720229873776,0.9522977510322188,1.0,0.4172230347941254,-0.23912959060766342,0.4776373317975755,0.2574207685398237,0.5513140058717404,0.6139139117129596
Deliverable Volume,-0.03275735535448567,-0.03270801648960876,-0.019465775384734565,-0.043818277487288095,-0.029763868018610366,-0.029519816883782427,-0.03102068040438288,0.5998761099604916,0.36123472836619025,0.4172230347941254,1.0,0.45543765305878087,-0.04472113977839193,-0.1428613995163407,0.0756544876171948,0.15566527600245175
%Deliverble,-0.365755510026431,-0.36791457768967095,-0.3778303489288537,-0.3626769084857887,-0.3724845079534889,-0.3724881563906669,-0.3724116599700604,-0.16981836255916666,-0.24633311846191372,-0.23912959060766342,0.45543765305878087,1.0,-0.33997232618296575,-0.3204339063968411,-0.3923466382344832,-0.3061413231770078
50_MA,0.9440712649504388,0.9423198983343891,0.9421878557022428,0.9405081900184704,0.9406034826011098,0.9406068925927948,0.9417047968508799,0.3823214726233182,0.5300464888747892,0.4776373317975755,-0.04472113977839193,-0.33997232618296575,1.0,0.8020722994601673,0.5265285532335692,0.48615959438804185
200_MA,0.6720033665873859,0.6684127862743273,0.6671692442420937,0.6681947153387386,0.6675159029928771,0.6671337668227897,0.6678055381260591,0.15893848632671448,0.27450190716626205,0.2574207685398237,-0.1428613995163407,-0.3204339063968411,0.8020722994601673,1.0,0.34291493712866783,0.14476755150167075
50_SD,0.5848548349341236,0.5857748954360918,0.595236319608358,0.5765551038820236,0.5869951717064673,0.5869070073417896,0.5867875942603088,0.5110498083232065,0.5752476154795314,0.5513140058717404,0.0756544876171948,-0.3923466382344832,0.5265285532335692,0.34291493712866783,1.0,0.7655321358605031
200_SD,0.5837914271879378,0.5855445966521261,0.5950095399016923,0.5773615401982743,0.5857568142489308,0.5859916014657851,0.5871992968482285,0.594398826419484,0.6542784164511519,0.6139139117129596,0.15566527600245175,-0.3061413231770078,0.48615959438804185,0.14476755150167075,0.7655321358605031,1.0
